region_id,2011_Census_All_incomes_not_stated_Couple_family_with_One_child,2011_Census_All_incomes_not_stated_Couple_family_with_Two_children,2011_Census_All_incomes_not_stated_Couple_family_with_Three_children,2011_Census_All_incomes_not_stated_Couple_family_with_Four_or_more_children,2011_Census_All_incomes_not_stated_Couple_family_with_Total,2011_Census_Total_Couple_family_with_One_child,2011_Census_Total_Couple_family_with_Two_children,2011_Census_Total_Couple_family_with_Three_children,2011_Census_Total_Couple_family_with_Four_or_more_children,2011_Census_Total_Couple_family_with_Total
60301,10,7,0,4,21,498,540,203,99,1340
60302,10,8,5,0,23,730,739,352,144,1965
60303,8,3,0,0,11,191,209,90,29,519
60401,32,18,5,7,62,1831,2056,833,319,5039
60402,24,17,15,3,59,1686,1904,723,296,4609
60403,15,5,8,0,28,709,780,393,157,2039
69797,0,0,0,0,0,0,0,0,0,0
70101,11,3,0,3,17,840,680,233,76,1829
70102,31,40,16,12,99,2166,2235,894,396,5691
70103,13,14,4,3,34,759,876,324,157,2116
70104,13,13,4,10,40,1176,1445,606,245,3472
70201,46,25,30,18,119,1359,1289,626,343,3617
70202,20,16,13,3,52,165,143,98,84,490
70203,6,5,5,4,20,509,465,295,328,1597
70204,6,3,6,3,18,503,525,307,252,1587
70205,19,13,17,23,72,589,604,372,277,1842
79797,0,0,0,0,0,0,0,0,3,3
80101,24,29,19,5,77,4156,4683,1652,535,11026
80102,0,0,0,0,0,21,24,20,3,68
80103,0,0,0,0,0,42,30,9,3,84
80104,11,18,10,0,39,2478,3172,1054,321,7025
80105,8,7,0,0,15,1508,1604,526,107,3745
80106,4,9,0,0,13,935,1016,401,86,2438
80107,30,27,15,3,75,4207,5319,1894,638,12058
80108,3,10,0,0,13,1040,1292,425,124,2881
80109,12,7,5,0,24,1383,1722,601,165,3871
89797,0,0,0,0,0,0,0,0,0,0
90101,0,0,0,0,0,78,56,21,13,168
90102,0,0,0,0,0,46,36,18,0,100
90103,3,0,0,0,3,9,4,13,0,26
99797,0,0,0,0,0,0,0,0,0,0
