region_id,2011_Census_75_79_years_Not_Married_Males,2011_Census_75_79_years_Not_Married_Females,2011_Census_75_79_years_Total_Males,2011_Census_75_79_years_Total_Females,2011_Census_75_79_years_Total_Persons,2011_Census_80_84_years_Married_in_a_registered_marriage_Males,2011_Census_80_84_years_Married_in_a_registered_marriage_Females,2011_Census_80_84_years_Married_in_a_de_facto_marriage_Males,2011_Census_80_84_years_Married_in_a_de_facto_marriage_Females,2011_Census_80_84_years_Not_Married_Males,2011_Census_80_84_years_Not_Married_Females,2011_Census_80_84_years_Total_Males,2011_Census_80_84_years_Total_Females,2011_Census_80_84_years_Total_Persons,2011_Census_85_years_and_over_Married_in_a_registered_marriage_Males,2011_Census_85_years_and_over_Married_in_a_registered_marriage_Females,2011_Census_85_years_and_over_Married_in_a_de_facto_marriage_Males,2011_Census_85_years_and_over_Married_in_a_de_facto_marriage_Females,2011_Census_85_years_and_over_Not_Married_Males,2011_Census_85_years_and_over_Not_Married_Females,2011_Census_85_years_and_over_Total_Males,2011_Census_85_years_and_over_Total_Females,2011_Census_85_years_and_over_Total_Persons,2011_Census_Total_Married_in_a_registered_marriage_Males,2011_Census_Total_Married_in_a_registered_marriage_Females,2011_Census_Total_Married_in_a_de_facto_marriage_Males,2011_Census_Total_Married_in_a_de_facto_marriage_Females,2011_Census_Total_Not_Married_Males,2011_Census_Total_Not_Married_Females,2011_Census_Total_Total_Males,2011_Census_Total_Total_Females,2011_Census_Total_Total_Persons
12202,115,361,606,752,1358,358,230,10,8,141,402,509,640,1149,227,102,4,4,163,497,394,603,997,11547,11755,1678,1726,6661,7875,19886,21356,41242
12203,330,964,1528,1878,3406,866,583,12,5,322,1139,1200,1727,2927,541,268,8,3,444,1405,993,1676,2669,27475,27881,4472,4597,18099,21076,50046,53554,103600
12301,61,213,326,385,711,137,87,0,3,65,215,202,305,507,84,47,3,0,49,214,136,261,397,10413,10533,1526,1591,5736,6915,17675,19039,36714
12302,254,707,913,1117,2030,359,236,14,13,183,582,556,831,1387,176,81,8,0,137,474,321,555,876,25366,25616,3918,4035,21822,25427,51106,55078,106184
12303,66,166,312,330,642,131,76,6,0,52,166,189,242,431,71,37,3,0,44,163,118,200,318,7124,7234,1130,1175,4517,4826,12771,13235,26006
12401,195,591,800,1006,1806,352,211,10,3,168,513,530,727,1257,187,93,3,3,162,584,352,680,1032,13878,14110,2506,2702,9440,11984,25824,28796,54620
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,6
12403,240,601,887,1025,1912,375,197,0,3,187,554,562,754,1316,182,100,6,4,149,547,337,651,988,22550,22832,4077,4226,16966,19685,43593,46743,90336
12404,69,207,260,327,587,114,90,3,3,84,201,201,294,495,70,34,0,0,66,193,136,227,363,5649,5750,1225,1265,5021,5889,11895,12904,24799
12405,91,270,311,414,725,97,71,3,0,89,207,189,278,467,66,24,0,3,62,204,128,231,359,8985,9068,1589,1623,8228,8885,18802,19576,38378
12501,125,274,510,506,1016,207,124,0,0,116,333,323,457,780,114,56,0,0,113,348,227,404,631,13757,13850,1039,980,12386,11634,27182,26464,53646
12502,168,409,728,803,1531,368,215,5,0,145,395,518,610,1128,165,80,0,0,122,387,287,467,754,12241,12369,991,1008,8454,9700,21686,23077,44763
12503,345,882,1269,1491,2760,624,364,9,3,309,950,942,1317,2259,333,152,7,3,270,859,610,1014,1624,24773,24919,1925,1939,21573,23243,48271,50101,98372
12504,248,674,1036,1205,2241,488,277,0,5,223,680,711,962,1673,241,119,3,0,211,798,455,917,1372,24467,24545,2419,2472,18422,19146,45308,46163,91471
12601,72,254,497,595,1092,323,188,3,3,76,304,402,495,897,148,72,0,3,122,400,270,475,745,9517,9687,605,621,5782,7079,15904,17387,33291
12602,311,854,1321,1595,2916,748,476,6,0,299,1030,1053,1506,2559,430,199,0,3,332,1110,762,1312,2074,23110,23340,2672,2667,17334,21402,43116,47409,90525
12701,136,377,527,588,1115,206,98,3,4,102,284,311,386,697,81,19,0,0,67,207,148,226,374,14978,15101,1248,1251,11613,12693,27839,29045,56884
12702,394,1165,1778,2063,3841,851,396,7,3,338,1057,1196,1456,2652,390,148,3,3,269,843,662,994,1656,32641,32807,2109,2123,29659,33195,64409,68125,132534
12703,199,574,759,940,1699,330,160,3,5,151,495,484,660,1144,142,65,3,3,123,386,268,454,722,19529,19713,1911,1982,14338,15851,35778,37546,73324
12801,300,837,1398,1740,3138,897,615,16,6,287,1083,1200,1704,2904,488,249,4,3,326,1100,818,1352,2170,20268,20635,3217,3264,14263,17369,37748,41268,79016
12802,185,528,885,1062,1947,501,321,9,4,191,611,701,936,1637,249,108,6,3,182,600,437,711,1148,22426,22706,2421,2482,13417,15435,38264,40623,78887
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101,252,721,985,1285,2270,497,318,4,0,209,784,710,1102,1812,282,154,0,0,212,762,494,916,1410,15683,15930,3293,3394,13179,16832,32155,36156,68311
20102,101,173,333,346,679,155,73,4,3,72,180,231,256,487,70,37,0,0,56,167,126,204,330,4931,4964,1117,1154,3530,3792,9578,9910,19488
20103,141,182,422,377,799,172,111,3,0,109,223,284,334,618,80,31,0,0,79,212,159,243,402,4422,4453,814,838,3593,3625,8829,8916,17745
20201,244,597,1006,1155,2161,477,357,6,0,225,723,708,1080,1788,286,129,0,3,203,687,489,819,1308,14215,14492,2942,3064,11943,15136,29100,32692,61792
20202,135,345,533,622,1155,265,155,8,4,132,289,405,448,853,127,61,7,3,106,310,240,374,614,7940,8111,1685,1683,5603,6397,15228,16191,31419
20203,61,90,175,200,375,96,53,3,0,62,97,161,150,311,47,18,0,0,53,83,100,101,201,2191,2231,358,363,1620,1436,4169,4030,8199
20301,36,62,143,146,289,63,27,0,0,20,58,83,85,168,22,12,0,0,21,64,43,76,119,3475,3527,533,551,1800,1784,5808,5862,11670
20302,509,1351,1982,2541,4523,1150,704,9,6,483,1456,1642,2166,3808,577,318,12,3,445,1519,1034,1840,2874,30305,30666,5619,5752,24726,30329,60650,66747,127397
20303,161,383,787,916,1703,482,289,6,0,142,480,630,769,1399,270,139,3,3,142,508,415,650,1065,11786,11962,1937,2057,6641,8425,20364,22444,42808
20401,198,377,673,754,1427,325,171,4,3,181,380,510,554,1064,147,68,0,0,124,347,271,415,686,8943,9110,1786,1847,6502,6920,17231,17877,35108
20402,157,378,624,755,1379,357,235,3,6,157,439,517,680,1197,190,94,0,0,139,448,329,542,871,8336,8516,1413,1430,5827,6960,15576,16906,32482
20403,177,402,733,796,1529,349,223,4,3,150,431,503,657,1160,188,86,3,0,136,409,327,495,822,11594,11865,2359,2424,8144,9295,22097,23584,45681
20501,135,307,552,601,1153,260,150,3,3,95,306,358,459,817,110,44,0,0,93,315,203,359,562,8153,8279,1451,1512,5432,6379,15036,16170,31206
20502,192,385,766,775,1541,334,208,7,3,154,385,495,596,1091,181,87,4,0,150,354,335,441,776,7891,8014,1592,1666,5407,6054,14890,15734,30624
20503,221,478,925,998,1923,456,278,11,10,211,507,678,795,1473,222,108,0,3,180,483,402,594,996,10671,10742,2085,2143,7150,8096,19906,20981,40887
20504,227,504,836,952,1788,405,240,8,4,201,506,614,750,1364,198,82,0,3,158,469,356,554,910,12004,12362,2640,2782,10105,11831,24749,26975,51724
20505,137,289,516,549,1065,250,154,10,0,133,333,393,487,880,121,71,3,3,101,323,225,397,622,7309,7601,1398,1470,5179,5875,13886,14946,28832
20601,242,587,838,1054,1892,458,248,6,5,190,541,654,794,1448,231,98,0,0,201,521,432,619,1051,11781,11912,3733,3873,13929,16195,29443,31980,61423
20602,145,350,533,646,1179,270,136,3,0,136,312,409,448,857,135,54,3,0,121,348,259,402,661,7234,7325,2470,2742,7841,9490,17545,19557,37102
20603,147,464,503,740,1243,289,171,3,0,164,467,456,638,1094,202,115,0,0,153,522,355,637,992,10073,10160,2148,2135,9527,11658,21748,23953,45701
20604,147,231,369,374,743,140,65,8,0,108,224,256,289,545,73,38,3,3,65,213,141,254,395,8828,8919,5353,4852,20028,21862,34209,35633,69842
20605,247,435,626,693,1319,252,142,12,4,222,418,486,564,1050,155,63,7,0,162,431,324,494,818,10993,11114,6728,6122,16206,18901,33927,36137,70064
20606,160,383,550,664,1214,274,170,7,3,142,405,423,578,1001,204,83,7,3,121,458,332,544,876,7108,7249,3274,2813,9494,12099,19876,22161,42037
20607,179,425,530,703,1233,246,116,6,4,154,355,406,475,881,136,57,3,0,111,338,250,395,645,8498,8550,5115,4808,13849,16533,27462,29891,57353
20701,306,1009,1551,1904,3455,907,606,18,9,334,1287,1259,1902,3161,671,335,7,0,389,1595,1067,1930,2997,29736,30517,4081,3972,22375,28160,56192,62649,118841
20702,216,754,1545,1620,3165,787,423,11,3,202,684,1000,1110,2110,377,158,4,0,192,665,573,823,1396,19365,19650,1308,1287,11708,14484,32381,35421,67802
20703,229,829,1260,1619,2879,757,524,8,3,273,1020,1038,1547,2585,443,226,0,0,347,1089,790,1315,2105,17769,18008,2032,2033,14261,18166,34062,38207,72269
20801,226,640,985,1263,2248,662,435,16,5,219,830,897,1270,2167,442,253,11,3,337,1207,790,1463,2253,18021,18444,2325,2376,10888,14471,31234,35291,66525
20802,338,1005,1340,1857,3197,883,592,18,4,398,1208,1299,1804,3103,617,286,12,7,463,1603,1092,1896,2988,25704,25909,3941,3892,20305,24256,49950,54057,104007
20803,320,883,1262,1647,2909,685,456,11,11,285,999,981,1466,2447,438,221,9,3,350,1053,797,1277,2074,20222,20464,3662,3695,14925,18509,38809,42668,81477
20804,83,262,373,480,853,201,130,0,0,97,291,298,421,719,141,77,0,0,98,352,239,429,668,7152,7266,1073,1012,5681,7327,13906,15605,29511
20901,285,859,1315,1665,2980,743,483,10,3,269,947,1022,1433,2455,434,206,0,0,299,995,733,1201,1934,22566,22826,3326,3366,16886,20579,42778,46771,89549
20902,266,797,1182,1441,2623,601,357,3,3,295,891,899,1251,2150,347,163,3,3,282,769,632,935,1567,14738,14797,2493,2634,14772,16621,32003,34052,66055
20903,78,175,363,393,756,178,99,4,3,59,181,241,283,524,88,48,0,0,61,216,149,264,413,13239,13461,1757,1846,8068,8840,23064,24147,47211
20904,282,803,1479,1588,3067,611,316,6,4,223,633,840,953,1793,244,102,5,0,173,488,422,590,1012,33429,33673,4108,4153,22994,25081,60531,62907,123438
21001,140,505,906,1032,1938,510,279,6,4,155,479,671,762,1433,241,101,4,0,140,457,385,558,943,11640,11764,1120,1111,7780,9251,20540,22126,42666
21002,46,101,203,204,407,96,52,0,0,25,95,121,147,268,53,25,0,0,27,105,80,130,210,5443,5553,888,859,2896,3302,9227,9714,18941
21003,231,721,1068,1410,2478,663,420,4,0,241,776,908,1196,2104,366,142,0,3,238,731,604,876,1480,12175,12272,1613,1674,10785,11911,24573,25857,50430
21004,66,185,303,346,649,129,85,3,0,58,171,190,256,446,45,29,3,0,40,140,88,169,257,6835,6943,1280,1304,4891,5770,13006,14017,27023
21005,193,620,891,1059,1950,371,171,0,4,167,454,538,629,1167,129,42,7,0,97,310,233,352,585,24779,24907,2421,2434,19784,21020,46984,48361,95345
21101,289,857,1316,1605,2921,651,395,12,8,264,821,927,1224,2151,342,182,5,0,233,825,580,1007,1587,29995,30293,4058,4163,21164,24223,55217,58679,113896
21102,44,103,272,254,526,142,71,0,0,39,121,181,192,373,58,33,0,0,33,117,91,150,241,5651,5763,452,467,3194,3514,9297,9744,19041
21103,262,713,1104,1357,2461,528,353,11,0,240,786,779,1139,1918,305,156,3,0,224,735,532,891,1423,19305,19496,3229,3259,14448,17625,36982,40380,77362
21104,157,491,744,926,1670,404,244,6,0,132,469,542,713,1255,223,116,0,3,147,500,370,619,989,11845,11998,1217,1248,7666,9443,20728,22689,43417
21105,249,675,1204,1363,2567,608,378,11,0,254,730,873,1108,1981,283,143,0,3,247,672,530,818,1348,27168,27470,5232,5331,19254,21428,51654,54229,105883
21201,125,265,584,581,1165,258,166,6,5,117,297,381,468,849,128,54,0,3,105,263,233,320,553,13540,13692,3069,3171,8969,10021,25578,26884,52462
21202,165,599,947,1146,2093,458,269,5,8,183,561,646,838,1484,223,109,4,3,154,461,381,573,954,24493,24655,2972,3039,16807,18714,44272,46408,90680
21203,152,447,671,796,1467,294,175,11,3,160,361,465,539,1004,127,61,0,4,110,335,237,400,637,23880,24064,4074,4172,17031,17879,44985,46115,91100
21204,462,1280,1965,2317,4282,931,506,15,8,381,1225,1327,1739,3066,484,215,12,6,307,1049,803,1270,2073,32270,32416,2730,2764,29783,29462,64783,64642,129425
21205,408,1216,2352,2612,4964,1333,766,11,8,410,1268,1754,2042,3796,621,278,4,3,370,1250,995,1531,2526,32807,33254,2978,2975,25985,28068,61770,64297,126067
21301,319,955,1535,1734,3269,645,385,10,4,239,847,894,1236,2130,304,130,0,0,247,741,551,871,1422,32048,32240,3293,3291,29563,30197,64904,65728,130632
21302,242,655,901,1163,2064,425,252,4,0,227,605,656,857,1513,244,113,6,0,220,577,470,690,1160,14368,14545,2677,2716,12190,13220,29235,30481,59716
21303,188,441,532,726,1258,316,183,7,0,172,443,495,626,1121,173,78,3,0,164,458,340,536,876,10643,10707,3164,3049,12755,12852,26562,26608,53170
21304,158,456,605,767,1372,241,147,4,6,123,388,368,541,909,110,56,0,0,87,345,197,401,598,23035,23272,3916,3967,15520,17388,42471,44627,87098
21305,183,494,787,941,1728,340,177,3,3,139,509,482,689,1171,141,74,6,0,127,419,274,493,767,30471,30883,5409,5396,21486,23467,57366,59746,117112
21401,328,849,1185,1540,2725,597,362,16,7,292,830,905,1199,2104,317,168,7,3,263,776,587,947,1534,20758,20983,5112,5191,19072,22154,44942,48328,93270
21402,518,1211,2304,2573,4877,1258,827,31,18,511,1237,1800,2082,3882,711,342,6,3,478,1367,1195,1712,2907,27045,27412,4782,4943,17502,22098,49329,54453,103782
21501,241,570,947,1039,1986,461,324,10,4,253,634,724,962,1686,251,128,3,0,193,619,447,747,1194,11250,11382,1807,1841,7916,8623,20973,21846,42819
21502,156,403,621,753,1374,338,200,5,4,142,422,485,626,1111,172,88,0,3,129,405,301,496,797,8713,8937,1658,1754,6873,7990,17244,18681,35925
21503,150,333,572,655,1227,302,190,5,3,141,332,448,525,973,167,80,6,3,119,360,292,443,735,7016,7058,1094,1118,5157,5186,13267,13362,26629
21601,147,309,536,602,1138,250,165,3,3,106,312,359,480,839,130,64,3,0,105,303,238,367,605,6828,6935,1170,1200,4662,5245,12660,13380,26040
21602,104,242,475,528,1003,246,163,0,3,107,232,353,398,751,132,54,4,3,90,240,226,297,523,5361,5418,892,917,3620,3839,9873,10174,20047
21603,181,413,652,765,1417,329,206,3,7,136,391,468,604,1072,178,94,4,3,121,396,303,493,796,10550,10667,1880,1928,7996,9041,20426,21636,42062
21701,141,303,493,561,1054,233,154,4,4,137,343,374,501,875,126,59,0,0,110,332,236,391,627,6784,6867,1161,1199,4739,5167,12684,13233,25917
21702,289,711,1072,1321,2393,527,322,6,5,256,710,789,1037,1826,269,137,3,3,219,727,491,867,1358,15236,15365,2869,2930,11159,12560,29264,30855,60119
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30101,139,326,564,621,1185,293,175,4,6,117,349,414,530,944,148,82,5,3,120,346,273,431,704,13313,13629,2473,2548,9247,10591,25033,26768,51801
30102,198,540,913,1072,1985,490,330,15,6,212,591,717,927,1644,306,128,7,0,201,585,514,713,1227,15146,15557,2470,2564,9104,11206,26720,29327,56047
30103,165,429,590,758,1348,260,188,3,3,148,429,411,620,1031,172,82,3,3,152,466,327,551,878,11510,11747,2553,2651,8468,10222,22531,24620,47151
30201,77,252,428,509,937,231,135,3,0,72,252,306,387,693,108,50,0,0,69,294,177,344,521,7732,7907,1148,1183,4753,5819,13633,14909,28542
30202,194,551,811,1065,1876,474,299,4,6,195,688,673,993,1666,276,143,5,0,201,805,482,948,1430,11024,11237,2645,2705,9862,12407,23531,26349,49880
30203,93,220,296,354,650,136,101,4,0,81,228,221,329,550,103,57,3,0,91,256,197,313,510,5366,5468,1592,1589,5956,6241,12914,13298,26212
30204,137,429,517,756,1273,281,174,4,3,139,452,424,629,1053,137,61,3,5,120,359,260,425,685,9014,9206,2051,2160,7423,9150,18488,20516,39004
30301,104,305,441,588,1029,263,183,3,3,105,401,371,587,958,145,63,0,3,103,399,248,465,713,8729,8857,1565,1616,6440,8203,16734,18676,35410
30302,182,415,450,624,1074,238,157,4,0,153,462,395,619,1014,148,86,0,3,150,472,298,561,859,9340,9491,3111,3174,11736,12841,24187,25506,49693
30303,153,456,707,862,1569,350,206,3,3,118,448,471,657,1128,193,87,4,4,119,452,316,543,859,12182,12367,1876,1938,9980,11604,24038,25909,49947
30304,94,274,382,494,876,202,153,0,3,62,284,264,440,704,141,73,0,0,95,336,236,409,645,6038,6150,1232,1261,5898,6417,13168,13828,26996
30305,60,166,299,327,626,137,76,0,0,55,180,192,256,448,67,24,3,0,46,138,116,162,278,10270,10448,1532,1594,7326,7952,19128,19994,39122
30306,70,208,329,393,722,178,110,5,0,55,218,238,328,566,96,44,0,0,64,228,160,272,432,8720,8826,1052,1050,7696,8165,17468,18041,35509
30401,55,144,228,265,493,133,73,0,0,37,136,170,209,379,54,34,0,0,37,142,91,176,267,6799,6918,825,870,3767,4528,11391,12316,23707
30402,50,183,420,439,859,244,142,4,0,59,181,307,323,630,115,56,3,0,58,223,176,279,455,9488,9779,884,894,4898,5870,15270,16543,31813
30403,69,228,310,416,726,217,159,0,0,74,293,291,452,743,134,66,0,0,90,353,224,419,643,6996,7175,1502,1494,8244,9333,16742,18002,34744
30404,71,283,387,528,915,215,153,3,0,89,315,307,468,775,139,84,3,0,80,379,222,463,685,8617,8859,1646,1717,6031,7495,16294,18071,34365
30501,109,191,303,321,624,118,60,4,0,105,210,227,270,497,76,21,0,3,81,252,157,276,433,6027,6110,3437,3257,12140,11484,21604,20851,42455
30502,77,151,211,248,459,93,58,0,0,63,184,156,242,398,46,28,3,0,66,197,115,225,340,5636,5788,1948,1938,5978,6539,13562,14265,27827
30503,183,395,489,623,1112,241,177,3,3,133,395,377,575,952,130,62,0,3,140,531,270,596,866,10779,11041,3653,3517,13120,14499,27552,29057,56609
30504,84,251,268,392,660,131,92,8,4,83,246,222,342,564,92,41,3,0,78,318,173,359,532,7791,7964,2396,2423,8883,10544,19070,20931,40001
30601,76,136,301,280,581,95,54,3,0,39,136,137,190,327,61,30,3,0,47,103,111,133,244,7742,8231,2387,2488,5504,6558,15633,17277,32910
30602,226,403,691,705,1396,268,164,9,3,174,410,451,577,1028,138,54,3,0,139,465,280,519,799,12535,13116,4232,4437,13602,15273,30369,32826,63195
30603,126,203,449,422,871,198,88,5,0,97,197,300,285,585,86,38,0,0,66,173,152,211,363,5532,5676,1366,1412,5022,4426,11920,11514,23434
30604,41,47,103,78,181,31,9,3,3,24,37,58,49,107,9,5,0,0,14,25,23,30,53,1523,1572,634,637,1489,1439,3646,3648,7294
30605,179,277,602,543,1145,247,132,3,3,101,272,351,407,758,123,51,6,0,95,244,224,295,519,6425,6728,1489,1580,4939,5583,12853,13891,26744
30701,153,220,471,429,900,188,90,3,6,123,218,314,314,628,69,30,0,0,87,201,156,231,387,7424,7592,1634,1697,5029,4661,14087,13950,28037
30702,149,237,539,485,1024,204,128,3,0,110,218,317,346,663,109,45,0,0,92,194,201,239,440,7370,7551,1293,1362,4823,4624,13486,13537,27023
30703,141,296,580,570,1150,229,137,11,5,108,300,348,442,790,123,49,3,0,91,300,217,349,566,7231,7426,1264,1332,4598,5447,13093,14205,27298
30801,46,54,118,111,229,39,17,0,0,28,45,67,62,129,12,10,0,0,22,38,34,48,82,4701,4858,1319,1357,3504,2635,9524,8850,18374
30802,143,267,527,504,1031,197,110,3,0,104,243,304,353,657,85,42,0,3,72,180,157,225,382,12578,12896,3182,3293,9184,7360,24944,23549,48493
30803,363,729,1183,1349,2532,536,328,11,0,273,642,820,970,1790,217,86,3,5,191,646,411,737,1148,17304,18465,4063,4486,13844,15488,35211,38439,73650
30901,196,484,770,934,1704,428,296,12,6,172,561,612,863,1475,266,121,10,3,195,559,471,683,1154,9069,9255,2565,2587,8883,10865,20517,22707,43224
30902,205,420,695,811,1506,346,251,10,3,175,461,531,715,1246,223,112,9,3,197,449,429,564,993,8073,8242,1992,2058,7708,9163,17773,19463,37236
30903,206,543,854,1013,1867,440,309,14,7,192,531,646,847,1493,269,125,6,0,199,506,474,631,1105,10005,10182,2501,2549,8562,11008,21068,23739,44807
30904,38,84,183,187,370,95,45,5,0,25,65,125,110,235,41,20,0,0,33,66,74,86,160,3438,3511,631,664,1955,2229,6024,6404,12428
30905,56,109,241,235,476,94,45,0,0,44,76,138,121,259,47,19,0,0,25,81,72,100,172,5941,6096,1061,1086,3450,4217,10452,11399,21851
30906,152,282,539,537,1076,229,130,6,3,122,284,357,417,774,131,62,3,3,93,334,227,399,626,11081,11360,2449,2581,8043,9440,21573,23381,44954
30907,140,275,645,587,1232,268,150,9,5,82,258,359,413,772,135,65,3,4,87,235,225,304,529,17263,17772,4138,4328,10193,11474,31594,33574,65168
30908,93,272,478,517,995,233,147,12,3,60,254,305,404,709,122,65,10,0,71,231,203,296,499,7739,7929,1640,1645,5767,7889,15146,17463,32609
30909,135,381,501,631,1132,251,195,6,3,123,409,380,607,987,197,100,8,0,116,410,321,510,831,8061,8206,2168,2192,8861,10674,19090,21072,40162
30910,112,225,427,421,848,211,138,8,3,94,236,313,377,690,135,70,8,0,106,276,249,346,595,5229,5314,1614,1577,6251,6151,13094,13042,26136
31001,118,376,450,631,1081,238,142,3,0,107,342,348,484,832,120,56,0,3,103,353,223,412,635,9950,10095,2027,2073,8801,10603,20778,22771,43549
31002,190,287,660,570,1230,246,123,4,0,118,264,368,387,755,105,47,0,0,118,275,223,322,545,10400,10704,2065,2165,7097,7467,19562,20336,39898
31003,222,561,833,1041,1874,389,225,4,3,193,548,586,776,1362,188,92,5,0,150,504,343,596,939,15313,15643,3662,3830,13257,14862,32232,34335,66567
31004,69,183,251,310,561,90,50,7,0,40,127,137,177,314,46,21,0,0,35,123,81,144,225,10314,10553,3108,3218,8603,9362,22025,23133,45158
31101,46,81,169,160,329,73,38,0,0,20,79,93,117,210,28,17,0,0,34,68,62,85,147,2150,2185,435,456,1612,1780,4197,4421,8618
31102,100,196,359,368,727,166,90,4,5,78,177,248,272,520,70,25,3,0,62,151,135,176,311,5843,5935,1634,1687,5390,6127,12867,13749,26616
31103,105,236,414,463,877,186,86,4,0,92,197,282,283,565,76,43,0,0,50,156,126,199,325,11812,12037,3089,3199,9909,10669,24810,25905,50715
31104,45,80,178,172,350,64,33,0,0,39,45,103,78,181,27,11,0,0,26,72,53,83,136,7276,7495,1464,1525,4073,3922,12813,12942,25755
31105,87,289,385,501,886,162,114,5,8,68,246,235,368,603,98,48,3,0,77,200,178,248,426,9622,9792,2173,2281,7409,8530,19204,20603,39807
31106,136,352,456,528,984,144,90,0,0,116,255,260,345,605,83,47,4,0,90,291,177,338,515,11770,11933,2726,2813,11661,12798,26157,27544,53701
31201,75,124,208,205,413,63,46,0,3,63,95,126,144,270,36,11,0,0,45,69,81,80,161,5546,5680,1567,1641,4200,3039,11313,10360,21673
31202,257,553,909,1044,1953,413,238,9,3,183,524,605,765,1370,192,97,3,0,128,437,323,534,857,18616,20177,4685,5164,14396,13449,37697,38790,76487
31203,25,61,125,135,260,55,26,3,0,31,46,89,72,161,16,13,0,0,19,53,35,66,101,2655,2832,905,981,2234,1920,5794,5733,11527
31301,151,343,716,775,1491,367,212,12,4,169,320,548,536,1084,169,90,4,3,147,268,320,361,681,6296,6397,992,1049,3846,4747,11134,12193,23327
31302,148,272,517,514,1031,218,124,6,3,114,273,338,400,738,116,47,9,0,98,268,223,315,538,8958,9216,2525,2640,7617,9226,19100,21082,40182
31303,35,45,123,107,230,43,12,0,0,29,51,72,63,135,20,11,0,0,18,53,38,64,102,2058,2105,400,422,1312,1326,3770,3853,7623
31304,112,282,453,532,985,233,133,5,5,94,231,332,369,701,102,43,3,0,79,178,184,221,405,10540,10860,2141,2220,7038,8176,19719,21256,40975
31305,247,568,798,999,1797,376,212,3,6,203,608,582,826,1408,192,91,3,4,205,604,400,699,1099,9311,9505,2112,2184,8311,10388,19734,22077,41811
31401,93,243,453,461,914,177,110,4,3,83,234,264,347,611,91,40,0,0,73,241,164,281,445,17064,17525,2368,2466,8833,9735,28265,29726,57991
31402,66,213,316,404,720,162,102,3,0,59,195,224,297,521,95,51,0,0,74,233,169,284,453,9436,9697,2251,2346,5470,6860,17157,18903,36060
31403,54,151,237,277,514,114,84,5,0,39,150,158,234,392,54,21,0,4,34,146,88,171,259,6231,6374,1424,1483,4962,5583,12617,13440,26057
31501,54,69,134,111,245,53,21,0,3,46,54,99,78,177,18,4,0,0,35,38,53,42,95,2754,2815,2032,2060,4192,3753,8978,8628,17606
31502,72,78,172,139,311,44,19,3,0,48,73,95,92,187,13,4,0,0,24,59,37,63,100,3875,3918,1818,1874,4355,3510,10048,9302,19350
31503,93,126,217,213,430,76,44,0,0,65,126,141,170,311,43,16,0,0,40,95,83,111,194,3121,3224,864,939,2429,2374,6414,6537,12951
31601,92,353,631,776,1407,384,257,8,4,121,405,513,666,1179,273,126,3,4,131,439,407,569,976,8924,9266,1396,1451,4816,7045,15136,17762,32898
31602,229,562,1235,1323,2558,637,412,19,8,238,675,894,1095,1989,372,168,6,3,223,638,601,809,1410,13433,13882,2484,2673,8161,10757,24078,27312,51390
31603,173,380,671,736,1407,306,183,3,6,134,361,443,550,993,182,100,0,3,133,371,315,474,789,8116,8375,2316,2436,7452,9245,17884,20056,37940
31604,170,294,704,671,1375,323,191,5,3,138,320,466,514,980,165,69,0,0,105,312,270,381,651,10748,11157,2158,2277,6976,8150,19882,21584,41466
31605,110,301,539,589,1128,276,162,6,8,92,272,374,442,816,162,82,3,3,101,293,266,378,644,6505,6729,1429,1461,4095,5651,12029,13841,25870
31606,124,200,628,529,1157,268,145,0,3,101,206,369,354,723,134,66,0,0,103,213,237,279,516,8947,9307,1726,1826,5255,6107,15928,17240,33168
31701,364,1057,1503,1938,3441,737,469,12,10,298,1048,1047,1527,2574,436,198,7,4,284,1002,727,1204,1931,24639,25495,4191,4371,16802,21641,45632,51507,97139
31801,144,354,611,669,1280,252,154,0,4,129,346,381,504,885,145,37,3,0,83,314,231,351,582,7614,7852,1506,1597,5569,5714,14689,15163,29852
31802,378,834,1197,1438,2635,548,321,9,4,303,756,860,1081,1941,251,128,3,0,218,692,472,820,1292,25975,27687,7781,8526,23681,25436,57437,61649,119086
31901,352,662,1326,1397,2723,632,355,17,8,287,611,936,974,1910,312,145,5,3,241,571,558,719,1277,15535,16133,2779,2968,10624,12682,28938,31783,60721
31902,207,304,692,621,1313,264,144,8,4,151,328,423,476,899,141,54,3,3,112,264,256,321,577,8578,8823,1697,1782,6198,6330,16473,16935,33408
31903,178,287,656,608,1264,294,156,8,3,123,265,425,424,849,126,57,4,0,101,283,231,340,571,8399,8664,1582,1714,5763,6297,15744,16675,32419
31904,251,444,1016,1000,2016,450,267,22,10,149,399,621,676,1297,208,99,4,6,163,348,375,453,828,9789,10134,1814,1965,6220,8265,17823,20364,38187
31905,192,295,638,615,1253,254,142,12,5,137,296,403,443,846,127,64,3,7,132,264,262,335,597,7629,7912,1530,1665,5475,5946,14634,15523,30157
39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
