region_id,2011_Census_One_parent_family_with_children_under_15_and_dependent_students_Mortgage_repayment_4000_and_over,2011_Census_One_parent_family_with_children_under_15_and_dependent_students_Mortgage_repayment_Not_stated,2011_Census_One_parent_family_with_children_under_15_and_dependent_students_Total,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_0_299,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_300_449,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_450_599,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_600_799,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_800_999,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_1000_1399,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_1400_1799,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_1800_2399,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_2400_2999,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_3000_3999,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_4000_and_over,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Mortgage_repayment_Not_stated,2011_Census_One_parent_family_with_children_under_15_and_no_dependent_students_Total,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_0_299,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_300_449,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_450_599,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_600_799,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_800_999,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_1000_1399,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_1400_1799,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_1800_2399,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_2400_2999,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_3000_3999,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_4000_and_over,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Mortgage_repayment_Not_stated,2011_Census_One_parent_family_with_no_children_under_15_and_with_dependent_students_Total,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_0_299,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_300_449,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_450_599,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_600_799,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_800_999,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_1000_1399,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_1400_1799,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_1800_2399,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_2400_2999,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_3000_3999,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_4000_and_over,2011_Census_One_parent_family_with_non_dependent_children_only_Mortgage_repayment_Not_stated,2011_Census_One_parent_family_with_non_dependent_children_only_Total,2011_Census_One_parent_families_Total_Mortgage_repayment_0_299,2011_Census_One_parent_families_Total_Mortgage_repayment_300_449,2011_Census_One_parent_families_Total_Mortgage_repayment_450_599,2011_Census_One_parent_families_Total_Mortgage_repayment_600_799,2011_Census_One_parent_families_Total_Mortgage_repayment_800_999,2011_Census_One_parent_families_Total_Mortgage_repayment_1000_1399,2011_Census_One_parent_families_Total_Mortgage_repayment_1400_1799,2011_Census_One_parent_families_Total_Mortgage_repayment_1800_2399,2011_Census_One_parent_families_Total_Mortgage_repayment_2400_2999,2011_Census_One_parent_families_Total_Mortgage_repayment_3000_3999,2011_Census_One_parent_families_Total_Mortgage_repayment_4000_and_over,2011_Census_One_parent_families_Total_Mortgage_repayment_Not_stated,2011_Census_One_parent_families_Total_Total,2011_Census_Total_Mortgage_repayment_0_299,2011_Census_Total_Mortgage_repayment_300_449,2011_Census_Total_Mortgage_repayment_450_599,2011_Census_Total_Mortgage_repayment_600_799,2011_Census_Total_Mortgage_repayment_800_999,2011_Census_Total_Mortgage_repayment_1000_1399,2011_Census_Total_Mortgage_repayment_1400_1799,2011_Census_Total_Mortgage_repayment_1800_2399,2011_Census_Total_Mortgage_repayment_2400_2999,2011_Census_Total_Mortgage_repayment_3000_3999,2011_Census_Total_Mortgage_repayment_4000_and_over,2011_Census_Total_Mortgage_repayment_Not_stated,2011_Census_Total_Total
11501,12,6,162,16,5,3,17,17,43,47,88,72,89,48,21,466,20,13,11,6,20,56,41,58,39,41,37,22,364,30,8,12,14,20,58,54,77,62,53,38,37,463,73,26,26,42,69,177,163,252,191,215,135,86,1455,668,240,229,340,408,1406,1514,3132,2771,4271,3021,898,18898
11502,4,3,36,8,3,0,0,4,3,12,13,8,6,19,11,87,3,5,0,0,0,5,8,8,5,4,14,5,57,8,0,6,4,3,8,4,11,4,15,5,4,72,22,8,6,4,7,16,31,37,21,35,42,23,252,156,38,33,48,73,219,233,437,315,542,777,233,3104
11503,3,0,28,3,3,3,4,7,13,21,28,13,16,13,10,134,3,3,3,3,5,4,15,7,3,6,4,0,56,4,4,3,4,8,20,8,18,10,9,9,16,113,10,10,9,11,23,42,48,63,26,34,29,26,331,112,46,41,90,135,346,450,766,493,546,346,218,3589
11504,3,3,31,6,0,3,0,3,13,22,27,33,29,10,12,158,0,0,3,0,4,4,0,10,6,12,7,5,51,9,3,0,5,3,5,7,22,6,18,4,7,89,18,3,6,5,10,25,38,63,48,62,24,27,329,108,40,20,50,81,291,367,715,691,1042,605,253,4263
11601,3,8,138,19,10,13,25,24,88,117,185,74,48,20,36,659,7,5,6,7,15,49,35,66,24,16,8,10,248,21,15,15,37,26,108,87,133,53,26,13,59,593,50,34,39,78,74,270,264,416,163,93,44,113,1638,424,203,185,416,505,1598,2090,4280,2488,1563,578,702,15032
11602,0,5,92,7,3,3,15,9,47,58,96,70,50,14,12,384,7,4,5,3,3,26,30,30,32,26,12,4,182,15,7,7,9,12,44,49,58,36,35,8,18,298,32,17,15,31,27,131,156,205,152,117,34,39,956,239,92,107,161,229,776,1078,2462,2603,3051,876,506,12180
11603,4,7,160,17,3,11,26,45,111,144,168,56,43,10,42,676,4,9,4,14,16,49,38,54,12,4,3,9,216,24,13,14,28,47,94,78,99,46,25,7,29,504,51,28,29,74,123,282,282,366,130,80,24,87,1556,283,120,139,298,472,1502,2030,3394,1626,934,317,544,11659
11701,3,0,29,8,3,0,12,5,12,17,32,19,17,16,12,153,0,3,3,0,0,14,8,14,5,11,8,9,75,5,4,4,8,9,10,23,30,15,20,15,12,155,13,10,7,20,14,40,56,81,43,53,42,33,412,105,39,46,68,83,259,380,633,551,821,560,219,3764
11702,3,0,40,11,5,3,5,8,17,20,40,35,31,20,6,201,3,6,3,5,7,11,12,20,14,15,9,8,113,8,3,5,6,9,22,17,16,21,15,11,10,143,25,14,14,16,27,58,57,80,75,64,43,24,497,126,47,40,74,104,325,365,757,674,1049,835,181,4577
11703,9,0,34,14,8,4,6,11,25,25,58,46,67,48,10,322,10,6,3,5,8,13,15,31,22,21,18,7,159,12,5,6,11,15,18,21,46,36,28,31,18,247,36,19,13,22,34,62,66,139,107,123,106,35,762,305,79,83,128,171,494,671,1675,1596,2328,2439,371,10340
11801,19,11,72,26,0,0,5,12,17,28,32,33,59,85,31,328,12,3,0,0,8,10,11,20,12,24,41,12,153,9,5,0,4,3,24,20,35,18,23,31,27,199,51,8,3,9,26,56,67,96,66,113,176,81,752,404,68,64,83,128,382,419,860,768,1411,3391,669,8647
11802,8,7,70,17,4,7,5,5,22,25,46,49,57,62,21,320,14,9,7,5,3,30,27,50,26,26,28,16,241,32,6,3,17,19,28,34,55,22,28,36,15,295,66,19,17,30,27,88,92,166,106,122,134,59,926,365,114,93,157,197,599,615,1311,1133,1748,2504,519,9355
11901,11,11,199,30,23,16,23,40,94,117,185,100,76,37,46,787,14,16,9,14,26,63,49,74,29,26,17,22,359,32,12,13,27,37,82,100,130,72,50,34,61,650,79,56,41,71,121,266,304,431,220,167,99,140,1995,526,239,225,390,528,1699,1997,3522,2461,2266,1033,903,15789
11902,4,12,126,17,12,10,26,23,101,88,99,56,54,31,31,548,15,10,3,16,25,54,44,42,22,25,9,19,284,23,6,12,30,27,86,89,86,45,32,26,35,497,59,31,28,77,85,258,243,255,131,121,70,97,1455,355,173,163,283,395,1356,1483,2061,1401,1582,858,670,10780
11903,16,10,112,24,4,3,10,16,41,56,91,45,43,31,21,385,17,15,9,13,18,50,36,45,26,24,12,21,286,29,7,11,12,17,54,56,79,36,46,31,18,396,77,26,26,38,58,161,158,231,120,124,90,70,1179,463,179,135,265,378,1111,1274,2367,1627,1926,1510,582,11817
11904,7,4,98,19,4,6,8,15,59,63,115,55,57,36,21,458,16,8,0,6,17,35,43,57,19,31,14,16,262,28,18,11,15,18,60,48,92,40,48,35,47,460,68,30,20,29,57,168,165,286,126,149,92,88,1278,365,141,132,188,326,977,1229,2430,1643,2039,1369,633,11472
12001,9,0,59,12,5,3,4,3,22,20,40,32,35,41,20,237,8,0,0,7,11,15,12,30,20,24,18,7,152,12,8,5,8,12,17,23,35,18,28,25,14,205,35,13,8,22,26,66,62,110,75,102,93,41,653,279,93,75,115,135,475,439,1009,968,1583,1727,367,7265
12002,5,5,30,8,4,0,8,3,19,8,22,24,40,34,11,181,6,6,0,0,3,16,19,20,10,16,8,4,108,8,5,0,4,3,19,20,19,11,13,14,8,124,22,15,0,12,12,54,47,67,50,75,61,28,443,173,64,45,79,93,304,319,614,537,1193,1881,216,5518
12003,8,3,94,18,9,6,10,26,47,53,120,62,56,48,21,476,16,4,13,10,15,40,41,60,42,29,20,10,300,24,7,9,14,17,53,44,75,36,55,34,42,410,62,20,28,41,61,153,150,279,157,143,110,76,1280,459,136,123,212,308,910,1111,2346,1580,1972,1841,607,11605
12101,14,6,66,11,4,0,9,9,18,20,44,25,47,62,17,266,20,6,3,12,4,18,16,38,19,32,40,11,219,14,4,7,3,7,25,25,40,23,26,29,13,216,51,14,10,24,20,68,65,135,73,115,145,47,767,397,101,87,129,156,506,519,1273,1031,1627,3186,511,9523
12102,6,8,95,7,4,0,3,15,31,43,70,48,41,25,13,300,6,4,6,8,13,42,23,53,29,27,12,12,235,20,9,10,10,17,46,43,59,21,26,12,26,299,40,17,19,21,45,130,121,203,115,104,55,59,929,316,127,112,192,277,770,946,1946,1542,2258,1045,435,9966
12103,46,8,126,18,3,3,10,9,20,17,43,24,50,75,14,286,14,5,8,3,6,28,24,47,20,39,55,22,271,26,5,0,8,5,27,18,20,16,21,43,8,197,64,13,15,24,20,89,66,125,73,120,219,52,880,573,142,138,158,203,654,663,1447,1132,2181,4478,649,12418
12104,14,6,39,9,0,3,3,3,14,23,39,26,33,57,14,224,8,4,3,3,4,13,12,21,7,22,33,10,140,16,4,0,12,7,19,18,21,15,14,30,14,170,36,8,6,21,14,49,53,88,51,69,134,44,573,260,50,58,78,89,308,334,733,648,1137,2483,352,6530
12201,4,3,31,9,0,3,0,3,4,9,15,21,16,35,8,123,0,0,3,4,0,8,10,14,7,4,14,4,68,8,4,0,4,0,8,3,7,5,13,10,12,74,22,4,6,8,3,20,25,39,37,42,63,27,296,144,28,38,44,59,162,201,379,334,676,1413,214,3692
12202,15,3,66,5,3,0,11,7,16,20,31,25,35,43,17,213,8,3,0,4,3,13,19,23,14,13,27,3,130,13,3,9,7,5,23,26,25,20,11,22,26,190,30,17,9,26,15,58,68,86,67,67,107,49,599,253,86,75,125,147,415,458,862,734,1439,1988,420,7002
12203,19,8,146,17,7,11,21,15,47,68,104,70,101,88,35,584,11,7,4,17,17,38,34,51,28,34,25,18,284,36,14,20,14,19,57,56,73,41,43,39,38,450,72,33,35,55,55,157,180,259,154,194,171,99,1464,545,177,156,300,335,996,1197,2496,2185,3444,3974,858,16663
12301,3,5,76,6,7,3,12,9,38,63,113,57,40,18,21,387,5,3,3,6,6,19,24,27,19,12,10,4,138,8,3,3,11,5,28,39,43,29,26,16,16,227,19,16,9,29,29,88,138,202,119,86,47,46,828,162,93,68,163,198,689,968,2253,1772,1445,512,386,8709
12302,3,13,220,22,17,8,34,49,184,203,254,91,37,22,62,983,16,14,10,30,40,76,74,80,23,13,9,19,404,33,16,29,55,63,166,167,164,56,30,27,65,871,79,50,50,130,160,474,495,543,191,86,61,159,2478,492,259,267,586,820,2404,3229,5286,2230,1218,639,886,18316
12303,3,0,54,8,3,4,4,10,23,40,58,24,25,13,21,233,0,0,0,7,5,3,11,20,7,4,3,3,63,12,4,3,6,11,30,27,35,5,10,11,17,171,24,7,7,21,30,70,85,121,42,43,30,41,521,166,66,68,127,170,537,654,1272,772,712,436,298,5278
12401,0,8,121,14,3,12,15,30,89,86,118,47,21,11,18,464,9,12,15,14,14,36,34,40,15,8,4,11,212,23,9,11,22,21,76,54,47,23,12,6,17,321,53,24,42,57,69,223,196,234,99,46,21,54,1118,331,187,193,350,402,1238,1466,2422,1398,915,427,390,9719
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12403,7,3,168,20,12,16,23,43,133,163,224,93,62,29,59,877,13,12,5,13,24,67,58,61,26,17,4,24,324,26,15,29,40,34,104,124,127,29,25,13,42,608,59,42,53,79,108,336,383,451,175,110,53,128,1977,402,216,231,430,628,1841,2425,4617,2704,1645,756,875,16770
12404,3,0,47,9,3,0,7,13,35,39,60,25,3,15,17,226,3,3,0,8,8,19,24,23,7,3,0,3,101,17,10,7,5,12,43,26,32,17,8,3,20,200,32,16,11,23,36,104,96,126,52,17,21,40,574,113,49,47,84,138,413,570,1091,602,347,234,216,3904
12405,0,4,86,8,9,5,12,15,73,59,121,43,19,5,24,393,5,15,4,13,15,23,28,36,11,3,9,15,177,17,10,7,25,27,71,68,73,30,18,6,25,377,30,34,16,50,65,186,174,247,95,48,20,68,1033,173,115,109,198,294,860,1078,2068,1003,490,157,384,6929
12501,4,4,63,5,4,3,8,9,48,43,55,32,25,15,11,258,11,8,5,0,8,28,19,31,14,20,3,9,156,15,5,4,10,15,44,48,64,25,33,10,24,297,34,17,12,24,35,134,116,158,81,83,32,48,774,224,110,86,171,218,744,928,1495,850,873,472,351,6522
12502,0,0,61,9,8,3,10,8,23,19,47,34,20,12,3,196,12,0,0,5,7,24,25,27,19,21,13,6,159,9,8,5,10,9,21,31,39,23,22,10,14,201,34,16,11,28,27,75,82,122,88,76,35,23,617,289,86,89,134,170,591,607,1256,1081,1375,737,275,6690
12503,5,10,163,19,10,9,29,29,103,99,168,73,55,17,22,633,11,5,5,13,19,45,53,56,32,22,8,14,283,28,16,14,23,33,93,97,147,71,37,19,49,627,69,31,35,72,88,261,271,409,194,132,49,95,1706,394,175,196,326,518,1437,1784,3166,2081,1562,655,660,12954
12504,7,4,68,10,8,3,10,22,55,68,97,50,36,9,18,386,9,4,6,12,17,35,42,57,30,17,4,5,238,19,11,10,20,23,57,69,97,39,40,19,17,421,38,26,19,45,65,155,193,260,130,99,39,44,1113,367,137,121,230,323,1068,1614,2917,1957,1780,679,443,11636
12601,5,0,28,6,0,0,0,5,14,14,26,15,26,24,8,138,11,3,4,0,0,12,15,18,9,14,12,6,104,4,3,0,3,11,12,5,16,16,10,3,8,91,24,6,4,3,16,38,43,65,40,56,44,22,361,227,70,50,92,148,319,376,729,583,912,1001,206,4713
12602,10,8,84,14,3,6,14,11,49,33,58,35,54,48,25,350,22,8,4,16,6,37,43,50,23,31,33,12,285,30,9,4,15,18,46,29,54,44,38,29,19,335,69,20,14,48,38,142,115,179,112,133,120,64,1054,443,145,127,230,297,936,956,1901,1445,2141,2339,579,11539
12701,3,7,127,15,3,5,19,24,67,80,139,71,44,25,34,526,6,5,4,5,18,31,32,42,20,27,7,21,218,11,3,11,12,23,46,69,73,53,42,16,31,390,38,15,20,44,74,162,206,276,159,123,51,93,1261,290,120,103,209,346,1036,1295,2208,1683,1330,689,639,9948
12702,6,24,305,45,39,21,50,76,196,237,268,113,87,39,68,1239,18,13,11,21,35,101,83,91,38,31,15,32,489,56,31,22,38,67,162,153,187,91,59,33,70,969,130,94,61,114,201,531,526,603,265,190,93,194,3002,623,366,288,527,811,2358,2586,3864,2045,1580,789,962,16799
12703,4,4,152,16,3,6,14,30,85,88,147,83,48,21,37,578,8,3,3,8,18,27,37,44,27,22,10,13,220,23,16,13,17,17,73,73,85,42,36,22,31,448,54,25,25,43,72,208,218,312,176,123,57,85,1398,352,144,147,249,369,1236,1585,2864,2227,1736,701,618,12228
12801,9,5,99,14,4,7,10,13,41,63,78,56,69,41,35,431,13,4,3,13,12,29,32,42,22,21,21,13,225,26,10,8,14,20,33,39,64,51,35,29,24,353,58,18,18,42,53,116,151,202,132,141,100,77,1108,407,126,125,226,293,810,989,1947,1594,2272,2218,662,11669
12802,7,0,130,16,14,8,11,18,49,54,81,82,79,23,32,467,13,6,4,10,18,44,36,60,36,27,15,9,278,20,11,17,28,21,65,73,46,44,52,23,27,427,54,34,37,54,64,175,180,215,182,171,68,68,1302,400,198,200,342,413,1179,1411,2503,2320,3319,1545,669,14499
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101,0,10,146,17,23,20,53,56,164,107,69,5,12,8,34,568,10,17,9,43,31,73,28,24,5,5,0,9,254,19,22,19,36,30,89,51,26,0,4,0,16,312,53,69,52,149,136,365,204,133,21,21,8,69,1280,346,330,298,668,808,2350,2167,1750,533,328,181,422,10181
20102,0,0,38,3,10,12,20,16,63,26,17,0,6,4,15,192,3,4,5,5,9,18,11,7,3,0,0,7,72,7,11,7,9,12,23,12,3,5,5,0,10,104,13,28,24,42,43,115,53,33,8,11,4,32,406,123,148,119,226,293,695,600,520,187,129,58,188,3286
20103,0,0,53,7,9,13,29,21,45,13,4,4,3,0,11,159,3,6,0,11,12,7,7,0,0,0,0,7,53,11,13,3,17,14,15,7,7,0,0,0,0,87,21,31,25,57,66,85,31,11,4,3,0,18,352,169,142,133,300,329,558,322,207,47,46,23,142,2418
20201,0,5,132,25,24,22,43,72,161,117,51,12,3,3,31,564,9,18,17,38,29,59,32,19,3,4,3,10,241,25,34,25,42,40,79,40,24,3,8,3,25,348,62,79,72,134,160,345,207,103,21,22,9,71,1285,382,338,322,605,828,2147,2052,1486,383,252,125,400,9320
20202,0,3,81,16,11,15,28,30,92,39,30,10,13,3,14,301,5,3,6,19,20,21,17,9,3,0,0,3,106,11,9,8,17,25,29,11,12,3,3,3,14,145,35,23,34,73,82,163,91,54,19,19,6,34,633,218,180,197,325,432,1050,945,872,337,227,133,247,5163
20203,0,0,15,4,6,6,13,12,13,4,0,0,0,3,0,61,4,7,0,3,0,4,3,0,0,0,0,0,21,0,3,0,4,0,8,4,4,0,0,0,7,30,8,16,9,26,12,28,14,4,0,0,3,7,127,88,80,75,137,132,206,140,103,24,23,19,64,1091
20301,0,3,21,0,3,0,8,10,24,19,10,7,5,0,10,96,0,0,3,7,6,7,5,4,0,0,0,3,35,7,0,0,6,0,19,12,3,0,0,0,0,47,7,6,3,21,19,56,36,20,7,8,0,16,199,100,59,56,117,148,458,459,471,208,144,73,155,2448
20302,0,10,233,33,32,24,69,94,235,189,116,40,24,13,52,921,32,23,17,53,60,121,84,63,16,7,8,25,509,53,47,47,77,74,147,97,57,16,12,3,55,685,125,114,95,238,253,565,408,260,78,46,24,142,2348,733,513,452,1016,1299,3511,3595,3963,1374,930,474,961,18821
20303,3,4,83,8,6,8,16,20,60,50,50,21,12,5,8,264,9,3,11,13,12,36,23,30,12,6,0,7,162,13,7,4,25,24,35,24,23,5,9,4,5,178,33,19,28,59,61,149,114,116,42,30,12,24,687,278,178,167,306,388,1027,987,1349,728,549,281,335,6573
20401,0,5,56,12,10,14,27,39,81,52,34,13,6,5,14,307,3,8,8,18,15,27,9,8,4,0,3,10,113,14,13,11,20,23,40,12,17,6,3,0,15,174,32,31,33,73,86,160,83,65,23,12,8,44,650,229,157,172,342,491,1073,980,843,292,215,103,313,5210
20402,0,8,78,3,9,11,24,38,72,47,16,3,6,0,13,242,3,5,12,12,15,19,13,8,3,0,0,5,95,9,10,9,20,20,30,21,8,3,5,3,16,154,20,24,32,63,83,148,93,35,12,14,3,42,569,187,153,183,360,476,1114,921,689,216,137,92,267,4795
20403,4,5,100,11,6,13,30,41,95,83,37,10,4,5,14,349,7,11,9,23,28,36,17,12,4,0,0,5,152,15,6,10,12,26,44,34,19,3,3,0,18,190,33,26,36,71,107,206,155,76,20,10,9,42,791,294,201,221,407,565,1415,1475,1254,472,268,158,324,7054
20501,0,5,61,4,8,16,19,31,54,40,26,5,10,0,16,229,6,4,4,8,14,31,24,6,3,3,0,3,106,14,8,4,13,21,37,28,10,7,3,5,10,160,28,24,28,48,75,138,95,50,15,16,5,34,556,201,138,162,285,419,1060,980,883,313,222,139,282,5084
20502,0,4,49,10,9,12,28,37,52,39,13,5,3,0,11,219,3,10,10,15,5,18,10,10,3,3,0,6,93,8,6,6,7,23,20,14,6,4,0,0,7,101,24,33,28,53,69,102,67,40,12,6,0,28,462,204,170,159,288,372,855,688,574,191,125,73,210,3909
20503,3,3,54,16,15,19,31,22,70,52,31,13,3,5,20,297,8,10,6,14,23,25,9,9,4,3,0,7,118,23,16,7,19,17,36,9,6,4,0,4,12,153,47,41,32,74,67,152,82,46,21,6,12,42,622,308,209,198,380,479,1114,938,898,365,209,161,378,5637
20504,4,7,127,19,21,29,63,95,150,52,25,14,9,3,25,505,7,11,18,28,35,44,19,5,3,3,3,12,188,19,28,20,44,49,45,23,19,6,3,3,9,268,56,68,73,149,193,268,114,60,23,18,13,53,1088,293,330,306,681,958,1862,1228,1150,318,230,108,414,7878
20505,0,3,84,10,13,3,31,34,65,40,20,12,5,5,14,252,5,7,4,16,10,17,13,7,0,3,0,6,88,18,14,8,16,18,21,11,8,3,0,3,11,131,36,37,22,73,76,124,76,39,18,12,8,34,555,268,178,160,351,435,958,759,637,187,156,108,251,4448
20601,0,6,58,10,7,3,3,16,40,39,46,28,14,6,14,226,6,11,8,7,8,26,17,22,6,7,3,5,126,13,9,5,11,20,33,34,35,7,14,7,17,205,33,27,20,26,47,112,99,113,45,35,16,42,615,236,115,124,180,276,723,788,1390,928,1028,510,317,6615
20602,7,0,39,9,7,4,4,4,19,15,31,14,16,10,10,143,3,5,4,8,7,17,8,15,4,8,6,5,90,8,4,7,9,9,12,17,16,10,3,5,15,115,20,16,15,21,24,54,45,73,31,30,28,30,387,149,87,83,114,171,443,519,842,557,693,506,226,4390
20603,7,3,37,4,3,3,9,8,29,24,30,11,18,15,13,167,7,9,3,7,8,20,14,21,10,9,7,3,118,6,8,3,9,12,15,18,26,6,3,8,12,126,17,20,12,25,31,68,61,82,31,33,37,31,448,201,93,78,143,206,511,531,955,640,843,819,325,5345
20604,3,3,25,6,3,0,5,8,12,17,18,8,19,15,6,117,9,3,4,3,4,18,16,29,21,18,10,8,143,3,0,3,4,3,10,24,29,16,20,16,9,137,21,6,7,15,18,44,57,79,45,60,44,26,422,192,32,50,71,95,318,446,818,622,733,733,199,4309
20605,8,0,34,9,0,7,10,14,25,24,34,30,22,48,12,235,9,0,5,6,5,16,21,25,8,12,20,5,132,11,3,4,7,12,28,13,21,11,15,18,4,147,32,3,16,26,34,76,61,83,53,49,94,21,548,253,65,77,135,136,510,530,1028,702,1097,1511,289,6333
20606,4,0,23,4,3,0,4,3,15,10,13,9,7,19,11,98,5,0,4,0,0,6,8,12,5,12,11,6,69,13,3,5,3,0,11,12,14,7,12,12,9,101,25,6,9,7,3,38,30,43,24,34,46,26,291,177,38,31,48,52,213,207,416,311,444,964,231,3132
20607,4,0,35,14,0,5,9,3,18,17,23,16,17,14,8,144,12,6,5,5,8,16,15,24,6,10,11,3,121,6,8,7,7,6,15,19,15,12,14,8,7,124,35,14,21,21,20,56,54,65,37,46,37,18,424,203,67,70,109,136,413,450,849,661,978,993,213,5142
20701,35,14,138,27,6,7,8,20,38,25,66,31,44,87,12,371,37,15,9,14,31,61,38,70,33,48,69,24,449,34,11,10,15,20,45,29,39,14,24,30,29,300,105,36,26,41,78,156,100,198,90,128,221,79,1258,814,249,190,312,388,1150,1100,2047,1339,2226,3813,913,14541
20702,4,4,88,19,0,9,4,13,28,35,38,22,37,26,24,255,18,4,4,9,12,31,34,26,23,26,24,7,218,20,11,11,15,18,37,35,43,39,24,11,33,297,57,19,27,32,48,108,122,123,90,99,65,68,858,463,163,171,226,323,883,885,1458,995,1327,904,542,8340
20703,9,4,90,16,6,3,10,11,61,40,53,28,34,26,10,298,20,5,13,16,23,60,44,40,25,25,16,13,300,26,13,6,19,22,53,34,46,25,19,14,34,311,65,28,27,51,63,190,131,151,86,81,65,61,999,444,178,156,292,367,1108,1051,1722,1136,1371,911,430,9166
20801,13,12,86,15,8,4,7,12,38,32,43,19,36,46,19,279,13,4,4,9,9,34,33,36,20,22,26,15,225,30,13,8,18,8,32,28,30,23,19,21,15,245,65,25,16,39,29,109,103,136,65,81,106,61,835,438,163,121,205,252,764,754,1483,978,1545,2371,611,9685
20802,12,5,137,20,13,7,17,28,55,64,96,48,48,34,28,458,23,6,7,16,25,49,54,50,27,22,27,22,328,32,17,10,23,16,37,47,36,30,18,12,28,306,80,40,24,62,77,169,178,204,119,108,85,83,1229,606,230,210,365,459,1324,1340,2364,1604,2188,1925,810,13425
20803,9,9,153,22,17,16,26,21,87,98,109,42,36,10,33,517,16,11,8,35,35,57,65,49,25,23,14,14,352,35,27,18,27,45,66,69,63,26,22,10,36,444,79,55,46,91,108,248,265,244,105,90,43,92,1466,464,236,213,414,565,1499,1724,2876,1929,1866,890,696,13372
20804,3,5,23,4,3,3,0,5,7,11,12,6,20,18,5,94,6,4,0,4,5,13,11,8,7,3,8,0,69,6,3,0,3,3,10,13,4,6,5,7,10,70,16,10,3,7,13,35,38,27,19,32,36,20,256,162,49,32,70,89,276,248,468,331,575,985,216,3501
20901,3,8,122,28,7,15,16,24,90,69,84,33,34,20,24,444,19,18,13,32,42,68,62,45,21,18,7,15,360,36,23,16,30,49,86,67,70,26,20,19,29,471,87,53,47,84,121,276,212,227,93,72,49,76,1397,513,264,245,462,575,1562,1738,2861,1653,1439,876,602,12790
20902,0,3,77,17,11,12,21,19,53,64,49,23,12,12,15,308,9,3,5,10,14,34,17,23,10,6,3,15,149,26,15,14,21,24,63,53,45,6,17,9,21,314,55,32,31,55,64,168,150,131,44,40,24,54,848,300,138,141,237,344,942,1037,1503,852,739,383,384,7000
20903,4,5,124,10,12,12,14,24,59,63,65,31,18,18,20,346,10,13,4,5,13,42,36,34,24,16,6,12,215,16,9,18,11,16,36,42,37,16,11,3,24,239,36,41,34,38,59,171,161,163,76,53,31,61,924,367,228,168,311,444,1199,1305,1998,1261,1105,625,511,9522
