region_id,Other_type_of_Educational_Institution_Part_time_student_2001_Census_Persons,Other_type_of_Educational_Institution_Part_time_student_2006_Census_Males,Other_type_of_Educational_Institution_Part_time_student_2006_Census_Females,Other_type_of_Educational_Institution_Part_time_student_2006_Census_Persons,Other_type_of_Educational_Institution_Part_time_student_2011_Census_Males,Other_type_of_Educational_Institution_Part_time_student_2011_Census_Females,Other_type_of_Educational_Institution_Part_time_student_2011_Census_Persons,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2001_Census_Males,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2001_Census_Females,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2001_Census_Persons,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2006_Census_Males,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2006_Census_Females,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2006_Census_Persons,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2011_Census_Males,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2011_Census_Females,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2011_Census_Persons,Other_type_of_Educational_Institution_Total_2001_Census_Males,Other_type_of_Educational_Institution_Total_2001_Census_Females,Other_type_of_Educational_Institution_Total_2001_Census_Persons,Other_type_of_Educational_Institution_Total_2006_Census_Males,Other_type_of_Educational_Institution_Total_2006_Census_Females,Other_type_of_Educational_Institution_Total_2006_Census_Persons,Other_type_of_Educational_Institution_Total_2011_Census_Males,Other_type_of_Educational_Institution_Total_2011_Census_Females,Other_type_of_Educational_Institution_Total_2011_Census_Persons,Type_of_educational_institution_not_stated_2001_Census_Males,Type_of_educational_institution_not_stated_2001_Census_Females,Type_of_educational_institution_not_stated_2001_Census_Persons,Type_of_educational_institution_not_stated_2006_Census_Males,Type_of_educational_institution_not_stated_2006_Census_Females,Type_of_educational_institution_not_stated_2006_Census_Persons,Type_of_educational_institution_not_stated_2011_Census_Males,Type_of_educational_institution_not_stated_2011_Census_Females,Type_of_educational_institution_not_stated_2011_Census_Persons,Overseas_visitors_2001_Census_Males,Overseas_visitors_2001_Census_Females,Overseas_visitors_2001_Census_Persons,Overseas_visitors_2006_Census_Males,Overseas_visitors_2006_Census_Females,Overseas_visitors_2006_Census_Persons,Overseas_visitors_2011_Census_Males,Overseas_visitors_2011_Census_Females,Overseas_visitors_2011_Census_Persons,Total_2001_Census_Males,Total_2001_Census_Females,Total_2001_Census_Persons,Total_2006_Census_Males,Total_2006_Census_Females,Total_2006_Census_Persons,Total_2011_Census_Males,Total_2011_Census_Females,Total_2011_Census_Persons
31603,243,71,157,228,99,180,279,3,3,6,4,5,9,0,3,3,119,213,332,102,193,295,129,228,357,921,971,1892,2544,2320,4864,2055,1834,3889,963,1109,2072,1223,1258,2481,1125,1215,2340,6194,6769,12963,7981,8280,16261,7699,8387,16086
31604,214,67,153,220,93,206,299,3,0,3,4,7,11,4,0,4,109,184,293,94,205,299,137,252,389,979,1062,2041,1606,1859,3465,1612,1655,3267,128,206,334,119,181,300,146,178,324,6714,6916,13630,7599,8030,15629,7779,8291,16070
31605,174,42,93,135,43,121,164,4,4,8,0,3,3,3,0,3,90,144,234,54,126,180,58,153,211,774,843,1617,1748,1732,3480,1239,1280,2519,788,946,1734,895,1092,1987,833,971,1804,4448,4819,9267,5636,6020,11656,5515,6085,11600
31606,172,64,132,196,65,174,239,3,0,3,6,5,11,4,5,9,94,161,255,94,173,267,98,238,336,711,730,1441,1363,1419,2782,1342,1351,2693,104,140,244,140,196,336,167,197,364,5346,5525,10871,5995,6358,12353,6237,6856,13093
31701,479,164,364,528,190,399,589,10,8,18,10,9,19,13,16,29,270,397,667,226,454,680,309,549,858,2016,2426,4442,4338,4212,8550,4151,4385,8536,358,413,771,457,490,947,400,473,873,18033,20180,38213,20413,21936,42349,20718,22821,43539
31801,117,29,86,115,15,75,90,3,0,3,8,4,12,5,0,5,70,103,173,52,109,161,48,97,145,906,802,1708,1536,1485,3021,1619,1472,3091,240,200,440,267,243,510,312,274,586,6247,5879,12126,6258,6188,12446,6225,6116,12341
31802,586,181,435,616,211,407,618,5,4,9,9,15,24,5,4,9,315,494,809,271,560,831,307,523,830,3582,2991,6573,7044,6022,13066,7470,6448,13918,980,1234,2214,873,985,1858,731,889,1620,22503,23804,46307,25924,27013,52937,27825,29528,57353
31901,271,82,178,260,103,217,320,4,3,7,0,8,8,3,7,10,147,208,355,118,208,326,167,289,456,1354,1453,2807,3184,3363,6547,2903,2941,5844,368,356,724,507,517,1024,579,561,1140,9770,10222,19992,11441,12244,23685,11486,12188,23674
31902,146,49,122,171,46,89,135,3,0,3,0,0,0,3,5,8,79,119,198,74,150,224,66,122,188,886,807,1693,1811,1701,3512,1653,1500,3153,102,109,211,109,135,244,247,148,395,5647,5578,11225,6281,6477,12758,6322,6538,12860
31903,178,54,134,188,51,132,183,3,0,3,3,3,6,3,3,6,78,155,233,74,166,240,89,165,254,838,913,1751,1347,1367,2714,1621,1706,3327,106,148,254,120,199,319,163,247,410,5174,5276,10450,5827,6000,11827,6103,6735,12838
31904,119,48,118,166,76,139,215,0,3,3,0,3,3,0,7,7,68,105,173,69,152,221,114,203,317,800,848,1648,1647,1666,3313,1604,1784,3388,482,536,1018,458,523,981,310,386,696,5218,5508,10726,6518,7115,13633,6852,7781,14633
31905,121,51,95,146,58,121,179,0,0,0,5,3,8,3,3,6,82,88,170,71,114,185,89,146,235,787,785,1572,1864,1371,3235,1999,1484,3483,241,256,497,278,322,600,177,252,429,4854,4929,9783,5764,5653,11417,5968,5884,11852
39797,7,3,0,3,3,10,13,0,0,0,0,0,0,0,0,0,4,6,10,6,0,6,7,13,20,121,72,193,304,287,591,630,544,1174,252,252,504,133,186,319,348,448,796,405,351,756,483,506,989,1136,1168,2304
40101,126,51,63,114,54,90,144,0,0,0,0,3,3,4,3,7,93,97,190,79,101,180,125,159,284,1260,707,1967,2221,1407,3628,2374,1400,3774,762,643,1405,932,780,1712,1039,913,1952,3922,3247,7169,5635,4919,10554,6706,5937,12643
40102,361,106,216,322,119,202,321,6,3,9,8,0,8,0,3,3,199,268,467,145,270,415,166,257,423,900,945,1845,1562,1647,3209,1322,1311,2633,83,133,216,115,179,294,124,166,290,9245,9557,18802,9711,10158,19869,9865,10349,20214
40103,274,79,144,223,74,115,189,4,0,4,6,0,6,0,0,0,127,208,335,100,176,276,104,144,248,442,548,990,1175,1476,2651,841,1085,1926,183,221,404,184,244,428,220,246,466,5968,6383,12351,6466,7301,13767,6446,7176,13622
40104,273,69,154,223,76,144,220,0,0,0,0,6,6,7,3,10,149,221,370,98,225,323,142,221,363,650,778,1428,1256,1443,2699,1081,1254,2335,92,134,226,139,160,299,140,208,348,6137,6402,12539,6738,7092,13830,6871,7301,14172
40105,265,74,144,218,63,111,174,3,0,3,4,4,8,4,0,4,130,206,336,100,187,287,109,170,279,509,587,1096,1151,1152,2303,994,893,1887,100,135,235,127,181,308,187,228,415,4416,4598,9014,5244,5455,10699,5400,5536,10936
40106,168,35,76,111,55,81,136,0,0,0,3,6,9,4,3,7,85,143,228,51,116,167,104,134,238,418,496,914,830,910,1740,752,668,1420,67,92,159,69,105,174,106,105,211,3606,3868,7474,4171,4354,8525,4141,4303,8444
40107,296,72,113,185,64,95,159,3,3,6,0,3,3,0,4,4,159,203,362,97,159,256,83,132,215,508,726,1234,929,1274,2203,880,937,1817,139,194,333,141,189,330,137,168,305,4938,5786,10724,5303,6265,11568,5403,6079,11482
40201,123,37,85,122,43,99,142,0,3,3,0,3,3,3,0,3,70,86,156,43,110,153,54,126,180,324,345,669,847,933,1780,799,878,1677,42,47,89,31,41,72,30,31,61,3422,3599,7021,4174,4473,8647,4335,4812,9147
40202,395,132,273,405,130,259,389,5,5,10,5,7,12,4,10,14,223,378,601,207,411,618,225,382,607,1217,1322,2539,2972,3108,6080,3051,3005,6056,65,105,170,46,56,102,73,71,144,9762,10088,19850,11028,11594,22622,11954,12571,24525
40203,338,91,195,286,105,201,306,5,6,11,10,11,21,6,11,17,178,303,481,173,315,488,272,367,639,1650,1292,2942,2913,2484,5397,2685,2183,4868,114,99,213,117,190,307,163,228,391,7160,6859,14019,8936,8411,17347,9829,9362,19191
40204,538,163,351,514,218,403,621,11,14,25,16,9,25,5,19,24,382,499,881,426,531,957,400,616,1016,1740,1876,3616,4231,4171,8402,4366,4381,8747,106,137,243,188,184,372,262,278,540,15411,15654,31065,17497,17612,35109,18564,19236,37800
40205,542,147,297,444,187,275,462,0,6,6,3,3,6,5,3,8,298,399,697,209,381,590,262,368,630,1065,1131,2196,2139,2228,4367,1853,2105,3958,175,249,424,177,251,428,187,240,427,13109,13376,26485,12963,13635,26598,12374,13164,25538
40301,209,57,95,152,62,97,159,0,3,3,6,3,9,0,4,4,107,147,254,79,131,210,95,132,227,693,780,1473,1176,1150,2326,1034,1072,2106,185,210,395,156,211,367,183,202,385,3968,4438,8406,4296,4714,9010,4377,4796,9173
40302,528,146,299,445,170,299,469,4,10,14,7,9,16,7,5,12,278,419,697,211,393,604,259,413,672,1029,1235,2264,2125,2274,4399,1994,2100,4094,129,205,334,145,264,409,247,300,547,10271,10894,21165,10892,11769,22661,11423,12278,23701
40303,380,110,202,312,120,198,318,3,4,7,6,10,16,6,5,11,189,290,479,146,268,414,183,253,436,737,939,1676,1426,1558,2984,1152,1218,2370,172,270,442,209,303,512,217,303,520,8813,9377,18190,9364,10065,19429,9285,9991,19276
40304,792,234,495,729,272,524,796,8,6,14,7,11,18,6,10,16,398,632,1030,301,615,916,375,684,1059,1983,2272,4255,4021,4034,8055,3869,4078,7947,195,279,474,208,326,534,226,291,517,21251,21902,43153,21437,22385,43822,21702,23310,45012
40401,582,149,295,444,169,304,473,13,8,21,11,4,15,13,5,18,349,481,830,254,427,681,295,470,765,1846,2016,3862,3397,3584,6981,3186,3205,6391,174,200,374,164,201,365,188,266,454,12455,12867,25322,13493,14060,27553,13907,14415,28322
40402,269,78,176,254,103,183,286,4,5,9,4,15,19,5,3,8,197,223,420,132,258,390,173,284,457,1186,1236,2422,2110,2182,4292,2050,2008,4058,52,70,122,86,111,197,100,154,254,6801,7090,13891,7396,7953,15349,7994,8432,16426
40403,394,113,189,302,140,197,337,5,5,10,4,4,8,5,12,17,230,305,535,181,289,470,266,299,565,825,898,1723,1941,1751,3692,1679,1827,3506,168,193,361,166,219,385,229,242,471,6703,6822,13525,7829,8037,15866,8369,8949,17318
40501,111,26,85,111,35,85,120,3,0,3,0,0,0,5,3,8,52,86,138,32,93,125,53,114,167,436,444,880,854,782,1636,794,764,1558,59,66,125,67,77,144,56,75,131,4073,4022,8095,4402,4427,8829,4376,4530,8906
40502,41,20,52,72,16,52,68,3,0,3,0,0,0,3,0,3,18,43,61,20,68,88,30,71,101,364,352,716,669,686,1355,613,615,1228,25,25,50,33,40,73,53,56,109,2825,2717,5542,2784,2900,5684,2750,2936,5686
40503,50,25,67,92,24,55,79,0,0,0,0,0,0,3,4,7,28,49,77,43,85,128,42,86,128,443,417,860,919,962,1881,854,825,1679,18,32,50,20,20,40,21,24,45,3478,3530,7008,3718,3971,7689,3619,3608,7227
40504,60,9,39,48,19,56,75,0,0,0,0,3,3,0,0,0,26,54,80,13,48,61,31,62,93,402,423,825,707,736,1443,555,572,1127,9,14,23,21,17,38,19,22,41,2536,2657,5193,2644,2830,5474,2503,2655,5158
40601,139,43,91,134,51,138,189,0,3,3,6,8,14,3,3,6,89,138,227,73,130,203,81,180,261,1167,1088,2255,2310,1978,4288,2251,2038,4289,59,83,142,64,72,136,68,55,123,7552,7703,15255,8141,8053,16194,7800,8066,15866
40602,79,29,36,65,29,66,95,0,0,0,3,4,7,0,4,4,51,68,119,44,62,106,51,79,130,2060,1087,3147,2309,1364,3673,2680,1477,4157,182,176,358,157,137,294,117,108,225,5414,4416,9830,5179,4211,9390,5484,4279,9763
40701,134,27,87,114,39,112,151,3,4,7,4,3,7,3,3,6,62,111,173,43,116,159,66,148,214,596,692,1288,1640,1741,3381,1226,1359,2585,127,146,273,152,192,344,174,237,411,4377,4488,8865,5295,5640,10935,5097,5835,10932
40702,157,43,100,143,88,121,209,6,0,6,0,3,3,4,0,4,87,121,208,79,130,209,128,163,291,1168,1085,2253,2233,1944,4177,1833,1672,3505,125,172,297,126,115,241,118,133,251,8262,8407,16669,8807,8940,17747,8383,8706,17089
40703,186,70,148,218,83,163,246,4,3,7,0,0,0,5,11,16,163,169,332,103,196,299,127,236,363,1540,1197,2737,2645,2314,4959,2972,2364,5336,110,108,218,143,155,298,182,197,379,8839,8664,17503,9323,9480,18803,9488,9364,18852
49797,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,25,24,49,10,9,19,28,19,47,92,102,194,19,18,37,22,14,36,130,153,283,33,30,63,54,33,87
50101,91,30,78,108,56,101,157,0,0,0,0,0,0,0,4,4,40,74,114,38,94,132,67,126,193,752,767,1519,1358,1358,2716,1407,1440,2847,200,188,388,335,245,580,247,288,535,4630,4751,9381,5444,5501,10945,5874,6218,12092
50102,234,72,175,247,111,218,329,0,0,0,3,0,3,3,5,8,110,192,302,106,215,321,156,283,439,1399,1217,2616,3469,3123,6592,4028,3292,7320,104,129,233,141,116,257,201,200,401,10745,10905,21650,12463,12188,24651,13841,13644,27485
50103,53,8,45,53,18,28,46,0,0,0,3,0,3,0,0,0,19,52,71,20,49,69,38,39,77,304,297,601,660,698,1358,617,556,1173,104,93,197,120,126,246,131,119,250,2847,2868,5715,2886,2969,5855,2876,2935,5811
50201,185,28,156,184,72,178,250,3,0,3,0,7,7,4,6,10,93,177,270,45,205,250,111,253,364,1176,1247,2423,3017,3211,6228,3073,3112,6185,74,84,158,109,155,264,184,213,397,7159,7482,14641,8937,9683,18620,10771,11581,22352
50301,365,82,143,225,84,157,241,0,4,4,5,0,5,0,0,0,195,277,472,125,193,318,113,210,323,1353,1492,2845,2537,2663,5200,2175,2123,4298,563,680,1243,587,679,1266,597,730,1327,11394,12113,23507,12042,12704,24746,12342,12821,25163
50302,555,173,235,408,231,353,584,0,4,4,6,6,12,0,10,10,374,457,831,296,376,672,433,582,1015,3291,2762,6053,6531,4933,11464,5711,4454,10165,1835,1810,3645,2233,1984,4217,2411,1939,4350,13534,13598,27132,16716,15974,32690,17674,16765,34439
50401,371,106,188,294,133,207,340,0,4,4,3,7,10,3,3,6,276,298,574,156,263,419,251,302,553,1336,1452,2788,2917,2563,5480,2654,2348,5002,191,248,439,201,232,433,299,339,638,9207,9542,18749,9872,9849,19721,10534,10560,21094
50402,147,36,113,149,42,105,147,5,0,5,3,3,6,0,0,0,84,129,213,65,151,216,69,140,209,868,529,1397,2118,1203,3321,2610,1266,3876,52,87,139,51,87,138,59,82,141,5953,5673,11626,6569,5777,12346,7006,5845,12851
50403,327,88,226,314,130,314,444,5,4,9,8,3,11,5,10,15,224,287,511,163,293,456,197,411,608,1649,1715,3364,3877,3911,7788,3554,3717,7271,173,188,361,220,226,446,248,280,528,12381,12369,24750,14604,14598,29202,15949,16411,32360
50501,642,175,332,507,201,345,546,3,3,6,11,12,23,6,4,10,360,546,906,244,432,676,311,447,758,1846,2065,3911,4322,4222,8544,3311,3473,6784,495,647,1142,563,697,1260,518,660,1178,23751,24567,48318,23397,24089,47486,22454,23425,45879
50502,945,212,453,665,308,509,817,7,8,15,7,18,25,19,9,28,596,776,1372,345,638,983,544,755,1299,3153,3562,6715,6773,6775,13548,6839,6460,13299,630,761,1391,577,735,1312,717,887,1604,21186,22257,43443,23635,24716,48351,26168,26795,52963
50503,296,123,270,393,224,415,639,9,8,17,6,8,14,10,0,10,176,262,438,204,379,583,367,560,927,1582,1516,3098,4371,4273,8644,4942,5008,9950,132,217,349,263,347,610,369,505,874,12380,12364,24744,17626,18078,35704,23665,24831,48496
50601,173,51,143,194,86,175,261,0,0,0,3,3,6,5,7,12,98,167,265,77,187,264,144,244,388,985,1028,2013,1958,2044,4002,2334,2332,4666,90,125,215,85,135,220,110,176,286,7362,7668,15030,7382,7766,15148,8862,9235,18097
50602,331,94,154,248,129,218,347,4,3,7,7,4,11,3,3,6,243,319,562,159,237,396,233,359,592,1337,1374,2711,3330,2865,6195,3437,2676,6113,364,383,747,352,323,675,501,482,983,7311,7588,14899,8822,8728,17550,10421,9892,20313
