region_id,Other_type_of_Educational_Institution_Part_time_student_2001_Census_Persons,Other_type_of_Educational_Institution_Part_time_student_2006_Census_Males,Other_type_of_Educational_Institution_Part_time_student_2006_Census_Females,Other_type_of_Educational_Institution_Part_time_student_2006_Census_Persons,Other_type_of_Educational_Institution_Part_time_student_2011_Census_Males,Other_type_of_Educational_Institution_Part_time_student_2011_Census_Females,Other_type_of_Educational_Institution_Part_time_student_2011_Census_Persons,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2001_Census_Males,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2001_Census_Females,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2001_Census_Persons,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2006_Census_Males,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2006_Census_Females,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2006_Census_Persons,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2011_Census_Males,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2011_Census_Females,Other_type_of_Educational_Institution_Full_Part_time_student_status_not_stated_2011_Census_Persons,Other_type_of_Educational_Institution_Total_2001_Census_Males,Other_type_of_Educational_Institution_Total_2001_Census_Females,Other_type_of_Educational_Institution_Total_2001_Census_Persons,Other_type_of_Educational_Institution_Total_2006_Census_Males,Other_type_of_Educational_Institution_Total_2006_Census_Females,Other_type_of_Educational_Institution_Total_2006_Census_Persons,Other_type_of_Educational_Institution_Total_2011_Census_Males,Other_type_of_Educational_Institution_Total_2011_Census_Females,Other_type_of_Educational_Institution_Total_2011_Census_Persons,Type_of_educational_institution_not_stated_2001_Census_Males,Type_of_educational_institution_not_stated_2001_Census_Females,Type_of_educational_institution_not_stated_2001_Census_Persons,Type_of_educational_institution_not_stated_2006_Census_Males,Type_of_educational_institution_not_stated_2006_Census_Females,Type_of_educational_institution_not_stated_2006_Census_Persons,Type_of_educational_institution_not_stated_2011_Census_Males,Type_of_educational_institution_not_stated_2011_Census_Females,Type_of_educational_institution_not_stated_2011_Census_Persons,Overseas_visitors_2001_Census_Males,Overseas_visitors_2001_Census_Females,Overseas_visitors_2001_Census_Persons,Overseas_visitors_2006_Census_Males,Overseas_visitors_2006_Census_Females,Overseas_visitors_2006_Census_Persons,Overseas_visitors_2011_Census_Males,Overseas_visitors_2011_Census_Females,Overseas_visitors_2011_Census_Persons,Total_2001_Census_Males,Total_2001_Census_Females,Total_2001_Census_Persons,Total_2006_Census_Males,Total_2006_Census_Females,Total_2006_Census_Persons,Total_2011_Census_Males,Total_2011_Census_Females,Total_2011_Census_Persons
50603,415,102,192,294,156,268,424,5,4,9,4,9,13,11,4,15,295,380,675,188,310,498,298,404,702,1338,1846,3184,3065,2944,6009,2718,2701,5419,408,601,1009,427,505,932,549,671,1220,12753,13276,26029,14040,14043,28083,15298,15413,30711
50604,346,117,235,352,171,328,499,7,3,10,6,5,11,7,5,12,201,322,523,169,306,475,309,461,770,1676,1599,3275,4076,3496,7572,4949,3882,8831,158,212,370,174,263,437,329,421,750,12020,11832,23852,14185,13928,28113,17308,16614,33922
50605,195,58,114,172,57,134,191,4,4,8,3,3,6,6,0,6,118,184,302,87,151,238,91,170,261,732,834,1566,1567,1641,3208,1585,1586,3171,84,102,186,135,162,297,125,170,295,6891,7343,14234,7238,7439,14677,7489,7767,15256
50606,48,7,38,45,16,45,61,3,3,6,0,0,0,0,3,3,33,34,67,19,46,65,27,64,91,368,172,540,554,311,865,667,424,1091,29,29,58,19,28,47,38,43,81,1842,1671,3513,2112,1946,4058,2700,2638,5338
50607,220,70,109,179,62,133,195,0,0,0,0,0,0,0,0,0,147,190,337,106,171,277,103,180,283,669,922,1591,1790,1716,3506,1485,1458,2943,402,478,880,372,419,791,423,425,848,6111,6347,12458,7102,6849,13951,7123,6987,14110
50701,312,97,169,266,134,282,416,3,3,6,3,6,9,9,0,9,244,278,522,250,220,470,379,342,721,1056,987,2043,3039,2813,5852,2534,2584,5118,207,173,380,279,182,461,255,297,552,9140,9127,18267,11221,11229,22450,12616,13123,25739
50702,209,43,81,124,50,88,138,3,0,3,3,3,6,0,4,4,114,189,303,68,100,168,69,113,182,1008,913,1921,1782,1515,3297,1404,1256,2660,305,258,563,315,290,605,372,309,681,4563,4824,9387,5111,5223,10334,5163,5363,10526
50703,74,16,44,60,35,75,110,0,3,3,0,0,0,0,4,4,60,56,116,24,62,86,41,105,146,1029,444,1473,1920,1239,3159,1975,1319,3294,20,27,47,18,36,54,57,57,114,3551,3011,6562,4214,3542,7756,4895,4431,9326
50704,451,114,196,310,117,247,364,4,0,4,8,10,18,5,4,9,291,392,683,162,280,442,189,331,520,1185,1393,2578,2828,3177,6005,2340,2438,4778,479,660,1139,421,640,1061,526,623,1149,14966,15817,30783,15212,16491,31703,15093,15763,30856
50705,280,76,179,255,118,272,390,0,3,3,4,3,7,4,9,13,166,236,402,112,225,337,199,372,571,1644,1787,3431,3800,3700,7500,3452,3341,6793,131,167,298,144,208,352,235,285,520,10723,11088,21811,13095,13591,26686,14980,15903,30883
50801,42,12,34,46,15,38,53,0,0,0,3,0,3,0,0,0,32,42,74,19,40,59,21,46,67,408,380,788,620,504,1124,693,591,1284,38,40,78,58,33,91,45,44,89,2050,2116,4166,2196,2186,4382,2262,2226,4488
50802,32,11,21,32,9,20,29,0,0,0,3,3,6,0,0,0,21,36,57,17,30,47,12,23,35,511,412,923,919,750,1669,863,749,1612,235,293,528,271,317,588,244,306,550,1825,1844,3669,2101,2044,4145,1974,1984,3958
50803,165,40,77,117,53,108,161,3,0,3,3,3,6,4,3,7,90,112,202,50,97,147,70,128,198,1874,1286,3160,3066,2435,5501,4358,2572,6930,95,57,152,174,98,272,207,148,355,6536,5600,12136,7238,6254,13492,8583,6766,15349
50804,122,30,61,91,50,79,129,3,3,6,0,0,0,3,4,7,65,94,159,42,76,118,78,103,181,2840,1800,4640,3303,2796,6099,4710,2409,7119,608,708,1316,547,591,1138,712,693,1405,6885,6069,12954,6688,6488,13176,9011,7103,16114
50805,114,27,60,87,56,69,125,6,5,11,3,3,6,0,4,4,94,100,194,40,71,111,86,101,187,1430,984,2414,2870,2564,5434,3118,2137,5255,193,207,400,200,228,428,285,262,547,7386,7065,14451,8077,7752,15829,8629,7931,16560
50806,122,45,80,125,111,121,232,3,4,7,0,4,4,4,3,7,55,99,154,60,101,161,139,140,279,2304,1440,3744,7039,3694,10733,13201,4693,17894,168,168,336,310,199,509,594,276,870,7188,6343,13531,11458,7856,19314,18652,9350,28002
50901,150,73,98,171,50,115,165,3,4,7,3,8,11,7,5,12,84,143,227,96,125,221,84,157,241,1210,883,2093,2193,1957,4150,2041,1510,3551,128,157,285,147,156,303,152,163,315,7318,7199,14517,7663,7574,15237,7716,7615,15331
50902,130,41,92,133,43,93,136,6,5,11,3,3,6,4,7,11,80,114,194,59,114,173,138,143,281,1235,1142,2377,2277,1982,4259,2408,1902,4310,190,174,364,314,180,494,242,224,466,7179,6908,14087,7477,7015,14492,7425,7093,14518
50903,43,8,26,34,16,32,48,0,0,0,3,5,8,0,0,0,23,42,65,21,34,55,27,40,67,315,283,598,672,662,1334,1170,622,1792,35,62,97,48,56,104,73,70,143,2619,2627,5246,2655,2725,5380,3042,2645,5687
59797,11,9,3,12,6,5,11,0,0,0,0,0,0,0,0,0,8,3,11,12,3,15,6,5,11,546,42,588,466,106,572,509,37,546,61,50,111,261,116,377,435,25,460,677,110,787,824,244,1068,1022,89,1111
60101,43,9,22,31,14,37,51,0,0,0,0,5,5,0,0,0,22,44,66,22,40,62,29,64,93,272,272,544,802,807,1609,625,718,1343,3,0,3,6,5,11,0,8,8,1851,1906,3757,2442,2522,4964,2405,2568,4973
60102,219,54,119,173,50,139,189,6,6,12,3,3,6,3,3,6,132,192,324,92,155,247,69,178,247,1028,890,1918,1787,1588,3375,1688,1359,3047,48,74,122,55,77,132,45,85,130,6596,6444,13040,6903,6753,13656,6844,6738,13582
60103,222,53,121,174,72,157,229,3,5,8,4,5,9,9,4,13,111,200,311,73,166,239,120,222,342,991,1093,2084,2048,2369,4417,1675,1816,3491,40,37,77,29,26,55,39,52,91,6364,6429,12793,7019,7567,14586,6843,7219,14062
60104,139,40,86,126,44,88,132,3,0,3,3,3,6,0,3,3,75,114,189,65,117,182,59,123,182,315,366,681,621,734,1355,613,666,1279,41,60,101,26,47,73,56,73,129,4006,4087,8093,4157,4490,8647,4349,4738,9087
60105,297,76,133,209,107,144,251,3,5,8,8,11,19,0,3,3,158,215,373,96,175,271,157,199,356,1009,1005,2014,1879,1778,3657,1697,1520,3217,312,385,697,290,340,630,337,380,717,7901,8329,16230,8587,8844,17431,8571,8689,17260
60106,42,11,33,44,15,58,73,0,3,3,0,0,0,0,3,3,23,35,58,18,43,61,22,70,92,228,224,452,414,459,873,435,438,873,7,6,13,13,11,24,5,12,17,1671,1711,3382,1924,2022,3946,1871,2014,3885
60201,294,80,166,246,119,206,325,4,9,13,10,10,20,0,8,8,183,301,484,122,226,348,180,280,460,1474,1775,3249,2690,2964,5654,2248,2381,4629,205,156,361,158,181,339,204,194,398,11028,11440,22468,11862,12549,24411,11838,12430,24268
60202,103,27,47,74,20,55,75,3,3,6,0,0,0,0,0,0,46,102,148,42,67,109,53,81,134,390,440,830,809,833,1642,615,587,1202,34,19,53,21,15,36,27,29,56,2844,2979,5823,3123,3190,6313,2825,2936,5761
60203,148,21,78,99,34,96,130,3,3,6,3,3,6,0,3,3,82,167,249,45,125,170,66,132,198,801,813,1614,1385,1282,2667,1140,1065,2205,26,25,51,44,49,93,50,65,115,4630,4696,9326,5043,5033,10076,4544,4790,9334
60301,36,6,23,29,17,24,41,0,0,0,0,0,0,0,0,0,18,33,51,10,35,45,22,37,59,298,207,505,530,405,935,475,342,817,5,4,9,21,9,30,14,28,42,1476,1384,2860,1574,1503,3077,1540,1462,3002
60302,87,13,46,59,26,60,86,0,0,0,3,0,3,3,0,3,45,88,133,26,68,94,48,88,136,412,406,818,618,576,1194,491,444,935,14,21,35,16,21,37,19,20,39,2238,2291,4529,2377,2334,4711,2253,2288,4541
60303,19,3,15,18,8,15,23,0,0,0,0,0,0,0,0,0,10,20,30,6,22,28,11,18,29,171,159,330,256,228,484,204,227,431,27,35,62,15,36,51,29,42,71,782,769,1551,752,819,1571,689,728,1417
60401,161,31,87,118,48,102,150,0,0,0,3,3,6,3,3,6,82,124,206,56,120,176,73,148,221,979,1129,2108,1523,1618,3141,1516,1673,3189,28,53,81,40,46,86,67,66,133,6193,6537,12730,6432,6887,13319,6250,6825,13075
60402,127,34,93,127,47,89,136,0,3,3,0,3,3,4,0,4,74,119,193,68,141,209,80,123,203,813,854,1667,1271,1398,2669,1240,1338,2578,40,53,93,57,69,126,58,64,122,5083,5240,10323,5458,5783,11241,5452,5810,11262
60403,58,17,24,41,18,39,57,0,0,0,0,3,3,0,3,3,29,47,76,17,37,54,35,66,101,354,327,681,623,509,1132,667,541,1208,27,19,46,25,22,47,48,46,94,2409,2398,4807,2592,2447,5039,2471,2375,4846
69797,8,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,8,11,0,0,0,3,0,3,154,54,208,61,13,74,48,18,66,4,5,9,34,0,34,19,9,28,204,95,299,114,29,143,91,45,136
70101,156,39,73,112,56,105,161,0,0,0,3,0,3,3,0,3,76,101,177,45,83,128,72,125,197,1552,1037,2589,2011,1449,3460,2417,1565,3982,1131,928,2059,861,899,1760,844,844,1688,4506,3788,8294,4644,4287,8931,5169,4663,9832
70102,330,67,150,217,105,203,308,3,4,7,3,13,16,3,7,10,168,255,423,128,210,338,169,260,429,1944,1460,3404,3331,2592,5923,4498,2891,7389,283,349,632,313,311,624,255,280,535,8807,8743,17550,9298,8928,18226,10516,9453,19969
70103,55,4,41,45,25,66,91,0,0,0,3,0,3,3,0,3,22,39,61,22,49,71,36,80,116,554,458,1012,1159,936,2095,1481,1225,2706,84,103,187,79,78,157,66,85,151,2429,2351,4780,2958,2713,5671,3461,3348,6809
70104,121,22,89,111,44,108,152,0,0,0,0,0,0,0,0,0,51,94,145,32,103,135,59,127,186,712,670,1382,1618,1494,3112,1386,1358,2744,25,40,65,48,51,99,51,78,129,3570,3790,7360,4414,4567,8981,4494,4967,9461
70201,224,53,125,178,63,130,193,7,3,10,3,4,7,5,4,9,135,185,320,79,172,251,113,196,309,2066,1579,3645,2813,2340,5153,3271,2409,5680,1217,1460,2677,1083,1262,2345,1092,1245,2337,7544,7612,15156,7572,7514,15086,8136,7737,15873
70202,15,6,7,13,9,15,24,0,0,0,3,3,6,0,0,0,8,17,25,12,14,26,12,18,30,297,299,596,702,601,1303,499,442,941,107,108,215,66,69,135,63,84,147,1005,1070,2075,1178,1120,2298,1120,1088,2208
70203,31,11,25,36,18,22,40,0,0,0,0,0,0,0,0,0,23,31,54,24,34,58,35,36,71,844,742,1586,1543,1205,2748,939,577,1516,522,576,1098,387,379,766,320,344,664,2942,2881,5823,3328,2974,6302,3292,2899,6191
70204,46,25,21,46,46,47,93,3,3,6,5,5,10,0,0,0,22,39,61,30,36,66,64,70,134,609,495,1104,1312,930,2242,616,462,1078,20,33,53,38,35,73,20,24,44,2011,1930,3941,2718,2395,5113,2532,2332,4864
70205,64,17,28,45,43,70,113,0,0,0,0,3,3,10,0,10,38,46,84,28,45,73,82,100,182,1245,965,2210,1836,1576,3412,1267,1105,2372,450,304,754,339,243,582,174,185,359,3606,3197,6803,3914,3694,7608,3396,3396,6792
79797,8,3,3,6,3,3,6,0,0,0,0,0,0,0,0,0,8,0,8,3,3,6,3,3,6,286,54,340,57,23,80,66,43,109,154,41,195,63,59,122,79,27,106,510,113,623,127,97,224,160,82,242
80101,557,182,309,491,212,310,522,8,3,11,7,7,14,3,7,10,316,394,710,243,378,621,274,381,655,1358,1329,2687,2295,2121,4416,2515,2473,4988,228,318,546,236,310,546,294,402,696,14035,14224,28259,13695,13914,27609,14588,14992,29580
80102,10,3,4,7,0,3,3,0,0,0,0,0,0,0,0,0,11,15,26,7,11,18,4,6,10,6,13,19,12,3,15,82,39,121,8,6,14,18,23,41,4,4,8,114,119,233,106,104,210,246,216,462
80103,13,4,0,4,4,3,7,0,0,0,0,0,0,0,0,0,28,8,36,8,0,8,4,3,7,122,59,181,90,66,156,431,64,495,3,0,3,6,4,10,3,8,11,315,202,517,271,205,476,606,237,843
80104,179,57,110,167,104,187,291,0,0,0,4,6,10,3,3,6,90,144,234,81,138,219,148,233,381,355,329,684,928,899,1827,923,862,1785,38,61,99,56,97,153,173,239,412,3755,3963,7718,5308,5558,10866,7995,8262,16257
80105,263,94,131,225,97,134,231,3,4,7,6,4,10,0,3,3,270,224,494,378,206,584,354,212,566,1412,1335,2747,2487,1888,4375,2449,1823,4272,538,478,1016,593,521,1114,793,702,1495,8355,8120,16475,10207,9371,19578,11577,10514,22091
80106,153,48,84,132,54,81,135,5,3,8,0,4,4,0,3,3,91,115,206,86,114,200,103,108,211,693,642,1335,1222,1042,2264,1068,836,1904,210,197,407,244,198,442,216,161,377,3917,3919,7836,4210,4139,8349,4313,4050,8363
80107,559,169,320,489,170,335,505,3,6,9,11,5,16,8,3,11,317,392,709,235,387,622,224,391,615,1191,1197,2388,2218,2190,4408,1698,1615,3313,123,168,291,105,156,261,105,148,253,15295,15295,30590,14344,14743,29087,12727,13170,25897
80108,160,49,62,111,43,61,104,3,0,3,4,0,4,3,3,6,86,115,201,86,71,157,58,71,129,301,328,629,464,425,889,388,373,761,63,79,142,48,66,114,47,72,119,3360,3400,6760,3052,3160,6212,3082,3152,6234
80109,249,72,97,169,75,101,176,3,3,6,3,0,3,6,3,9,145,185,330,100,115,215,113,126,239,686,743,1429,1125,1115,2240,750,665,1415,111,134,245,95,143,238,110,175,285,4987,5109,10096,5046,5162,10208,4899,4978,9877
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101,8,0,8,8,0,3,3,0,0,0,0,3,3,3,0,3,8,0,8,0,11,11,3,3,6,52,38,90,232,33,265,830,72,902,48,12,60,21,14,35,8,10,18,306,230,536,398,211,609,951,209,1160
90102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,37,38,38,76,22,15,37,3,0,3,31,4,35,11,13,24,88,73,161,114,100,214,91,81,172
90103,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,41,15,8,23,5,0,5,5,10,15,11,15,26,17,9,26,4,3,7,0,0,0,0,0,0,90,88,178,68,54,122,75,61,136
99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
