region_id,2011_Census_Persons_35_39_years_Total_labour_force,2011_Census_Persons_35_39_years_Not_in_the_labour_force,2011_Census_Persons_35_39_years_Labour_force_status_not_stated,2011_Census_Persons_35_39_years_Total,2011_Census_Persons_40_44_years_Employed_Worked_full_time,2011_Census_Persons_40_44_years_Employed_Worked_part_time,2011_Census_Persons_40_44_years_Employed_Away_from_work,2011_Census_Persons_40_44_years_Employed_Hours_worked_not_stated,2011_Census_Persons_40_44_years_Employed_Total,2011_Census_Persons_40_44_years_Unemployed_Looking_for_full_time_work,2011_Census_Persons_40_44_years_Unemployed_Looking_for_part_time_work,2011_Census_Persons_40_44_years_Unemployed_Total,2011_Census_Persons_40_44_years_Total_labour_force,2011_Census_Persons_40_44_years_Not_in_the_labour_force,2011_Census_Persons_40_44_years_Labour_force_status_not_stated,2011_Census_Persons_40_44_years_Total,2011_Census_Persons_45_49_years_Employed_Worked_full_time,2011_Census_Persons_45_49_years_Employed_Worked_part_time,2011_Census_Persons_45_49_years_Employed_Away_from_work,2011_Census_Persons_45_49_years_Employed_Hours_worked_not_stated,2011_Census_Persons_45_49_years_Employed_Total,2011_Census_Persons_45_49_years_Unemployed_Looking_for_full_time_work,2011_Census_Persons_45_49_years_Unemployed_Looking_for_part_time_work,2011_Census_Persons_45_49_years_Unemployed_Total,2011_Census_Persons_45_49_years_Total_labour_force,2011_Census_Persons_45_49_years_Not_in_the_labour_force,2011_Census_Persons_45_49_years_Labour_force_status_not_stated,2011_Census_Persons_45_49_years_Total,2011_Census_Persons_50_54_years_Employed_Worked_full_time,2011_Census_Persons_50_54_years_Employed_Worked_part_time,2011_Census_Persons_50_54_years_Employed_Away_from_work,2011_Census_Persons_50_54_years_Employed_Hours_worked_not_stated,2011_Census_Persons_50_54_years_Employed_Total,2011_Census_Persons_50_54_years_Unemployed_Looking_for_full_time_work,2011_Census_Persons_50_54_years_Unemployed_Looking_for_part_time_work,2011_Census_Persons_50_54_years_Unemployed_Total,2011_Census_Persons_50_54_years_Total_labour_force,2011_Census_Persons_50_54_years_Not_in_the_labour_force,2011_Census_Persons_50_54_years_Labour_force_status_not_stated,2011_Census_Persons_50_54_years_Total,2011_Census_Persons_55_59_years_Employed_Worked_full_time,2011_Census_Persons_55_59_years_Employed_Worked_part_time,2011_Census_Persons_55_59_years_Employed_Away_from_work,2011_Census_Persons_55_59_years_Employed_Hours_worked_not_stated,2011_Census_Persons_55_59_years_Employed_Total,2011_Census_Persons_55_59_years_Unemployed_Looking_for_full_time_work,2011_Census_Persons_55_59_years_Unemployed_Looking_for_part_time_work,2011_Census_Persons_55_59_years_Unemployed_Total,2011_Census_Persons_55_59_years_Total_labour_force,2011_Census_Persons_55_59_years_Not_in_the_labour_force,2011_Census_Persons_55_59_years_Labour_force_status_not_stated,2011_Census_Persons_55_59_years_Total,2011_Census_Persons_60_64_years_Employed_Worked_full_time,2011_Census_Persons_60_64_years_Employed_Worked_part_time,2011_Census_Persons_60_64_years_Employed_Away_from_work,2011_Census_Persons_60_64_years_Employed_Hours_worked_not_stated,2011_Census_Persons_60_64_years_Employed_Total,2011_Census_Persons_60_64_years_Unemployed_Looking_for_full_time_work,2011_Census_Persons_60_64_years_Unemployed_Looking_for_part_time_work,2011_Census_Persons_60_64_years_Unemployed_Total,2011_Census_Persons_60_64_years_Total_labour_force,2011_Census_Persons_60_64_years_Not_in_the_labour_force,2011_Census_Persons_60_64_years_Labour_force_status_not_stated,2011_Census_Persons_60_64_years_Total,2011_Census_Persons_65_69_years_Employed_Worked_full_time,2011_Census_Persons_65_69_years_Employed_Worked_part_time,2011_Census_Persons_65_69_years_Employed_Away_from_work,2011_Census_Persons_65_69_years_Employed_Hours_worked_not_stated,2011_Census_Persons_65_69_years_Employed_Total,2011_Census_Persons_65_69_years_Unemployed_Looking_for_full_time_work,2011_Census_Persons_65_69_years_Unemployed_Looking_for_part_time_work,2011_Census_Persons_65_69_years_Unemployed_Total,2011_Census_Persons_65_69_years_Total_labour_force,2011_Census_Persons_65_69_years_Not_in_the_labour_force,2011_Census_Persons_65_69_years_Labour_force_status_not_stated,2011_Census_Persons_65_69_years_Total,2011_Census_Persons_70_74_years_Employed_Worked_full_time,2011_Census_Persons_70_74_years_Employed_Worked_part_time,2011_Census_Persons_70_74_years_Employed_Away_from_work,2011_Census_Persons_70_74_years_Employed_Hours_worked_not_stated,2011_Census_Persons_70_74_years_Employed_Total,2011_Census_Persons_70_74_years_Unemployed_Looking_for_full_time_work,2011_Census_Persons_70_74_years_Unemployed_Looking_for_part_time_work,2011_Census_Persons_70_74_years_Unemployed_Total,2011_Census_Persons_70_74_years_Total_labour_force,2011_Census_Persons_70_74_years_Not_in_the_labour_force,2011_Census_Persons_70_74_years_Labour_force_status_not_stated,2011_Census_Persons_70_74_years_Total,2011_Census_Persons_75_years_and_over_Employed_Worked_full_time,2011_Census_Persons_75_years_and_over_Employed_Worked_part_time,2011_Census_Persons_75_years_and_over_Employed_Away_from_work,2011_Census_Persons_75_years_and_over_Employed_Hours_worked_not_stated,2011_Census_Persons_75_years_and_over_Employed_Total,2011_Census_Persons_75_years_and_over_Unemployed_Looking_for_full_time_work,2011_Census_Persons_75_years_and_over_Unemployed_Looking_for_part_time_work,2011_Census_Persons_75_years_and_over_Unemployed_Total,2011_Census_Persons_75_years_and_over_Total_labour_force,2011_Census_Persons_75_years_and_over_Not_in_the_labour_force,2011_Census_Persons_75_years_and_over_Labour_force_status_not_stated,2011_Census_Persons_75_years_and_over_Total,2011_Census_Persons_Total_Employed_Worked_full_time,2011_Census_Persons_Total_Employed_Worked_part_time,2011_Census_Persons_Total_Employed_Away_from_work,2011_Census_Persons_Total_Employed_Hours_worked_not_stated,2011_Census_Persons_Total_Employed_Total,2011_Census_Persons_Total_Unemployed_Looking_for_full_time_work,2011_Census_Persons_Total_Unemployed_Looking_for_part_time_work,2011_Census_Persons_Total_Unemployed_Total,2011_Census_Persons_Total_Total_labour_force,2011_Census_Persons_Total_Not_in_the_labour_force,2011_Census_Persons_Total_Labour_force_status_not_stated,2011_Census_Persons_Total_Total
69797,40,3,3,46,23,3,8,0,34,0,0,0,34,3,10,47,41,3,12,0,56,0,0,0,56,5,3,64,48,3,3,0,54,3,0,3,57,9,6,72,30,6,6,0,42,0,0,0,42,17,8,67,20,4,0,0,24,0,0,0,24,18,10,52,8,0,0,0,8,0,0,0,8,16,6,30,3,6,0,0,9,0,0,0,9,9,3,21,3,0,0,0,3,0,0,0,3,3,0,6,291,37,49,7,384,7,0,7,391,91,65,547
70101,1572,285,263,2120,1142,248,87,27,1504,35,9,44,1548,226,269,2043,1246,211,97,18,1572,26,10,36,1608,207,254,2069,1131,226,87,16,1460,30,3,33,1493,238,264,1995,956,243,112,21,1332,20,9,29,1361,320,240,1921,580,173,88,9,850,13,10,23,873,544,216,1633,224,113,42,9,388,3,4,7,395,538,125,1058,54,41,14,0,109,0,3,3,112,482,103,697,17,17,0,3,37,0,3,3,40,598,116,754,11335,2722,1006,247,15310,318,142,460,15770,4788,3082,23640
70102,3081,636,429,4146,2180,627,127,62,2996,49,28,77,3073,521,418,4012,2104,531,133,67,2835,59,23,82,2917,504,345,3766,2135,451,149,57,2792,43,14,57,2849,501,335,3685,1662,406,128,40,2236,44,12,56,2292,666,291,3249,1054,405,129,28,1616,25,18,43,1659,1086,303,3048,283,173,54,17,527,7,3,10,537,1201,188,1926,63,79,11,4,157,0,4,4,161,971,136,1268,15,16,6,3,40,0,0,0,40,1122,188,1350,17911,5925,1395,634,25865,696,412,1108,26973,10837,4288,42098
70103,1110,167,172,1449,944,262,74,24,1304,27,6,33,1337,172,223,1732,914,216,84,32,1246,26,8,34,1280,165,209,1654,796,209,102,26,1133,18,7,25,1158,184,218,1560,590,183,74,17,864,13,12,25,889,373,212,1474,342,152,64,7,565,17,9,26,591,611,174,1376,104,70,28,3,205,0,3,3,208,636,112,956,19,27,4,0,50,0,0,0,50,386,66,502,3,9,3,0,15,0,0,0,15,343,50,408,6682,2023,700,233,9638,248,109,357,9995,3874,2005,15874
70104,1962,242,171,2375,1297,275,70,51,1693,35,7,42,1735,211,177,2123,1067,201,69,32,1369,30,10,40,1409,144,130,1683,873,182,69,24,1148,11,7,18,1166,166,113,1445,584,127,50,14,775,21,5,26,801,248,87,1136,276,124,27,10,437,0,7,7,444,311,77,832,72,49,6,3,130,6,0,6,136,328,35,499,21,12,3,3,39,0,0,0,39,257,37,333,3,6,0,0,9,0,3,3,12,324,56,392,10184,2627,805,331,13947,381,170,551,14498,3793,1702,19993
70201,2024,605,353,2982,1421,369,112,45,1947,52,17,69,2016,566,362,2944,1514,344,115,37,2010,38,14,52,2062,410,355,2827,1407,341,145,51,1944,37,15,52,1996,460,298,2754,1228,268,187,30,1713,22,7,29,1742,544,291,2577,648,199,131,23,1001,20,5,25,1026,775,215,2016,195,98,44,13,350,0,5,5,355,805,192,1352,56,49,16,3,124,3,0,3,127,527,107,761,12,21,3,3,39,3,0,3,42,615,161,818,12361,3631,1200,485,17677,606,292,898,18575,8790,3930,31295
70202,235,118,69,422,127,41,9,11,188,16,6,22,210,93,76,379,157,33,15,7,212,14,0,14,226,103,46,375,176,38,26,4,244,8,0,8,252,92,41,385,163,32,27,11,233,3,0,3,236,97,39,372,115,34,19,3,171,3,0,3,174,166,63,403,36,9,5,3,53,0,3,3,56,172,43,271,11,6,6,0,23,0,3,3,26,134,34,194,0,0,0,0,0,3,0,3,3,118,23,144,1447,410,180,107,2144,149,33,182,2326,1861,740,4927
70203,877,383,102,1362,480,179,76,22,757,40,21,61,818,343,99,1260,478,158,58,22,716,41,14,55,771,252,84,1107,499,152,105,17,773,20,13,33,806,287,102,1195,349,114,91,11,565,23,8,31,596,365,94,1055,200,88,57,8,353,13,8,21,374,536,86,996,73,31,27,8,139,3,0,3,142,429,58,629,19,15,0,3,37,0,0,0,37,234,25,296,13,10,0,4,27,0,0,0,27,158,19,204,4060,1526,638,204,6428,515,215,730,7158,5544,1059,13761
70204,820,386,64,1270,512,166,36,12,726,51,11,62,788,269,95,1152,500,124,31,21,676,31,6,37,713,219,91,1023,444,104,23,20,591,24,6,30,621,172,56,849,322,80,16,9,427,14,0,14,441,161,57,659,173,36,12,7,228,0,3,3,231,145,21,397,53,20,5,0,78,4,0,4,82,102,16,200,10,9,0,7,26,0,0,0,26,66,7,99,3,7,3,3,16,3,0,3,19,64,0,83,3725,1270,250,221,5466,488,80,568,6034,3710,691,10435
70205,871,289,156,1316,622,168,78,29,897,60,8,68,965,282,167,1414,543,161,87,23,814,45,7,52,866,244,129,1239,580,129,127,21,857,34,14,48,905,263,140,1308,470,92,146,24,732,17,6,23,755,443,127,1325,296,116,87,12,511,11,5,16,527,669,103,1299,97,52,41,10,200,3,4,7,207,675,88,970,27,18,15,4,64,4,0,4,68,442,64,574,6,15,7,6,34,0,0,0,34,347,74,455,5137,1748,839,311,8035,582,184,766,8801,5466,1657,15924
79797,33,3,30,66,32,3,0,4,39,0,0,0,39,3,7,49,26,3,6,3,38,0,0,0,38,3,24,65,25,3,10,3,41,0,0,0,41,3,0,44,19,6,3,7,35,0,0,0,35,3,0,38,10,3,8,0,21,0,0,0,21,17,3,41,3,4,3,0,10,0,0,0,10,12,0,22,0,3,0,0,3,0,0,0,3,14,0,17,0,3,0,0,3,0,0,0,3,8,6,17,229,44,39,27,339,6,0,6,345,84,110,539
80101,5991,780,250,7021,3702,1186,216,71,5175,87,49,136,5311,687,198,6196,3441,901,179,76,4597,76,36,112,4709,545,187,5441,3346,912,209,61,4528,67,33,100,4628,670,164,5462,2562,916,191,44,3713,48,27,75,3788,1276,153,5217,1589,907,148,42,2686,31,32,63,2749,2275,133,5157,383,461,40,12,896,9,17,26,922,2479,148,3549,85,157,16,0,258,0,6,6,264,1982,110,2356,22,41,3,3,69,0,7,7,76,3435,489,4000,32263,13396,2434,728,48821,960,982,1942,50763,19623,3592,73978
80102,41,3,5,49,43,6,0,0,49,0,0,0,49,7,8,64,33,9,0,5,47,0,0,0,47,0,4,51,30,8,3,0,41,0,0,0,41,6,0,47,12,6,0,0,18,0,0,0,18,7,3,28,14,0,0,0,14,4,0,4,18,0,0,18,6,3,0,0,9,0,0,0,9,8,3,20,4,0,0,0,4,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,10,0,10,268,87,15,5,375,4,0,4,379,79,32,490
80103,74,63,17,154,55,24,0,0,79,3,0,3,82,37,11,130,67,28,0,0,95,6,0,6,101,29,12,142,56,17,3,0,76,4,0,4,80,31,16,127,60,20,5,0,85,0,0,0,85,33,19,137,43,17,3,0,63,3,0,3,66,37,10,113,15,6,5,0,26,0,0,0,26,46,10,82,3,6,0,0,9,0,0,0,9,29,6,44,0,4,0,0,4,0,0,0,4,48,12,64,488,183,28,6,705,31,9,40,745,617,158,1520
80104,3952,478,123,4553,2671,714,140,37,3562,44,17,61,3623,320,112,4055,2225,465,92,36,2818,35,16,51,2869,237,85,3191,1638,296,81,29,2044,29,9,38,2082,261,57,2400,1014,297,60,15,1386,10,14,24,1410,371,57,1838,509,246,33,15,803,10,10,20,823,602,42,1467,131,120,19,0,270,6,6,12,282,623,34,939,25,53,0,7,85,0,0,0,85,495,26,606,10,9,0,0,19,0,0,0,19,619,30,668,18901,5982,1223,417,26523,444,408,852,27375,6756,1048,35179
80105,2811,456,293,3560,1830,613,119,36,2598,50,22,72,2670,389,287,3346,1817,470,120,27,2434,51,15,66,2500,348,256,3104,1820,419,91,22,2352,49,27,76,2428,403,230,3061,1247,392,94,14,1747,35,24,59,1806,543,199,2548,614,339,52,6,1011,27,14,41,1052,803,156,2011,172,183,14,3,372,3,7,10,382,824,114,1320,31,69,5,0,105,3,0,3,108,877,92,1077,16,48,3,8,75,0,0,0,75,2378,285,2738,18343,7472,1251,316,27382,543,959,1502,28884,11742,3511,44137
