region_id,2011_Census_85_years_and_over_Speaks_other_language_and_speaks_English_Total,2011_Census_85_years_and_over_Language_and_proficiency_in_English_not_stated,2011_Census_85_years_and_over_Total,2011_Census_Total_Speaks_English_only,2011_Census_Total_Speaks_other_language_and_speaks_English_Very_well_or_well,2011_Census_Total_Speaks_other_language_and_speaks_English_Not_well_or_not_at_all,2011_Census_Total_Speaks_other_language_and_speaks_English_Proficiency_in_English_not_stated,2011_Census_Total_Speaks_other_language_and_speaks_English_Total,2011_Census_Total_Language_and_proficiency_in_English_not_stated,2011_Census_Total_Total
70205,25,11,63,12817,5278,1070,138,6486,1714,21017
79797,0,0,4,384,47,6,0,53,106,543
80101,212,145,1140,70051,14613,2311,224,17148,3737,90936
80102,0,0,0,713,85,0,3,88,37,838
80103,0,3,9,1249,83,3,0,86,461,1796
80104,33,5,120,32213,11526,1680,158,13364,1238,46815
80105,136,94,851,36630,8909,1072,113,10094,3748,50472
80106,122,26,753,19887,3614,359,50,4023,1529,25439
80107,111,15,551,72168,9847,1233,108,11188,2030,85386
80108,80,14,463,18927,2430,364,42,2836,436,22199
80109,156,59,905,25307,5923,786,62,6771,940,33018
89797,0,0,0,0,0,0,0,0,0,0
90101,0,0,0,725,578,226,10,814,840,2379
90102,3,0,6,201,229,177,3,409,10,620
90103,0,0,0,350,67,3,0,70,20,440
99797,0,0,0,0,0,0,0,0,0,0
