region_id,Managers_2001_Census_Males,Managers_2001_Census_Females,Managers_2001_Census_Persons,Managers_2006_Census_Males,Managers_2006_Census_Females,Managers_2006_Census_Persons,Managers_2011_Census_Males,Managers_2011_Census_Females,Managers_2011_Census_Persons,Professionals_2001_Census_Males,Professionals_2001_Census_Females,Professionals_2001_Census_Persons,Professionals_2006_Census_Males,Professionals_2006_Census_Females,Professionals_2006_Census_Persons,Professionals_2011_Census_Males,Professionals_2011_Census_Females,Professionals_2011_Census_Persons,Technicians_and_trades_workers_2001_Census_Males,Technicians_and_trades_workers_2001_Census_Females,Technicians_and_trades_workers_2001_Census_Persons,Technicians_and_trades_workers_2006_Census_Males,Technicians_and_trades_workers_2006_Census_Females,Technicians_and_trades_workers_2006_Census_Persons,Technicians_and_trades_workers_2011_Census_Males,Technicians_and_trades_workers_2011_Census_Females,Technicians_and_trades_workers_2011_Census_Persons,Community_and_personal_service_workers_2001_Census_Males,Community_and_personal_service_workers_2001_Census_Females,Community_and_personal_service_workers_2001_Census_Persons,Community_and_personal_service_workers_2006_Census_Males,Community_and_personal_service_workers_2006_Census_Females,Community_and_personal_service_workers_2006_Census_Persons,Community_and_personal_service_workers_2011_Census_Males,Community_and_personal_service_workers_2011_Census_Females,Community_and_personal_service_workers_2011_Census_Persons,Clerical_and_administrative_workers_2001_Census_Males,Clerical_and_administrative_workers_2001_Census_Females,Clerical_and_administrative_workers_2001_Census_Persons,Clerical_and_administrative_workers_2006_Census_Males,Clerical_and_administrative_workers_2006_Census_Females,Clerical_and_administrative_workers_2006_Census_Persons,Clerical_and_administrative_workers_2011_Census_Males,Clerical_and_administrative_workers_2011_Census_Females,Clerical_and_administrative_workers_2011_Census_Persons,Sales_workers_2001_Census_Males,Sales_workers_2001_Census_Females,Sales_workers_2001_Census_Persons,Sales_workers_2006_Census_Males,Sales_workers_2006_Census_Females,Sales_workers_2006_Census_Persons,Sales_workers_2011_Census_Males,Sales_workers_2011_Census_Females,Sales_workers_2011_Census_Persons,Machinery_operators_and_drivers_2001_Census_Males,Machinery_operators_and_drivers_2001_Census_Females,Machinery_operators_and_drivers_2001_Census_Persons,Machinery_operators_and_drivers_2006_Census_Males,Machinery_operators_and_drivers_2006_Census_Females,Machinery_operators_and_drivers_2006_Census_Persons,Machinery_operators_and_drivers_2011_Census_Males,Machinery_operators_and_drivers_2011_Census_Females,Machinery_operators_and_drivers_2011_Census_Persons,Labourers_2001_Census_Males,Labourers_2001_Census_Females,Labourers_2001_Census_Persons,Labourers_2006_Census_Males,Labourers_2006_Census_Females,Labourers_2006_Census_Persons,Labourers_2011_Census_Males,Labourers_2011_Census_Females,Labourers_2011_Census_Persons,Inadequately_described_Not_stated_2001_Census_Males,Inadequately_described_Not_stated_2001_Census_Females,Inadequately_described_Not_stated_2001_Census_Persons,Inadequately_described_Not_stated_2006_Census_Males,Inadequately_described_Not_stated_2006_Census_Females,Inadequately_described_Not_stated_2006_Census_Persons,Inadequately_described_Not_stated_2011_Census_Males,Inadequately_described_Not_stated_2011_Census_Females,Inadequately_described_Not_stated_2011_Census_Persons,Total_2001_Census_Males,Total_2001_Census_Females,Total_2001_Census_Persons,Total_2006_Census_Males,Total_2006_Census_Females,Total_2006_Census_Persons,Total_2011_Census_Males,Total_2011_Census_Females,Total_2011_Census_Persons
70103,720,366,1086,767,408,1175,784,497,1281,342,516,858,410,684,1094,439,803,1242,1207,194,1401,1369,207,1576,1665,256,1921,749,305,1054,508,418,926,618,529,1147,208,936,1144,238,1040,1278,267,1257,1524,167,311,478,192,332,524,191,420,611,653,71,724,662,48,710,808,97,905,430,266,696,461,269,730,528,315,843,100,65,165,126,61,187,106,61,167,4576,3030,7606,4733,3467,8200,5406,4235,9641
70104,737,386,1123,750,427,1177,916,606,1522,466,701,1167,523,918,1441,650,1200,1850,1320,189,1509,1617,243,1860,2075,312,2387,616,635,1251,726,813,1539,1066,1062,2128,318,1361,1679,412,1611,2023,446,2136,2582,327,628,955,329,681,1010,403,761,1164,719,100,819,715,78,793,945,107,1052,429,306,735,537,346,883,619,402,1021,75,64,139,112,63,175,150,90,240,5007,4370,9377,5721,5180,10901,7270,6676,13946
70201,1353,749,2102,1256,760,2016,1236,849,2085,1427,1816,3243,1439,1969,3408,1654,2403,4057,2082,328,2410,1861,306,2167,1992,343,2335,994,1290,2284,936,1365,2301,1167,1445,2612,493,1871,2364,463,1820,2283,531,1877,2408,454,896,1350,423,766,1189,447,723,1170,997,90,1087,838,75,913,785,51,836,1391,750,2141,1303,654,1957,1158,514,1672,286,219,505,275,161,436,315,185,500,9477,8009,17486,8794,7876,16670,9285,8390,17675
70202,188,91,279,156,82,238,166,88,254,103,173,276,114,196,310,153,261,414,190,64,254,206,55,261,238,49,287,112,127,239,115,141,256,120,185,305,42,181,223,38,163,201,61,197,258,29,57,86,25,50,75,38,50,88,106,12,118,89,7,96,103,5,108,386,154,540,325,128,453,235,106,341,70,35,105,78,36,114,53,38,91,1226,894,2120,1146,858,2004,1167,979,2146
70203,384,182,566,347,186,533,465,255,720,365,443,808,435,456,891,653,707,1360,414,92,506,442,73,515,701,116,817,311,329,640,288,404,692,307,446,753,97,346,443,106,343,449,135,450,585,44,119,163,59,138,197,82,147,229,300,33,333,253,46,299,464,67,531,719,337,1056,802,367,1169,844,369,1213,201,101,302,189,127,316,125,92,217,2835,1982,4817,2921,2140,5061,3776,2649,6425
70204,224,105,329,240,116,356,296,153,449,326,356,682,409,419,828,547,654,1201,657,75,732,1083,63,1146,871,74,945,116,228,344,169,351,520,186,335,521,111,316,427,106,365,471,109,390,499,37,133,170,46,186,232,53,195,248,421,45,466,512,23,535,570,44,614,545,346,891,792,329,1121,512,251,763,119,48,167,184,141,325,123,104,227,2556,1652,4208,3541,1993,5534,3267,2200,5467
70205,593,294,887,605,329,934,598,360,958,465,569,1034,457,635,1092,572,860,1432,977,165,1142,995,175,1170,965,165,1130,384,532,916,394,585,979,449,704,1153,160,633,793,181,607,788,178,743,921,138,259,397,139,252,391,135,257,392,483,53,536,358,31,389,403,59,462,1077,580,1657,980,472,1452,841,403,1244,166,113,279,205,124,329,194,152,346,4443,3198,7641,4314,3210,7524,4335,3703,8038
79797,185,27,212,49,14,63,22,15,37,196,19,215,69,21,90,59,20,79,349,23,372,49,9,58,33,6,39,368,64,432,14,10,24,17,18,35,50,8,58,4,19,23,73,14,87,3,0,3,9,7,16,0,6,6,49,0,49,11,0,11,6,0,6,247,13,260,104,36,140,35,5,40,22,6,28,3,3,6,5,3,8,1469,160,1629,312,119,431,250,87,337
80101,3325,2063,5388,3440,2408,5848,3747,2925,6672,5469,5098,10567,6154,6218,12372,6877,6935,13812,4347,857,5204,4487,928,5415,4647,863,5510,1452,2505,3957,1693,2822,4515,1820,3034,4854,2766,6341,9107,2717,6367,9084,2947,6550,9497,1461,2473,3934,1399,2201,3600,1448,2099,3547,1355,146,1501,1146,130,1276,1241,115,1356,1592,950,2542,1826,874,2700,1920,755,2675,477,401,878,395,300,695,497,402,899,22244,20834,43078,23257,22248,45505,25144,23678,48822
80102,39,26,65,44,24,68,46,27,73,44,30,74,25,27,52,35,46,81,27,5,32,21,4,25,46,6,52,24,34,58,24,24,48,22,32,54,9,18,27,5,24,29,13,28,41,7,6,13,5,9,14,3,11,14,8,3,11,8,0,8,16,3,19,31,14,45,11,3,14,28,7,35,5,0,5,3,0,3,3,3,6,194,136,330,146,115,261,212,163,375
80103,130,41,171,60,34,94,73,33,106,90,49,139,43,61,104,61,50,111,138,17,155,106,12,118,125,13,138,67,50,117,52,37,89,37,26,63,28,61,89,36,62,98,19,65,84,13,23,36,12,16,28,24,31,55,47,7,54,53,3,56,49,4,53,48,23,71,69,26,95,53,29,82,15,3,18,9,0,9,10,4,14,576,274,850,440,251,691,451,255,706
80104,1203,659,1862,1706,985,2691,2606,1635,4241,1691,1472,3163,2364,2271,4635,3715,3674,7389,1290,272,1562,1645,359,2004,2418,498,2916,435,669,1104,574,948,1522,946,1577,2523,811,2124,2935,1020,2544,3564,1642,3703,5345,426,653,1079,485,815,1300,719,1053,1772,356,43,399,372,42,414,506,43,549,395,277,672,581,293,874,848,402,1250,107,97,204,120,119,239,288,250,538,6714,6266,12980,8867,8376,17243,13688,12835,26523
80105,2201,1311,3512,2894,1747,4641,3266,2089,5355,3678,3114,6792,4675,4320,8995,5343,5007,10350,1124,304,1428,1332,359,1691,1396,370,1766,618,992,1610,814,1224,2038,998,1385,2383,1041,2040,3081,1194,2214,3408,1477,2667,4144,496,814,1310,579,805,1384,672,862,1534,336,48,384,306,32,338,286,33,319,507,304,811,699,347,1046,722,308,1030,232,179,411,281,140,421,281,218,499,10233,9106,19339,12774,11188,23962,14441,12939,27380
80106,1682,988,2670,1659,1113,2772,1711,1134,2845,2272,2034,4306,2863,2602,5465,2926,2806,5732,544,168,712,661,172,833,705,182,887,341,446,787,439,533,972,522,554,1076,541,1233,1774,582,1306,1888,663,1457,2120,296,378,674,307,398,705,310,382,692,145,22,167,125,16,141,139,12,151,208,121,329,244,121,365,269,114,383,129,115,244,135,99,234,174,121,295,6158,5505,11663,7015,6360,13375,7419,6762,14181
80107,3804,2124,5928,3982,2649,6631,3944,2907,6851,4717,4641,9358,5302,5543,10845,5199,5665,10864,4907,842,5749,5255,972,6227,5358,890,6248,1611,2572,4183,1737,2854,4591,1809,3068,4877,2722,7112,9834,2824,7261,10085,3000,7767,10767,1742,2899,4641,1685,2627,4312,1616,2378,3994,1720,254,1974,1512,139,1651,1605,140,1745,1602,899,2501,1936,968,2904,1900,835,2735,522,440,962,374,252,626,561,441,1002,23347,21783,45130,24607,23265,47872,24992,24091,49083
80108,984,671,1655,1097,777,1874,1058,793,1851,1681,1678,3359,1733,1806,3539,1761,1848,3609,1012,258,1270,947,184,1131,889,196,1085,415,574,989,419,573,992,420,610,1030,660,1760,2420,633,1636,2269,679,1563,2242,414,579,993,346,495,841,312,404,716,330,42,372,246,9,255,229,17,246,350,192,542,392,188,580,344,138,482,106,94,200,77,65,142,125,93,218,5952,5848,11800,5890,5733,11623,5817,5662,11479
80109,1585,919,2504,1647,1138,2785,1761,1219,2980,2700,2442,5142,2927,2848,5775,2935,3126,6061,1056,270,1326,1059,279,1338,1107,296,1403,447,721,1168,502,781,1283,584,844,1428,867,2124,2991,917,2026,2943,974,2048,3022,486,709,1195,472,622,1094,492,579,1071,375,36,411,270,24,294,245,13,258,384,228,612,456,195,651,470,215,685,214,134,348,110,94,204,182,143,325,8114,7583,15697,8360,8007,16367,8750,8483,17233
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101,51,22,73,73,14,87,81,27,108,36,60,96,45,58,103,101,100,201,118,8,126,145,17,162,150,12,162,13,24,37,22,42,64,107,76,183,27,58,85,28,61,89,50,125,175,4,14,18,3,14,17,3,9,12,96,3,99,85,7,92,81,3,84,69,27,96,83,28,111,79,63,142,33,5,38,13,0,13,21,10,31,447,221,668,497,241,738,673,425,1098
90102,25,9,34,28,10,38,23,13,36,24,16,40,40,19,59,28,21,49,50,3,53,53,3,56,50,8,58,6,12,18,8,21,29,10,22,32,8,20,28,6,16,22,16,20,36,3,5,8,4,9,13,4,6,10,10,0,10,10,0,10,14,0,14,23,7,30,19,12,31,25,13,38,11,0,11,9,4,13,5,0,5,160,72,232,177,94,271,175,103,278
90103,98,44,142,62,13,75,54,15,69,28,20,48,21,16,37,32,11,43,21,4,25,12,5,17,15,0,15,16,18,34,14,15,29,29,14,43,6,15,21,0,6,6,0,6,6,0,5,5,3,0,3,3,0,3,3,0,3,3,0,3,0,3,3,12,3,15,12,4,16,7,4,11,5,3,8,8,5,13,0,0,0,189,112,301,135,64,199,140,53,193
99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
