region_id,Managers_2001_Census_Males,Managers_2001_Census_Females,Managers_2001_Census_Persons,Managers_2006_Census_Males,Managers_2006_Census_Females,Managers_2006_Census_Persons,Managers_2011_Census_Males,Managers_2011_Census_Females,Managers_2011_Census_Persons,Professionals_2001_Census_Males,Professionals_2001_Census_Females,Professionals_2001_Census_Persons,Professionals_2006_Census_Males,Professionals_2006_Census_Females,Professionals_2006_Census_Persons,Professionals_2011_Census_Males,Professionals_2011_Census_Females,Professionals_2011_Census_Persons,Technicians_and_trades_workers_2001_Census_Males,Technicians_and_trades_workers_2001_Census_Females,Technicians_and_trades_workers_2001_Census_Persons,Technicians_and_trades_workers_2006_Census_Males,Technicians_and_trades_workers_2006_Census_Females,Technicians_and_trades_workers_2006_Census_Persons,Technicians_and_trades_workers_2011_Census_Males,Technicians_and_trades_workers_2011_Census_Females,Technicians_and_trades_workers_2011_Census_Persons,Community_and_personal_service_workers_2001_Census_Males,Community_and_personal_service_workers_2001_Census_Females,Community_and_personal_service_workers_2001_Census_Persons,Community_and_personal_service_workers_2006_Census_Males,Community_and_personal_service_workers_2006_Census_Females,Community_and_personal_service_workers_2006_Census_Persons,Community_and_personal_service_workers_2011_Census_Males,Community_and_personal_service_workers_2011_Census_Females,Community_and_personal_service_workers_2011_Census_Persons,Clerical_and_administrative_workers_2001_Census_Males,Clerical_and_administrative_workers_2001_Census_Females,Clerical_and_administrative_workers_2001_Census_Persons,Clerical_and_administrative_workers_2006_Census_Males,Clerical_and_administrative_workers_2006_Census_Females,Clerical_and_administrative_workers_2006_Census_Persons,Clerical_and_administrative_workers_2011_Census_Males,Clerical_and_administrative_workers_2011_Census_Females,Clerical_and_administrative_workers_2011_Census_Persons,Sales_workers_2001_Census_Males,Sales_workers_2001_Census_Females,Sales_workers_2001_Census_Persons,Sales_workers_2006_Census_Males,Sales_workers_2006_Census_Females,Sales_workers_2006_Census_Persons,Sales_workers_2011_Census_Males,Sales_workers_2011_Census_Females,Sales_workers_2011_Census_Persons,Machinery_operators_and_drivers_2001_Census_Males,Machinery_operators_and_drivers_2001_Census_Females,Machinery_operators_and_drivers_2001_Census_Persons,Machinery_operators_and_drivers_2006_Census_Males,Machinery_operators_and_drivers_2006_Census_Females,Machinery_operators_and_drivers_2006_Census_Persons,Machinery_operators_and_drivers_2011_Census_Males,Machinery_operators_and_drivers_2011_Census_Females,Machinery_operators_and_drivers_2011_Census_Persons,Labourers_2001_Census_Males,Labourers_2001_Census_Females,Labourers_2001_Census_Persons,Labourers_2006_Census_Males,Labourers_2006_Census_Females,Labourers_2006_Census_Persons,Labourers_2011_Census_Males,Labourers_2011_Census_Females,Labourers_2011_Census_Persons,Inadequately_described_Not_stated_2001_Census_Males,Inadequately_described_Not_stated_2001_Census_Females,Inadequately_described_Not_stated_2001_Census_Persons,Inadequately_described_Not_stated_2006_Census_Males,Inadequately_described_Not_stated_2006_Census_Females,Inadequately_described_Not_stated_2006_Census_Persons,Inadequately_described_Not_stated_2011_Census_Males,Inadequately_described_Not_stated_2011_Census_Females,Inadequately_described_Not_stated_2011_Census_Persons,Total_2001_Census_Males,Total_2001_Census_Females,Total_2001_Census_Persons,Total_2006_Census_Males,Total_2006_Census_Females,Total_2006_Census_Persons,Total_2011_Census_Males,Total_2011_Census_Females,Total_2011_Census_Persons
10101,3621,1726,5347,3509,1852,5361,3515,1863,5378,1459,2037,3496,1669,2466,4135,1842,2825,4667,3143,566,3709,3290,608,3898,3603,694,4297,927,1599,2526,995,1968,2963,1232,2316,3548,591,2524,3115,664,2755,3419,794,3073,3867,746,1402,2148,896,1576,2472,915,1702,2617,1771,302,2073,1884,190,2074,1862,174,2036,2351,1225,3576,2452,1295,3747,2289,1158,3447,271,234,505,276,159,435,333,223,556,14880,11615,26495,15635,12869,28504,16385,14028,30413
10102,2037,1103,3140,2537,1483,4020,2682,1770,4452,1813,1891,3704,2290,2637,4927,2612,3137,5749,2729,454,3183,3192,553,3745,3587,586,4173,620,1101,1721,837,1400,2237,1019,1647,2666,1008,3164,4172,1136,3626,4762,1393,4220,5613,702,1176,1878,748,1232,1980,811,1355,2166,1284,142,1426,1319,106,1425,1467,95,1562,1255,708,1963,1455,763,2218,1493,674,2167,231,148,379,264,177,441,401,321,722,11679,9887,21566,13778,11977,25755,15465,13805,29270
10103,1859,938,2797,1899,972,2871,1678,929,2607,1467,1297,2764,1442,1434,2876,1372,1451,2823,1960,306,2266,1831,310,2141,1795,305,2100,659,960,1619,674,1026,1700,699,1052,1751,381,1473,1854,335,1382,1717,329,1317,1646,544,891,1435,547,823,1370,530,858,1388,865,153,1018,765,81,846,809,84,893,1002,512,1514,951,543,1494,937,481,1418,170,89,259,135,79,214,142,88,230,8907,6619,15526,8579,6650,15229,8291,6565,14856
10104,2280,1242,3522,2365,1431,3796,2128,1261,3389,1345,1693,3038,1582,2129,3711,1608,2441,4049,2763,496,3259,3249,603,3852,3334,685,4019,646,1425,2071,758,1781,2539,846,2217,3063,450,2173,2623,473,2455,2928,513,2548,3061,947,1547,2494,1003,1846,2849,1006,1808,2814,1194,178,1372,1334,91,1425,1389,118,1507,1813,954,2767,2098,1203,3301,2106,1103,3209,250,182,432,240,163,403,228,156,384,11688,9890,21578,13102,11702,24804,13158,12337,25495
10201,5120,2254,7374,5157,2711,7868,5454,2907,8361,5627,5979,11606,6020,6920,12940,6623,8089,14712,8684,1232,9916,8608,1408,10016,8961,1542,10503,2200,3681,5881,2234,4475,6709,2512,5247,7759,2494,8416,10910,2274,8137,10411,2368,8385,10753,2678,4501,7179,2861,4580,7441,2861,4682,7543,3373,616,3989,2872,380,3252,2934,359,3293,3643,2103,5746,4111,2229,6340,4112,2015,6127,640,465,1105,581,411,992,662,471,1133,34459,29247,63706,34718,31251,65969,36487,33697,70184
10202,3161,1527,4688,3425,1831,5256,3543,2075,5618,2557,3189,5746,2881,4044,6925,3252,5028,8280,7369,977,8346,7755,1207,8962,8407,1364,9771,1462,2893,4355,1680,3964,5644,2073,5005,7078,1374,5669,7043,1536,5984,7520,1650,6497,8147,1998,3825,5823,2206,4276,6482,2284,4769,7053,3563,600,4163,3677,489,4166,4157,450,4607,3754,1973,5727,4353,2392,6745,4810,2318,7128,531,416,947,495,377,872,626,380,1006,25769,21069,46838,28008,24564,52572,30802,27886,58688
10301,1661,746,2407,1710,804,2514,1658,848,2506,1228,1647,2875,1291,1877,3168,1384,2143,3527,2098,343,2441,2360,429,2789,2566,433,2999,614,1042,1656,641,1223,1864,718,1501,2219,436,1815,2251,437,1939,2376,477,1984,2461,565,1167,1732,630,1315,1945,646,1286,1932,1158,154,1312,1192,100,1292,1360,98,1458,1412,823,2235,1472,891,2363,1537,909,2446,176,116,292,156,104,260,200,119,319,9348,7853,17201,9889,8682,18571,10546,9321,19867
10302,4371,1897,6268,3965,1819,5784,3648,1660,5308,1010,1629,2639,921,1819,2740,1021,1998,3019,2629,467,3096,2503,511,3014,2554,516,3070,431,1295,1726,386,1534,1920,431,1634,2065,368,1913,2281,393,1954,2347,392,2014,2406,648,1074,1722,759,1099,1858,655,1186,1841,1612,181,1793,1623,113,1736,1894,144,2038,2114,989,3103,2120,1016,3136,1723,913,2636,308,238,546,232,164,396,245,163,408,13491,9683,23174,12902,10029,22931,12563,10228,22791
10303,1727,879,2606,1672,958,2630,1538,866,2404,733,1127,1860,812,1273,2085,838,1485,2323,2368,390,2758,2441,422,2863,2629,458,3087,433,920,1353,397,1157,1554,452,1324,1776,303,1363,1666,305,1560,1865,289,1728,2017,422,1028,1450,473,1093,1566,473,1078,1551,1762,152,1914,1808,82,1890,2255,112,2367,1490,850,2340,1403,865,2268,1323,829,2152,179,147,326,170,96,266,184,114,298,9417,6856,16273,9481,7506,16987,9981,7994,17975
10304,2290,991,3281,2260,1117,3377,2268,1089,3357,1515,1821,3336,1548,2170,3718,1836,2687,4523,2642,444,3086,2743,505,3248,3285,571,3856,414,1159,1573,495,1437,1932,604,1739,2343,555,2350,2905,519,2496,3015,621,2747,3368,769,1326,2095,777,1327,2104,793,1341,2134,1642,206,1848,1605,130,1735,2167,194,2361,2080,1207,3287,1804,1033,2837,1783,1079,2862,230,169,399,184,140,324,238,149,387,12137,9673,21810,11935,10355,22290,13595,11596,25191
10401,1478,734,2212,1459,766,2225,1322,771,2093,944,1163,2107,986,1387,2373,1038,1564,2602,1730,306,2036,2002,381,2383,2057,402,2459,524,1037,1561,593,1276,1869,706,1611,2317,363,1595,1958,339,1696,2035,386,1769,2155,634,1064,1698,684,1198,1882,678,1346,2024,1105,120,1225,1167,69,1236,1181,69,1250,1460,617,2077,1643,767,2410,1634,724,2358,186,148,334,160,113,273,178,114,292,8424,6784,15208,9033,7653,16686,9180,8370,17550
10402,2598,1309,3907,2657,1458,4115,2686,1611,4297,1957,2293,4250,2352,3024,5376,2511,3533,6044,3294,588,3882,3729,657,4386,3906,698,4604,844,1748,2592,1026,2339,3365,1084,2826,3910,706,3018,3724,750,3410,4160,822,3709,4531,1303,2029,3332,1318,2257,3575,1358,2348,3706,1416,223,1639,1482,103,1585,1656,121,1777,1971,1089,3060,2349,1329,3678,2509,1272,3781,288,263,551,286,208,494,286,195,481,14377,12560,26937,15949,14785,30734,16818,16313,33131
10501,2135,961,3096,1878,886,2764,1721,833,2554,510,853,1363,455,902,1357,508,895,1403,1297,232,1529,1176,205,1381,1150,183,1333,336,708,1044,295,756,1051,297,852,1149,183,917,1100,154,880,1034,167,869,1036,207,453,660,176,402,578,175,390,565,1176,169,1345,1143,99,1242,1122,114,1236,1338,543,1881,1046,543,1589,982,464,1446,255,166,421,159,102,261,149,86,235,7437,5002,12439,6482,4775,11257,6271,4686,10957
10502,869,460,1329,749,463,1212,774,451,1225,442,674,1116,476,744,1220,492,832,1324,1022,183,1205,1026,188,1214,1092,197,1289,344,632,976,303,649,952,328,784,1112,211,714,925,211,679,890,203,721,924,290,496,786,245,533,778,214,497,711,717,59,776,768,32,800,838,25,863,701,374,1075,671,408,1079,665,421,1086,137,80,217,105,65,170,91,63,154,4733,3672,8405,4554,3761,8315,4697,3991,8688
10503,3823,1741,5564,3474,1684,5158,3454,1589,5043,1504,2324,3828,1538,2700,4238,1639,3208,4847,3225,569,3794,3209,595,3804,3337,602,3939,660,1661,2321,672,1921,2593,877,2410,3287,589,2826,3415,599,2849,3448,704,3018,3722,1028,1732,2760,1094,1741,2835,1089,1786,2875,1798,224,2022,1661,128,1789,1787,128,1915,2179,1195,3374,2371,1291,3662,2186,1182,3368,291,244,535,242,182,424,246,183,429,15097,12516,27613,14860,13091,27951,15319,14106,29425
10601,2240,1079,3319,2257,1245,3502,2352,1366,3718,1382,1786,3168,1556,2087,3643,1790,2462,4252,4664,664,5328,5341,790,6131,5916,932,6848,1031,1643,2674,931,2141,3072,997,2634,3631,544,2749,3293,554,3030,3584,624,3586,4210,704,1836,2540,799,2141,2940,796,2323,3119,3618,340,3958,4051,316,4367,5108,473,5581,2216,1544,3760,2425,1708,4133,2525,1827,4352,316,210,526,332,211,543,433,227,660,16715,11851,28566,18246,13669,31915,20541,15830,36371
10602,1384,615,1999,1676,844,2520,1914,1031,2945,1409,1738,3147,1750,2283,4033,2125,2913,5038,3238,453,3691,3923,610,4533,4694,716,5410,533,1109,1642,633,1617,2250,684,2026,2710,595,2487,3082,740,3009,3749,804,3433,4237,787,1564,2351,932,1888,2820,935,2024,2959,1933,235,2168,2231,171,2402,2835,198,3033,1476,870,2346,1828,1022,2850,1880,1109,2989,218,142,360,231,160,391,298,157,455,11573,9213,20786,13944,11604,25548,16169,13607,29776
10603,1763,873,2636,1892,985,2877,1918,1098,3016,1347,1484,2831,1460,1788,3248,1606,2207,3813,3645,479,4124,3965,563,4528,4397,649,5046,764,1324,2088,770,1774,2544,918,2152,3070,555,2440,2995,639,2708,3347,682,2940,3622,785,1613,2398,810,1880,2690,869,2026,2895,1591,182,1773,1761,90,1851,2081,162,2243,1518,962,2480,1831,1052,2883,1830,1104,2934,255,156,411,249,161,410,272,153,425,12223,9513,21736,13377,11001,24378,14573,12491,27064
10604,1352,622,1974,1272,637,1909,1207,645,1852,512,723,1235,554,843,1397,638,1002,1640,1862,315,2177,2185,401,2586,2362,386,2748,238,611,849,194,755,949,202,863,1065,168,1061,1229,169,1106,1275,199,1219,1418,236,637,873,283,681,964,258,757,1015,1356,109,1465,1562,101,1663,1967,233,2200,1201,702,1903,1352,799,2151,1218,822,2040,147,81,228,109,78,187,172,79,251,7072,4861,11933,7680,5401,13081,8223,6006,14229
10701,1366,692,2058,1512,828,2340,1491,835,2326,1591,1812,3403,1657,2144,3801,1839,2438,4277,4263,554,4817,4275,624,4899,4272,620,4892,767,1486,2253,844,1799,2643,940,2340,3280,795,3010,3805,834,3119,3953,864,3269,4133,1002,1995,2997,904,1996,2900,944,1998,2942,2719,379,3098,2604,248,2852,2688,134,2822,2299,1095,3394,2256,1176,3432,2210,1155,3365,416,241,657,345,174,519,309,203,512,15218,11264,26482,15231,12108,27339,15557,12992,28549
10702,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
10703,1915,958,2873,2165,1126,3291,2303,1277,3580,1976,2375,4351,2325,2924,5249,2485,3451,5936,4873,613,5486,5005,712,5717,5317,792,6109,964,1840,2804,998,2385,3383,1215,2937,4152,885,3532,4417,886,3647,4533,934,4097,5031,1140,2450,3590,1110,2510,3620,1194,2598,3792,2779,371,3150,2838,225,3063,3009,169,3178,2371,991,3362,2361,1221,3582,2409,1168,3577,386,254,640,353,207,560,353,213,566,17289,13384,30673,18041,14957,32998,19219,16702,35921
10704,3249,1485,4734,3494,1794,5288,3710,2070,5780,5338,5511,10849,5782,6462,12244,6452,7669,14121,6373,960,7333,6338,1048,7386,6493,1132,7625,1682,2691,4373,1805,3216,5021,2190,3970,6160,1694,5558,7252,1632,5619,7251,1632,5945,7577,1688,2729,4417,1602,2845,4447,1622,2835,4457,2816,340,3156,2874,248,3122,2917,153,3070,2517,1200,3717,2477,1167,3644,2647,1252,3899,502,338,840,466,302,768,515,317,832,25859,20812,46671,26470,22701,49171,28178,25343,53521
10801,905,442,1347,871,456,1327,807,437,1244,465,560,1025,534,734,1268,593,864,1457,1093,210,1303,1265,248,1513,1169,237,1406,254,570,824,245,769,1014,301,879,1180,180,880,1060,173,926,1099,171,957,1128,342,630,972,352,734,1086,406,786,1192,561,48,609,553,24,577,591,36,627,771,407,1178,925,499,1424,847,456,1303,94,76,170,103,57,160,98,68,166,4665,3823,8488,5021,4447,9468,4983,4720,9703
10802,1385,720,2105,1348,764,2112,1253,726,1979,749,1041,1790,772,1255,2027,818,1445,2263,1640,292,1932,1813,344,2157,1870,337,2207,408,1033,1441,488,1250,1738,601,1516,2117,278,1344,1622,276,1424,1700,289,1549,1838,512,911,1423,514,981,1495,493,1103,1596,983,141,1124,903,71,974,1030,76,1106,1138,593,1731,1347,704,2051,1436,651,2087,165,107,272,163,104,267,167,113,280,7258,6182,13440,7624,6897,14521,7957,7516,15473
10803,29,24,53,27,20,47,29,20,49,29,18,47,23,19,42,14,17,31,27,3,30,31,3,34,29,8,37,11,15,26,12,19,31,10,13,23,7,22,29,4,14,18,4,21,25,4,5,9,4,5,9,4,5,9,6,0,6,3,0,3,3,0,3,13,24,37,23,27,50,24,24,48,4,5,9,3,3,6,3,0,3,130,116,246,130,110,240,120,108,228
10804,1979,1021,3000,2117,1156,3273,2134,1188,3322,1614,1880,3494,1888,2408,4296,2186,2980,5166,2840,484,3324,3294,611,3905,3428,644,4072,589,1406,1995,722,1831,2553,882,2349,3231,567,2630,3197,649,2990,3639,772,3280,4052,1062,1597,2659,1160,1938,3098,1244,1992,3236,1231,152,1383,1257,84,1341,1377,84,1461,1494,855,2349,1807,993,2800,1804,971,2775,240,210,450,221,155,376,200,185,385,11616,10235,21851,13115,12166,25281,14027,13673,27700
10805,1689,851,2540,1654,861,2515,1465,783,2248,974,1271,2245,1033,1538,2571,1097,1834,2931,2032,366,2398,2341,381,2722,2303,407,2710,392,1005,1397,449,1247,1696,492,1575,2067,328,1587,1915,353,1741,2094,372,1694,2066,671,1126,1797,682,1177,1859,675,1340,2015,1093,172,1265,1194,96,1290,1221,77,1298,1498,798,2296,1694,954,2648,1636,825,2461,185,131,316,172,108,280,141,101,242,8862,7307,16169,9572,8103,17675,9402,8636,18038
10901,2296,1087,3383,2467,1211,3678,2364,1174,3538,1658,2026,3684,1832,2563,4395,1923,2877,4800,3015,506,3521,3399,610,4009,3391,623,4014,600,1413,2013,595,1656,2251,721,2039,2760,636,2583,3219,701,2766,3467,675,2950,3625,988,1661,2649,1027,1832,2859,993,1758,2751,1755,301,2056,1924,230,2154,1872,193,2065,1609,903,2512,1942,1118,3060,1822,1058,2880,262,183,445,252,154,406,259,194,453,12819,10663,23482,14139,12140,26279,14020,12866,26886
10902,1178,514,1692,1028,462,1490,960,403,1363,235,356,591,255,396,651,243,420,663,657,139,796,663,142,805,664,126,790,120,329,449,94,380,474,120,373,493,98,433,531,89,446,535,100,497,597,126,241,367,140,245,385,142,233,375,448,35,483,467,35,502,473,37,510,730,373,1103,686,394,1080,566,321,887,108,63,171,93,63,156,67,43,110,3700,2483,6183,3515,2563,6078,3335,2453,5788
10903,3264,1404,4668,2960,1350,4310,2656,1134,3790,729,1158,1887,736,1287,2023,747,1381,2128,1966,346,2312,2063,411,2474,2024,407,2431,318,927,1245,318,1158,1476,333,1333,1666,320,1471,1791,286,1541,1827,287,1527,1814,415,866,1281,501,921,1422,521,969,1490,1267,145,1412,1237,108,1345,1277,112,1389,1748,939,2687,1811,1023,2834,1575,899,2474,209,166,375,181,124,305,173,111,284,10236,7422,17658,10093,7923,18016,9593,7873,17466
11001,1903,971,2874,1878,990,2868,1822,993,2815,1320,1551,2871,1368,1689,3057,1399,1874,3273,1600,317,1917,1586,352,1938,1610,342,1952,407,961,1368,435,1020,1455,466,1141,1607,324,1522,1846,327,1530,1857,368,1606,1974,487,748,1235,547,870,1417,583,923,1506,631,78,709,589,36,625,625,51,676,1062,562,1624,1143,649,1792,1187,626,1813,115,114,229,135,99,234,143,89,232,7849,6824,14673,8008,7235,15243,8203,7645,15848
11002,2480,1167,3647,2394,1161,3555,2111,1029,3140,592,937,1529,617,1145,1762,598,1242,1840,1436,270,1706,1441,316,1757,1524,314,1838,316,834,1150,341,1038,1379,358,1135,1493,210,1085,1295,229,1196,1425,227,1191,1418,414,710,1124,480,735,1215,504,838,1342,861,90,951,873,65,938,896,72,968,1494,654,2148,1519,678,2197,1476,724,2200,191,144,335,169,119,288,149,111,260,7994,5891,13885,8063,6453,14516,7843,6656,14499
11003,2183,860,3043,1901,826,2727,1769,729,2498,634,859,1493,509,873,1382,568,977,1545,1350,250,1600,1233,229,1462,1320,229,1549,278,617,895,183,659,842,208,703,911,277,1382,1659,188,1156,1344,163,1192,1355,362,615,977,357,573,930,327,612,939,1137,158,1295,1006,78,1084,1178,133,1311,1275,504,1779,1152,465,1617,1000,467,1467,187,117,304,118,89,207,150,97,247,7683,5362,13045,6647,4948,11595,6683,5139,11822
11004,3685,1695,5380,3605,1816,5421,3346,1675,5021,1803,2423,4226,1873,2894,4767,1919,3323,5242,3405,600,4005,3688,701,4389,3933,745,4678,683,1680,2363,673,1977,2650,756,2426,3182,692,3092,3784,617,3156,3773,693,3378,4071,1168,1752,2920,1191,1890,3081,1153,2048,3201,2119,236,2355,2172,164,2336,2677,180,2857,2487,1413,3900,2951,1605,4556,3011,1640,4651,317,251,568,288,187,475,333,194,527,16359,13142,29501,17058,14390,31448,17821,15609,33430
11101,3087,1412,4499,3234,1634,4868,3405,1786,5191,3784,4355,8139,4126,5127,9253,4646,5884,10530,6762,1004,7766,7091,1087,8178,7177,1119,8296,1272,2458,3730,1399,3014,4413,1562,3639,5201,1424,5910,7334,1505,6266,7771,1580,6666,8246,2133,3773,5906,1960,3629,5589,1906,3750,5656,3022,410,3432,2846,212,3058,3211,254,3465,2652,1382,4034,3019,1571,4590,3209,1570,4779,484,320,804,493,265,758,452,291,743,24620,21024,45644,25673,22805,48478,27148,24959,52107
11102,1459,670,2129,1610,866,2476,1659,967,2626,1621,1950,3571,1758,2333,4091,1938,2783,4721,3871,521,4392,4129,608,4737,4540,701,5241,619,1460,2079,622,1733,2355,776,2197,2973,617,2737,3354,709,3019,3728,773,3393,4166,935,1772,2707,911,1908,2819,884,2039,2923,2003,256,2259,2135,172,2307,2427,200,2627,1784,1037,2821,2039,1190,3229,2218,1171,3389,316,197,513,280,167,447,270,197,467,13225,10600,23825,14193,11996,26189,15485,13648,29133
11103,3378,1875,5253,4011,2297,6308,4513,2696,7209,5996,6207,12203,7143,8023,15166,8620,9822,18442,7057,1269,8326,8031,1357,9388,8527,1517,10044,1935,3475,5410,1996,4392,6388,2488,5099,7587,1927,6772,8699,2097,7230,9327,2338,7885,10223,2397,4165,6562,2460,4258,6718,2582,4572,7154,3691,502,4193,3578,283,3861,4005,312,4317,3761,2102,5863,4085,2257,6342,4359,2294,6653,591,399,990,548,363,911,637,408,1045,30733,26766,57499,33949,30460,64409,38069,34605,72674
11201,2736,1487,4223,2758,1660,4418,2723,1619,4342,2238,2630,4868,2669,3334,6003,2853,3863,6716,3076,618,3694,3724,676,4400,3614,725,4339,792,1718,2510,919,2179,3098,1020,2594,3614,585,2564,3149,604,2886,3490,604,2956,3560,1117,1877,2994,1177,2130,3307,1222,2147,3369,1260,214,1474,1222,147,1369,1262,144,1406,1826,1048,2874,2341,1193,3534,2131,1110,3241,288,262,550,250,207,457,290,208,498,13918,12418,26336,15664,14412,30076,15719,15366,31085
11202,2512,1238,3750,2541,1348,3889,2437,1349,3786,1688,2038,3726,1787,2665,4452,1857,2975,4832,2633,500,3133,3006,580,3586,3077,616,3693,627,1506,2133,712,1903,2615,871,2285,3156,623,2555,3178,668,2764,3432,697,2833,3530,1024,1619,2643,1151,1828,2979,1059,1882,2941,1533,219,1752,1607,146,1753,1608,131,1739,2286,1239,3525,2796,1426,4222,2685,1317,4002,260,216,476,243,141,384,229,158,387,13186,11130,24316,14511,12801,27312,14520,13546,28066
11203,1978,1043,3021,2224,1210,3434,2366,1409,3775,1420,1856,3276,1812,2442,4254,2208,3276,5484,3278,578,3856,4205,665,4870,4276,740,5016,805,1617,2422,940,2299,3239,1085,2972,4057,584,2540,3124,643,3107,3750,682,3452,4134,1108,1921,3029,1276,2278,3554,1390,2476,3866,1501,207,1708,1721,132,1853,1777,154,1931,1886,1045,2931,2568,1398,3966,2484,1427,3911,287,226,513,306,206,512,318,206,524,12847,11033,23880,15695,13737,29432,16586,16112,32698
11301,3460,1315,4775,3270,1272,4542,2917,1126,4043,1053,1370,2423,976,1492,2468,973,1570,2543,2478,409,2887,2342,459,2801,2303,499,2802,313,927,1240,274,1152,1426,316,1299,1615,397,2048,2445,368,2001,2369,349,2044,2393,573,1192,1765,601,1163,1764,642,1245,1887,1587,203,1790,1422,113,1535,1467,113,1580,2510,1523,4033,2484,1464,3948,2344,1292,3636,314,196,510,255,136,391,237,152,389,12685,9183,21868,11992,9252,21244,11548,9340,20888
11302,811,360,1171,796,377,1173,738,348,1086,329,372,701,316,426,742,324,435,759,836,121,957,800,129,929,884,119,1003,118,289,407,113,393,506,121,451,572,97,505,602,83,497,580,80,528,608,116,322,438,106,342,448,110,360,470,655,78,733,650,48,698,671,35,706,735,450,1185,711,418,1129,647,401,1048,86,52,138,45,23,68,81,37,118,3783,2549,6332,3620,2653,6273,3656,2714,6370
11303,4504,2016,6520,4313,2125,6438,4156,1979,6135,2477,2976,5453,2670,3685,6355,2806,4195,7001,4852,756,5608,5127,866,5993,5416,1000,6416,1444,2202,3646,1485,2693,4178,1561,3127,4688,933,3735,4668,971,3941,4912,951,4084,5035,1449,2441,3890,1488,2593,4081,1475,2497,3972,2410,324,2734,2225,216,2441,2445,206,2651,2587,1507,4094,3090,1820,4910,2994,1711,4705,345,301,646,315,201,516,377,258,635,21001,16258,37259,21684,18140,39824,22181,19057,41238
11401,2305,1238,3543,2481,1409,3890,2452,1419,3871,1916,2160,4076,2195,2799,4994,2275,3317,5592,4344,607,4951,4669,753,5422,4813,823,5636,892,1909,2801,997,2370,3367,1250,3053,4303,622,3065,3687,650,3191,3841,681,3388,4069,1030,2002,3032,1129,2207,3336,1249,2355,3604,1705,263,1968,1655,133,1788,1741,117,1858,2087,989,3076,2249,1255,3504,2408,1189,3597,306,262,568,280,194,474,293,196,489,15207,12495,27702,16305,14311,30616,17162,15857,33019
11402,1671,821,2492,1710,923,2633,1762,1008,2770,1425,1624,3049,1574,1831,3405,1657,2104,3761,2368,424,2792,2414,502,2916,2505,504,3009,414,998,1412,432,1214,1646,551,1385,1936,404,1768,2172,417,1847,2264,402,1923,2325,607,992,1599,596,1111,1707,654,1161,1815,995,156,1151,1028,97,1125,1062,102,1164,1181,681,1862,1190,737,1927,1210,707,1917,191,154,345,181,99,280,200,146,346,9256,7618,16874,9542,8361,17903,10003,9040,19043
11501,7931,2544,10475,8209,3203,11412,8356,3476,11832,8059,7495,15554,9156,9041,18197,10113,10210,20323,5421,885,6306,5793,1069,6862,5793,1066,6859,1126,2319,3445,1387,3026,4413,1550,3392,4942,2372,8894,11266,2719,9132,11851,2805,9057,11862,2878,3751,6629,3212,3962,7174,3104,3764,6868,1684,283,1967,1591,233,1824,1586,199,1785,1625,858,2483,1981,1004,2985,1921,926,2847,590,473,1063,609,494,1103,593,455,1048,31686,27502,59188,34657,31164,65821,35821,32545,68366
11502,1891,794,2685,1764,787,2551,1685,780,2465,1373,1366,2739,1305,1404,2709,1267,1514,2781,1533,269,1802,1512,292,1804,1613,296,1909,218,533,751,231,592,823,255,635,890,402,1737,2139,316,1546,1862,316,1775,2091,523,653,1176,470,638,1108,470,659,1129,402,64,466,400,30,430,463,27,490,575,314,889,598,314,912,561,274,835,149,114,263,136,102,238,132,71,203,7066,5844,12910,6732,5705,12437,6762,6031,12793
11503,1156,503,1659,1181,551,1732,1180,546,1726,803,1049,1852,817,1169,1986,764,1243,2007,1830,286,2116,1845,326,2171,1939,302,2241,270,559,829,244,630,874,259,781,1040,293,1567,1860,266,1535,1801,290,1585,1875,391,604,995,372,593,965,359,627,986,718,94,812,765,76,841,828,60,888,626,362,988,710,395,1105,757,388,1145,105,90,195,122,76,198,108,88,196,6192,5114,11306,6322,5351,11673,6484,5620,12104
11504,1141,443,1584,1548,677,2225,1646,680,2326,682,830,1512,1104,1358,2462,1187,1538,2725,1468,220,1688,1730,307,2037,1852,315,2167,179,395,574,279,599,878,318,665,983,282,1513,1795,434,1889,2323,476,1979,2455,412,520,932,551,687,1238,539,782,1321,647,76,723,716,53,769,769,58,827,491,229,720,617,294,911,579,282,861,101,87,188,136,110,246,131,105,236,5403,4313,9716,7115,5974,13089,7497,6404,13901
11601,2937,1304,4241,2910,1526,4436,3083,1652,4735,3670,3930,7600,3981,4467,8448,4767,5206,9973,7476,1023,8499,6967,1058,8025,6896,1135,8031,1314,2405,3719,1413,2822,4235,1689,3443,5132,2713,8029,10742,2727,7357,10084,2944,7759,10703,2039,3168,5207,1922,2976,4898,2048,3085,5133,4980,858,5838,4820,674,5494,5104,680,5784,3540,2223,5763,3744,2232,5976,3776,2059,5835,652,494,1146,755,504,1259,744,531,1275,29321,23434,52755,29239,23616,52855,31051,25550,56601
