region_id,2011_Census_Total_Family_households_Total,2011_Census_Total_Lone_person_household,2011_Census_Total_Group_household,2011_Census_Total_Other_household,2011_Census_Total_Total
30201,10525,2488,440,317,13770
30202,17303,7335,1409,880,26927
30203,8695,3844,959,517,14015
30204,14064,5065,748,717,20594
30301,12502,3678,886,461,17527
30302,15527,7931,2657,1311,27426
30303,16926,4470,1325,832,23553
30304,8990,3171,946,644,13751
30305,14020,2344,700,664,17728
30306,11692,2441,1018,512,15663
30401,8898,1589,285,221,10993
30402,12047,1843,335,309,14534
30403,10438,4281,2408,984,18111
30404,12706,3534,659,343,17242
30501,11428,9018,3506,3674,27626
30502,9292,3841,1439,838,15410
30503,17725,9446,3313,1620,32104
30504,12489,5105,2658,1126,21378
30601,13012,3647,739,1642,19040
30602,22861,9674,1809,3510,37854
30603,8581,3079,375,1782,13817
30604,2647,1165,246,1068,5126
30605,10169,3860,413,1151,15593
30701,10847,3936,473,1875,17131
30702,10445,3251,388,1045,15129
30703,10422,3787,350,526,15085
30801,7007,1806,384,2028,11225
30802,18686,5052,826,3118,27682
30803,27878,9372,1283,3269,41802
30901,14613,6504,2051,2476,25644
30902,13074,5739,1138,1857,21808
30903,15982,7034,1327,1609,25952
30904,4807,1244,189,260,6500
30905,8402,1305,332,397,10436
30906,16652,3729,836,972,22189
30907,25639,4075,1035,1432,32181
30908,11908,3028,980,976,16892
30909,13284,5424,1759,1668,22135
30910,8334,4625,1397,2488,16844
31001,15403,4199,806,790,21198
31002,15143,4172,582,932,20829
31003,24582,7562,1123,1197,34464
31004,17095,3370,792,769,22026
31101,3267,1065,116,179,4627
31102,9833,2820,507,671,13831
31103,18700,3338,747,763,23548
31104,9903,1106,210,378,11597
31105,14536,3222,636,616,19010
31106,19155,5557,1027,1144,26883
31201,8277,2479,432,2451,13639
31202,29431,7757,1376,2465,41029
31203,4477,1481,350,1223,7531
31301,8791,3453,386,694,13324
31302,15121,3837,713,1037,20708
31303,2951,789,102,205,4047
31304,15599,3161,446,692,19898
31305,14795,6904,817,1007,23523
31401,22444,3237,500,549,26730
31402,14235,3001,496,450,18182
31403,9623,2529,447,273,12872
31501,6036,1926,227,2030,10219
31502,6950,2439,416,3271,13076
31503,4967,2250,177,1873,9267
31601,12549,3431,567,366,16913
31602,19739,6529,899,1367,28534
31603,13568,6058,1410,2317,23353
31604,15918,4563,640,874,21995
31605,9966,3539,613,1340,15458
31606,12994,3253,486,815,17548
31701,36077,12943,1845,1964,52829
31801,11228,3959,352,1506,17045
31802,44369,13406,3225,4627,65627
31901,23190,7853,1036,2071,34150
31902,12779,4704,559,1277,19319
31903,12501,4429,496,1092,18518
31904,14784,5028,674,1532,22018
