region_id,2011_Census_All_incomes_not_stated_Rent_100_149,2011_Census_All_incomes_not_stated_Rent_150_199,2011_Census_All_incomes_not_stated_Rent_200_224,2011_Census_All_incomes_not_stated_Rent_225_274,2011_Census_All_incomes_not_stated_Rent_275_349,2011_Census_All_incomes_not_stated_Rent_350_449,2011_Census_All_incomes_not_stated_Rent_450_549,2011_Census_All_incomes_not_stated_Rent_550_649,2011_Census_All_incomes_not_stated_Rent_650_or_more,2011_Census_All_incomes_not_stated_Rent_Not_stated,2011_Census_All_incomes_not_stated_Rent_Total,2011_Census_Total_Rent_0_74,2011_Census_Total_Rent_75_99,2011_Census_Total_Rent_100_149,2011_Census_Total_Rent_150_199,2011_Census_Total_Rent_200_224,2011_Census_Total_Rent_225_274,2011_Census_Total_Rent_275_349,2011_Census_Total_Rent_350_449,2011_Census_Total_Rent_450_549,2011_Census_Total_Rent_550_649,2011_Census_Total_Rent_650_or_more,2011_Census_Total_Rent_Not_stated,2011_Census_Total_Rent_Total
21101,6,11,8,17,33,21,3,3,0,53,183,398,345,411,488,383,1189,2959,2116,314,75,92,374,9144
21102,0,0,0,0,0,4,0,3,3,3,13,73,12,19,33,17,44,185,253,83,26,48,55,848
21103,10,13,12,18,26,3,3,0,6,70,188,309,303,412,510,443,1559,2918,1483,230,54,88,289,8598
21104,5,4,5,6,8,8,0,3,4,33,87,245,185,187,222,189,396,1274,1168,228,38,69,172,4373
21105,10,18,14,27,24,9,0,3,3,57,201,554,248,402,702,634,1206,2093,1064,165,46,56,311,7481
21201,8,12,10,15,25,6,0,0,4,28,120,295,91,228,341,320,1009,1999,579,68,26,46,195,5197
21202,10,13,8,21,38,8,3,3,0,63,192,299,238,347,426,406,1318,3069,1322,180,40,108,349,8102
21203,9,14,11,28,42,16,3,0,4,65,200,283,157,287,390,433,1394,2999,1247,145,32,98,311,7776
21204,37,59,32,65,100,13,3,3,13,93,461,719,708,978,1721,1575,3786,5110,1585,227,68,254,752,17483
21205,12,4,9,21,46,46,21,7,12,59,261,638,370,584,534,376,1070,3577,4384,1574,446,384,566,14503
21301,20,35,33,53,96,7,0,3,3,111,401,641,302,674,1301,1172,2849,4465,953,125,41,174,678,13375
21302,14,12,8,27,35,7,6,0,0,72,205,338,278,362,578,513,1406,2289,1252,485,149,190,302,8142
21303,17,28,28,30,22,22,8,0,7,60,261,448,558,614,1014,780,1530,2484,2016,545,136,154,372,10651
21304,15,20,14,30,27,14,0,0,0,46,187,301,168,358,747,779,1959,2469,881,88,36,67,298,8151
21305,11,22,15,49,60,7,5,0,7,81,273,369,157,381,845,994,3433,5404,1552,232,74,167,449,14057
21401,22,34,24,41,43,10,5,0,6,91,330,440,528,658,1157,1164,2990,3995,1305,260,61,138,427,13123
21402,29,26,15,34,41,15,5,3,7,104,329,726,398,622,1067,1095,2196,2702,1417,356,129,184,449,11341
21501,43,31,4,11,7,0,0,0,11,53,215,881,399,1279,1384,345,388,194,77,21,10,51,308,5337
21502,45,54,18,12,7,0,5,3,4,48,243,552,355,1053,1588,792,838,339,84,21,16,41,238,5917
21503,42,26,14,0,6,5,0,0,3,32,169,712,295,874,889,341,251,116,26,4,3,24,212,3747
21601,24,18,11,4,4,3,0,0,3,24,114,369,272,628,817,427,492,199,45,4,12,24,144,3433
21602,14,20,8,6,3,0,0,3,0,28,107,351,157,461,689,298,261,148,38,11,7,13,130,2564
21603,30,45,17,16,11,3,0,3,3,70,241,415,373,913,1605,839,1012,601,183,32,6,38,278,6295
21701,15,15,6,4,3,0,3,0,3,21,96,453,274,632,736,415,346,162,51,15,0,29,159,3272
21702,29,46,21,20,7,6,0,3,4,68,249,1036,448,1083,1714,878,1147,881,415,71,30,84,397,8184
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30101,9,4,4,5,17,20,3,0,0,29,111,283,190,313,268,162,249,1147,2019,505,106,94,173,5509
30102,9,17,12,4,16,28,6,3,4,49,172,393,190,259,533,394,479,968,2230,969,220,200,221,7056
30103,9,9,8,7,24,30,0,0,5,43,158,353,276,338,317,266,385,1191,2792,745,258,206,211,7338
30201,0,5,0,7,7,6,0,0,0,11,36,97,37,72,88,122,141,647,1179,356,88,59,85,2971
30202,14,9,6,16,30,32,3,3,0,53,206,517,353,524,489,355,634,2090,2932,537,115,144,296,8986
30203,4,7,0,4,14,11,0,8,5,23,103,257,164,226,263,217,437,1315,1672,336,68,48,137,5140
30204,14,12,3,9,20,28,0,0,0,49,157,348,249,347,447,287,458,1593,2158,190,42,40,199,6358
30301,5,4,5,0,6,13,0,0,0,22,73,230,184,209,174,96,185,676,2004,661,221,154,122,4916
30302,15,9,6,10,34,19,11,6,3,41,208,703,524,531,633,525,1208,2998,3216,1020,357,289,305,12309
30303,3,16,6,6,16,27,9,4,4,30,135,367,222,323,400,194,370,1018,2770,661,180,125,237,6867
30304,5,4,4,16,16,15,3,0,6,27,109,255,165,219,240,175,327,884,1345,278,114,63,145,4210
30305,5,0,4,0,15,17,5,0,0,29,79,191,85,204,168,126,199,884,2320,362,82,37,150,4808
30306,4,6,0,0,10,25,5,4,0,25,92,180,72,185,191,110,163,816,2122,372,96,72,212,4591
30401,0,0,0,3,3,7,0,0,0,10,27,86,6,35,34,38,58,313,919,293,97,89,47,2015
30402,0,0,3,0,3,4,0,0,0,8,21,115,11,57,71,39,76,193,775,405,191,219,70,2222
30403,6,9,3,6,24,33,35,16,12,20,171,323,105,153,311,159,420,1355,2421,1237,485,453,200,7622
30404,5,7,3,0,3,14,6,0,3,22,76,267,227,327,314,332,356,797,1462,403,109,83,131,4808
30501,20,28,4,24,47,45,61,41,69,65,444,644,282,506,706,376,978,2012,3304,2781,1473,1574,440,15076
30502,3,15,6,13,16,10,10,4,3,19,117,319,198,181,222,179,402,1048,2018,963,370,461,135,6496
30503,10,18,16,22,31,37,19,8,11,52,258,463,233,436,760,574,1237,3077,3611,1856,784,790,367,14188
30504,0,14,0,8,10,18,9,12,12,26,123,259,79,182,355,287,573,1520,2626,1436,595,596,196,8704
30601,3,18,9,22,24,9,4,0,22,46,174,193,58,174,472,543,1209,1619,1437,282,92,153,185,6417
30602,40,97,36,50,67,17,8,11,14,119,520,812,546,1143,2384,1641,2228,3798,1402,268,111,155,498,14986
30603,16,24,20,17,4,8,3,0,11,40,169,482,167,628,947,483,660,425,198,53,30,74,221,4368
30604,11,17,8,11,11,4,4,0,16,17,112,143,48,150,238,177,294,331,189,58,15,79,71,1793
30605,31,38,12,17,14,3,0,0,3,38,191,569,188,567,708,479,739,593,185,19,6,18,202,4273
30701,32,16,8,6,7,3,0,0,0,41,160,1428,210,782,703,370,495,472,330,99,46,60,424,5419
30702,17,29,10,10,17,0,0,0,0,24,125,625,123,537,667,527,671,534,173,29,9,28,215,4138
30703,24,24,10,17,8,0,3,0,0,25,130,385,110,579,932,554,856,414,51,7,3,18,134,4043
30801,6,6,3,3,7,9,10,3,3,33,107,1695,226,411,206,103,192,258,406,377,189,206,403,4672
30802,18,17,7,18,24,28,5,7,7,79,245,1006,367,698,588,436,785,1224,1579,614,208,167,584,8256
30803,46,49,28,34,43,27,4,0,9,80,386,910,462,1067,1316,1224,2147,2763,1457,249,73,90,515,12273
30901,3,0,8,8,46,37,13,9,19,43,205,294,83,150,225,215,646,2458,2512,945,379,376,260,8543
30902,8,23,6,22,30,24,13,3,3,46,201,372,158,217,337,339,1019,1870,1863,611,175,143,200,7304
30903,13,17,7,29,57,40,3,9,4,56,256,387,215,298,342,285,863,3047,2606,744,250,290,274,9601
30904,3,3,3,3,3,3,0,0,0,10,28,141,10,47,65,85,123,253,322,105,25,25,50,1251
30905,0,3,0,3,8,6,3,3,3,10,42,114,26,70,79,41,66,525,784,398,109,92,63,2367
30906,5,6,0,4,17,34,3,0,3,33,116,214,117,188,264,161,347,1166,2539,595,166,124,165,6046
30907,6,3,3,6,17,57,5,5,7,43,155,256,28,120,182,158,331,1783,5705,1202,371,381,241,10758
30908,5,0,4,6,11,35,12,0,5,27,119,162,60,128,119,74,148,737,2906,1087,275,191,134,6021
30909,13,14,11,16,38,29,25,8,6,59,250,381,260,373,368,267,844,2067,2610,1015,276,189,282,8932
30910,3,3,9,24,34,45,27,12,16,30,207,196,6,59,212,295,852,1467,1639,830,373,460,176,6565
31001,21,12,3,10,28,28,3,3,4,49,189,466,415,701,546,322,621,2217,1960,187,50,38,273,7796
31002,14,13,14,11,22,6,0,0,0,33,127,427,92,296,532,496,981,1146,280,51,9,31,197,4538
31003,23,24,23,51,54,9,3,0,4,75,293,552,377,710,928,1040,2895,3789,678,114,26,67,377,11553
31004,6,7,10,18,47,21,0,3,7,41,172,192,129,369,316,350,1045,4016,1882,165,45,55,200,8764
31101,4,8,3,9,3,3,0,0,0,9,51,157,51,119,190,111,201,406,173,13,3,14,46,1484
31102,6,8,7,15,25,9,3,0,0,42,135,226,177,271,213,246,821,1844,1057,77,24,28,146,5130
31103,9,11,6,13,50,30,0,0,0,49,188,242,129,302,287,187,430,2925,2178,181,37,42,257,7197
31104,0,0,0,0,3,10,6,0,0,11,30,83,9,29,37,54,96,274,558,222,37,10,66,1475
31105,12,6,11,13,29,10,0,0,0,42,143,199,130,286,225,188,468,1662,1693,253,60,42,165,5371
31106,27,21,16,31,59,21,4,0,3,79,304,529,401,716,638,537,1603,3127,1418,252,49,56,323,9649
31201,7,9,6,5,6,11,6,3,5,56,177,2749,420,438,303,232,255,375,342,148,52,428,555,6297
31202,28,20,18,28,36,38,18,4,5,94,342,900,347,700,773,565,1064,2052,2903,1426,299,210,510,11749
31203,3,8,4,0,13,11,3,8,11,16,82,162,51,144,222,190,343,573,471,162,45,120,125,2608
31301,11,7,6,22,17,6,3,0,3,36,122,169,81,200,259,288,727,1186,562,115,25,26,133,3771
31302,15,18,15,35,64,12,3,0,0,62,240,299,189,353,426,439,1311,3802,838,80,22,45,254,8058
31303,0,3,3,3,5,3,0,3,0,6,29,100,15,44,100,71,143,224,89,20,9,3,50,868
31304,7,7,8,12,31,17,0,0,5,42,137,186,112,267,267,218,626,2023,1095,144,28,32,165,5163
31305,21,29,9,24,43,20,3,3,8,68,278,496,384,581,710,533,1215,2668,1470,238,79,86,270,8730
31401,0,0,4,3,4,13,7,0,4,22,60,145,24,84,161,265,217,679,1638,382,144,94,105,3938
31402,12,4,0,12,20,17,0,0,0,24,101,130,78,192,189,185,288,1712,2383,302,84,38,124,5705
31403,6,0,3,14,15,9,0,0,4,20,79,134,112,183,176,176,368,1205,911,45,9,20,105,3444
31501,11,9,3,3,3,3,4,3,5,26,141,2427,578,739,400,141,190,168,100,112,60,79,358,5352
31502,18,10,4,13,6,6,8,0,3,50,162,1333,290,575,385,245,308,388,479,338,129,79,392,4941
31503,26,6,3,0,0,3,3,0,0,21,105,1081,217,555,353,128,129,70,33,13,12,37,267,2895
31601,8,6,0,3,11,10,8,0,0,14,70,217,77,125,126,118,236,563,1742,514,122,61,110,4011
31602,13,15,4,15,32,49,13,7,7,49,228,385,176,321,344,292,759,2122,3071,779,212,163,227,8851
31603,18,7,8,22,42,35,20,10,10,51,251,417,244,308,319,382,1116,2767,2393,564,165,181,229,9085
31604,9,11,7,8,10,12,3,0,0,34,114,405,119,323,409,310,570,1244,1048,184,45,39,165,4861
31605,0,6,8,11,10,22,4,3,28,42,141,234,83,129,184,167,371,1068,1550,621,210,288,180,5085
31606,6,5,3,11,13,16,4,0,3,23,91,304,59,212,273,212,384,943,881,132,25,29,137,3591
31701,40,85,22,50,42,22,0,0,6,102,426,848,435,1195,2574,1721,3733,3418,1255,163,50,80,531,16003
31801,24,33,14,12,3,3,3,0,0,30,151,849,253,795,1020,519,642,340,69,27,12,23,222,4771
31802,49,36,44,58,61,54,15,10,21,137,550,1119,653,1345,1833,2086,3179,5663,5190,951,230,309,772,23330
31901,39,61,18,52,20,21,3,0,3,75,327,642,328,805,1501,995,2572,1912,358,70,15,66,334,9598
31902,24,29,18,12,10,3,3,0,3,38,185,876,336,702,1122,606,708,347,95,15,4,35,224,5070
31903,18,22,14,25,3,0,0,3,4,43,146,409,167,415,760,611,1225,784,114,27,15,30,185,4742
31904,18,25,17,35,32,8,3,0,8,65,247,309,169,399,733,724,2000,1911,290,68,21,52,236,6912
31905,25,28,15,22,5,0,0,0,0,43,157,382,161,395,805,673,1077,492,65,22,7,59,147,4285
39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40101,7,20,13,24,40,32,15,9,20,30,234,207,248,247,348,252,512,933,1351,537,163,209,168,5175
40102,6,10,4,10,7,4,3,0,5,16,75,321,154,319,329,309,732,1108,535,118,35,46,159,4165
40103,6,0,3,4,13,4,6,0,4,22,68,198,104,131,238,250,601,857,586,304,139,132,110,3650
40104,10,9,10,16,22,13,0,3,0,32,122,284,364,382,375,328,855,1316,625,110,26,29,184,4878
40105,5,5,10,13,9,6,3,0,4,31,115,364,413,400,419,434,973,1142,843,295,81,96,188,5648
40106,6,0,0,6,10,6,0,0,0,10,52,239,194,195,280,229,587,681,471,148,46,51,101,3222
40107,4,3,3,5,9,4,3,0,5,24,79,237,262,216,324,325,759,1042,723,306,126,131,136,4587
40201,7,5,4,6,10,4,0,0,0,23,70,191,172,221,341,331,624,530,130,14,0,11,98,2663
40202,55,40,28,38,27,5,0,0,8,90,383,664,1146,1311,1587,1411,2322,1557,177,23,7,51,405,10661
40203,29,16,13,25,18,7,5,0,0,71,251,471,1015,1002,881,701,1493,1951,834,67,21,47,426,8909
40204,46,40,20,31,47,8,0,3,3,88,353,747,950,1218,1373,1239,2708,3076,673,137,45,66,500,12732
40205,9,9,7,10,23,3,0,0,4,38,129,363,490,472,463,450,1217,2009,531,54,12,36,230,6327
40301,10,3,5,11,17,14,0,5,6,9,97,233,174,281,405,377,797,1015,631,245,106,133,114,4511
