region_id,2011_Census_All_incomes_not_stated_Rent_100_149,2011_Census_All_incomes_not_stated_Rent_150_199,2011_Census_All_incomes_not_stated_Rent_200_224,2011_Census_All_incomes_not_stated_Rent_225_274,2011_Census_All_incomes_not_stated_Rent_275_349,2011_Census_All_incomes_not_stated_Rent_350_449,2011_Census_All_incomes_not_stated_Rent_450_549,2011_Census_All_incomes_not_stated_Rent_550_649,2011_Census_All_incomes_not_stated_Rent_650_or_more,2011_Census_All_incomes_not_stated_Rent_Not_stated,2011_Census_All_incomes_not_stated_Rent_Total,2011_Census_Total_Rent_0_74,2011_Census_Total_Rent_75_99,2011_Census_Total_Rent_100_149,2011_Census_Total_Rent_150_199,2011_Census_Total_Rent_200_224,2011_Census_Total_Rent_225_274,2011_Census_Total_Rent_275_349,2011_Census_Total_Rent_350_449,2011_Census_Total_Rent_450_549,2011_Census_Total_Rent_550_649,2011_Census_Total_Rent_650_or_more,2011_Census_Total_Rent_Not_stated,2011_Census_Total_Rent_Total
50803,17,17,7,9,9,9,0,4,0,34,151,1020,253,601,603,344,564,815,658,225,95,48,271,5497
50804,17,13,5,16,8,7,6,3,25,61,240,2077,487,786,560,266,260,273,318,294,250,502,624,6697
50805,42,18,13,15,18,11,3,3,0,60,243,890,356,771,909,535,784,846,696,141,23,65,387,6403
50806,10,4,3,3,3,9,3,0,19,86,223,4158,439,1299,558,226,202,200,163,135,85,1322,1317,10104
50901,23,12,9,18,15,0,0,0,3,36,156,897,367,954,906,554,978,987,348,30,13,48,294,6376
50902,23,21,3,4,3,0,0,3,0,37,157,1230,387,853,725,385,419,362,194,44,9,24,322,4954
50903,18,10,0,4,7,0,0,0,0,13,71,577,170,444,373,162,135,103,64,30,8,9,158,2233
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60101,5,13,8,8,0,4,0,0,3,17,84,113,255,263,321,212,282,170,53,15,0,6,69,1759
60102,8,13,3,9,14,4,4,0,3,33,130,250,387,447,449,357,798,858,409,91,27,25,141,4239
60103,32,26,19,16,14,5,0,0,3,48,228,341,782,776,908,635,1277,1250,254,17,6,42,200,6488
60104,7,5,0,3,11,3,0,0,3,4,39,120,141,187,199,146,354,732,404,70,9,19,56,2437
60105,20,17,9,10,18,9,5,4,3,19,143,343,342,539,876,517,964,1387,1182,411,136,104,168,6969
60106,6,5,4,3,0,3,0,0,0,0,27,80,41,100,166,115,243,234,60,5,0,9,28,1081
60201,47,36,22,28,15,6,0,0,3,80,308,525,882,1201,1813,1152,1912,1518,404,91,17,52,260,9827
60202,5,4,9,4,0,0,0,0,0,11,40,213,93,230,322,200,249,117,31,3,0,12,62,1532
60203,19,15,12,4,3,0,0,0,0,23,107,617,311,561,823,389,341,161,41,5,0,20,162,3431
60301,3,3,3,3,0,0,0,0,0,17,37,214,54,125,131,61,56,40,5,0,0,4,67,757
60302,0,3,4,5,4,0,0,0,0,12,37,162,48,152,215,180,211,164,30,3,3,9,48,1225
60303,4,3,0,0,0,0,0,0,0,5,19,109,16,91,183,91,70,14,12,0,3,3,25,617
60401,24,28,14,14,5,4,0,0,3,28,181,376,584,875,1293,682,787,314,53,14,7,25,166,5176
60402,22,28,5,16,5,0,0,0,0,28,130,373,419,598,905,622,914,391,62,7,8,19,143,4461
60403,7,9,4,0,0,0,0,0,0,16,53,539,101,423,431,131,84,37,14,3,3,6,122,1894
69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70101,0,3,0,3,5,13,7,5,10,19,83,374,65,110,259,207,232,391,843,768,606,727,199,4781
70102,10,16,4,7,18,17,17,5,10,41,188,564,208,340,403,342,517,1039,1431,1031,352,295,261,6783
70103,3,3,3,3,3,3,3,0,0,6,41,191,20,58,70,71,86,112,148,153,75,70,63,1117
70104,8,5,0,3,5,10,6,0,0,22,75,390,146,211,211,339,192,332,862,804,347,126,201,4161
70201,24,9,3,7,17,3,8,4,22,82,269,1864,257,325,301,150,275,450,627,489,163,162,608,5671
70202,9,3,3,3,0,0,3,0,0,31,88,465,46,101,50,46,29,34,28,16,3,7,167,992
70203,6,7,0,0,0,3,3,3,11,22,92,1599,198,230,136,42,48,34,23,13,12,34,291,2660
70204,3,0,0,0,0,0,0,0,0,8,24,1642,243,227,60,32,26,16,15,10,6,18,282,2577
70205,6,5,5,4,3,0,0,0,5,37,131,1164,146,326,249,192,199,177,137,34,7,36,219,2886
79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
80101,14,10,3,3,7,25,12,3,3,43,152,453,523,607,432,270,382,939,3448,1447,345,179,305,9330
80102,0,0,0,0,0,0,0,0,0,0,0,20,6,22,9,6,6,12,10,0,0,0,7,98
80103,0,0,0,0,0,0,0,0,0,0,0,37,16,41,28,30,15,38,16,9,0,0,6,236
80104,0,0,0,0,0,13,10,0,4,7,37,101,107,162,132,202,329,476,1574,1042,456,187,129,4897
80105,12,9,5,7,10,21,13,5,19,34,186,519,611,489,470,219,361,738,1952,1802,735,499,279,8674
80106,3,3,0,0,4,6,8,9,7,23,80,281,247,191,131,82,116,187,956,906,404,478,156,4135
80107,13,8,0,4,5,19,8,0,0,35,116,368,416,501,330,205,302,681,2644,986,206,78,223,6940
80108,3,3,3,3,3,4,3,3,3,12,50,134,170,133,99,78,123,211,527,296,85,52,80,1988
80109,6,5,3,4,4,7,6,3,5,13,64,223,246,189,178,132,273,618,1116,751,235,183,113,4257
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101,0,0,0,0,0,0,0,0,0,0,3,91,21,21,23,17,15,20,4,9,0,12,25,258
90102,0,0,0,0,0,0,0,0,0,0,3,28,5,16,14,3,0,3,0,0,3,3,21,96
90103,0,0,0,0,0,0,0,0,0,3,3,34,3,12,3,0,14,0,4,0,3,0,12,85
99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
