region_id,2011_Census_350_449_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_350_449_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_350_449_Couple_family_With_non_dependent_children_only,2011_Census_350_449_Couple_family_Total,2011_Census_450_549_Couple_family_With_no_children,2011_Census_450_549_Couple_family_With_children_under_15_and_dependent_students,2011_Census_450_549_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_450_549_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_450_549_Couple_family_With_non_dependent_children_only,2011_Census_450_549_Couple_family_Total,2011_Census_550_649_Couple_family_With_no_children,2011_Census_550_649_Couple_family_With_children_under_15_and_dependent_students,2011_Census_550_649_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_550_649_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_550_649_Couple_family_With_non_dependent_children_only,2011_Census_550_649_Couple_family_Total,2011_Census_650_and_over_Couple_family_With_no_children,2011_Census_650_and_over_Couple_family_With_children_under_15_and_dependent_students,2011_Census_650_and_over_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_650_and_over_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_650_and_over_Couple_family_With_non_dependent_children_only,2011_Census_650_and_over_Couple_family_Total,2011_Census_Rent_not_stated_Couple_family_With_no_children,2011_Census_Rent_not_stated_Couple_family_With_children_under_15_and_dependent_students,2011_Census_Rent_not_stated_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_Rent_not_stated_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_Rent_not_stated_Couple_family_With_non_dependent_children_only,2011_Census_Rent_not_stated_Couple_family_Total,2011_Census_Total_Couple_family_With_no_children,2011_Census_Total_Couple_family_With_children_under_15_and_dependent_students,2011_Census_Total_Couple_family_With_children_under_15_and_no_dependent_students,2011_Census_Total_Couple_family_With_no_children_under_15_and_dependent_students,2011_Census_Total_Couple_family_With_non_dependent_children_only,2011_Census_Total_Couple_family_Total
21603,57,9,6,118,6,0,11,4,0,21,0,0,3,0,0,3,4,3,3,3,3,16,43,6,36,3,6,94,930,175,959,85,124,2273
21701,18,0,0,28,4,3,0,0,0,7,0,0,0,0,0,0,0,0,5,5,0,10,14,3,22,3,3,45,508,66,469,37,53,1133
21702,121,13,9,239,11,5,23,3,0,42,3,3,3,0,0,9,8,5,18,0,0,31,74,5,56,7,4,146,1287,179,1344,110,126,3046
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30101,556,59,67,1131,94,41,179,25,28,367,16,11,37,5,7,76,11,16,29,7,5,68,30,0,18,5,6,59,942,204,1104,134,176,2560
30102,637,62,79,1347,173,88,338,59,59,717,38,24,76,14,21,173,24,28,71,14,10,147,28,3,35,4,12,82,1291,289,1502,188,231,3501
30103,702,58,92,1588,172,41,232,25,35,505,44,22,116,18,10,210,46,13,72,14,6,151,26,0,28,0,9,63,1430,215,1440,148,204,3437
30201,285,27,36,663,75,14,110,17,24,240,14,3,36,3,7,63,3,3,30,5,3,44,17,3,12,3,3,38,669,73,637,80,97,1556
30202,528,51,64,1513,132,20,124,19,18,313,27,8,27,3,4,69,22,6,47,8,7,90,32,3,16,3,3,57,1866,191,1181,123,180,3541
30203,271,18,44,862,98,8,65,9,10,190,11,6,14,0,5,36,10,0,6,3,3,22,16,3,19,0,3,41,1181,91,662,61,93,2088
30204,577,52,74,1318,36,22,41,17,11,127,7,0,19,5,0,31,5,0,13,0,0,18,34,0,12,4,0,50,1268,169,1082,108,154,2781
30301,409,23,43,1047,181,26,153,27,17,404,38,9,78,17,9,151,27,15,56,11,11,120,16,0,8,3,0,27,1125,100,846,94,108,2273
30302,399,35,37,1527,252,16,140,27,17,452,67,7,49,7,4,134,40,10,76,9,5,140,45,0,25,3,5,78,2913,112,1218,124,119,4486
30303,583,81,62,1567,139,47,141,30,35,392,29,5,54,9,12,109,21,5,25,9,3,63,34,6,21,10,3,74,1527,202,1153,185,179,3246
30304,269,24,20,688,54,12,51,11,0,128,26,5,23,5,0,59,5,3,17,3,0,28,18,3,20,0,0,41,872,89,615,63,55,1694
30305,669,95,104,1504,74,30,108,24,35,271,15,9,28,4,5,61,9,0,9,5,0,23,29,3,19,5,8,64,988,232,1122,174,201,2717
30306,565,64,55,1256,84,28,97,20,20,249,17,6,27,0,7,57,11,3,13,7,3,37,30,8,24,7,0,69,964,180,1007,136,133,2420
30401,232,27,33,537,66,21,85,21,13,206,21,7,37,12,4,81,11,14,29,4,9,67,8,0,11,0,4,23,444,80,498,68,84,1174
30402,233,39,23,457,69,28,123,22,10,252,18,23,89,19,4,153,26,28,86,32,6,178,13,3,14,3,4,37,387,118,609,122,63,1299
30403,268,17,11,968,217,8,157,16,13,411,64,17,72,14,8,175,39,30,115,20,7,211,29,3,16,0,0,48,1624,82,873,93,57,2729
30404,294,29,37,751,76,29,126,22,10,263,19,9,42,5,3,78,12,5,36,4,0,57,18,4,28,3,4,57,938,141,1003,99,94,2275
30501,179,17,10,1266,831,10,165,17,9,1032,415,15,92,14,17,553,410,35,193,43,22,703,64,0,8,7,3,82,3754,81,822,120,82,4859
30502,205,14,18,928,285,8,141,8,3,445,109,4,89,8,0,210,76,23,180,26,6,311,19,0,12,5,0,36,1621,63,788,64,49,2585
30503,301,21,19,1522,467,16,241,19,28,771,194,12,127,9,12,354,140,48,251,27,19,485,49,3,20,3,3,78,3334,121,1378,118,116,5067
30504,208,12,17,1015,351,17,150,13,12,543,135,8,101,11,4,259,103,25,154,27,12,321,23,3,11,3,4,44,2061,69,806,76,60,3072
30601,444,44,39,958,66,18,110,5,5,204,19,6,22,8,3,58,17,6,13,0,0,36,26,0,19,0,4,49,1358,164,1201,98,117,2938
30602,325,35,43,819,54,14,46,7,13,134,17,6,25,3,0,51,18,5,16,0,3,42,46,10,36,7,3,102,2513,340,2106,179,243,5381
30603,54,6,7,114,4,0,15,0,0,19,3,0,0,0,0,3,3,0,0,0,0,3,38,10,11,0,7,66,700,106,755,58,121,1740
30604,49,4,3,114,21,3,18,0,0,42,3,0,0,0,0,3,3,0,0,0,3,6,6,0,9,0,0,15,342,33,228,19,27,649
30605,81,3,3,131,3,0,3,0,0,6,0,0,0,0,0,0,3,3,0,0,0,6,32,3,25,0,9,69,692,93,716,42,72,1615
30701,116,10,12,212,20,4,39,0,0,63,3,3,3,3,5,17,4,0,11,0,0,15,60,8,85,0,11,164,1002,124,1217,53,105,2501
30702,61,6,6,121,7,0,7,0,0,14,3,0,0,0,0,3,3,3,3,0,0,9,44,9,45,5,9,112,775,136,865,63,96,1935
30703,14,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,25,3,18,6,0,52,689,85,716,54,78,1622
30801,106,8,18,247,87,10,125,10,11,243,40,12,71,3,4,130,39,4,61,9,8,121,59,5,101,9,10,184,962,157,1296,88,122,2625
30802,544,31,54,1036,111,37,256,15,16,435,46,11,64,5,4,130,17,11,45,4,0,77,90,9,82,7,12,200,1534,228,1929,121,191,4003
30803,512,32,53,986,51,15,88,9,13,176,8,0,16,4,0,28,10,4,12,0,4,30,69,11,58,6,13,157,2145,256,2294,142,303,5140
30901,318,41,56,1053,196,25,175,16,28,440,87,16,62,11,9,185,62,22,66,23,12,185,42,0,16,0,7,65,1871,100,882,105,142,3100
30902,394,41,59,912,100,39,159,23,21,342,27,14,40,9,9,99,21,5,22,5,4,57,25,3,15,4,3,50,1239,122,900,105,151,2517
30903,540,37,86,1383,195,36,134,28,35,428,66,12,60,21,14,173,60,14,81,25,28,208,34,3,23,3,9,72,2149,176,1324,141,250,4040
30904,84,7,8,183,24,3,29,5,4,65,6,0,8,0,0,14,10,0,8,0,0,18,8,0,9,0,0,17,244,43,247,24,21,579
30905,214,18,30,454,57,26,149,29,20,281,13,10,42,5,10,80,12,9,34,3,9,67,7,4,13,4,4,32,399,98,580,74,96,1247
30906,750,70,97,1493,107,57,191,34,38,427,27,13,50,16,18,124,14,12,42,13,13,94,26,3,21,8,11,69,1065,217,1365,164,240,3051
30907,1881,129,173,3752,276,107,421,52,77,933,91,45,140,17,23,316,88,45,128,35,15,311,43,8,48,12,6,117,2419,518,3069,277,359,6642
30908,615,76,100,1536,185,69,313,56,61,684,51,24,81,18,17,191,30,14,54,16,7,121,20,0,10,3,7,40,1230,203,1187,184,227,3031
30909,483,57,85,1298,208,39,200,38,46,531,52,11,73,11,17,164,26,5,17,6,6,60,45,3,20,0,9,77,1869,138,1140,147,219,3513
30910,148,12,14,635,196,16,69,20,21,322,92,10,54,21,11,188,106,24,95,25,11,261,41,0,12,3,0,56,1535,74,536,94,75,2314
31001,582,67,67,1244,45,14,58,8,13,138,3,3,14,8,4,32,4,3,10,0,0,17,43,5,26,3,10,87,1378,306,1635,177,231,3727
31002,80,8,12,176,16,0,12,3,0,31,4,0,0,0,0,4,9,0,3,0,0,12,39,7,23,5,3,77,862,140,825,80,100,2007
31003,193,22,33,397,23,11,29,0,4,67,4,0,9,3,3,19,12,3,18,0,0,33,45,7,41,4,10,107,1881,315,2171,164,282,4813
31004,709,46,62,1327,31,15,80,13,6,145,9,7,16,3,3,38,10,7,9,3,0,29,38,7,40,4,8,97,1554,347,2473,140,246,4760
31101,65,3,3,116,3,0,6,0,0,9,3,0,0,3,0,6,7,0,0,0,0,7,8,0,13,0,0,21,238,57,278,34,24,631
31102,361,30,38,663,10,9,27,4,6,56,3,0,4,0,3,10,4,3,3,3,0,13,9,7,18,4,0,38,832,121,1008,92,139,2192
31103,790,70,107,1465,46,17,53,10,15,141,7,7,7,0,6,27,6,0,9,5,0,20,28,3,30,6,10,77,1140,314,1863,160,260,3737
31104,203,19,31,383,53,21,69,9,17,169,4,3,16,3,3,29,0,0,0,3,0,3,10,3,16,0,0,29,293,78,429,40,62,902
31105,535,54,71,1074,40,23,74,15,18,170,10,0,16,3,8,37,3,0,7,3,0,13,22,6,22,6,10,66,959,194,1175,113,196,2637
31106,413,39,62,861,44,22,88,18,14,186,10,6,12,3,0,31,6,9,11,0,3,29,42,10,39,3,8,102,1444,367,1890,193,268,4162
31201,82,6,12,182,21,3,61,5,4,94,9,0,9,0,3,21,90,5,144,6,18,263,82,10,108,6,9,215,1315,195,1840,102,169,3621
31202,889,52,100,1897,326,78,547,37,42,1030,51,17,89,13,18,188,39,4,56,6,4,109,64,4,62,13,3,146,2453,271,2575,177,327,5803
31203,127,7,12,291,37,3,49,3,6,98,11,0,10,0,0,21,10,0,15,0,0,25,14,0,10,0,4,28,565,30,412,22,47,1076
31301,173,18,32,366,39,13,27,5,7,91,4,0,9,0,0,13,7,0,3,0,0,10,27,6,14,0,4,51,795,100,561,65,96,1617
31302,267,29,32,508,15,6,23,0,10,54,3,3,3,3,3,15,11,0,3,0,3,17,26,3,34,6,5,74,1346,251,1705,121,216,3639
31303,32,3,0,59,4,4,3,0,3,14,3,0,0,0,3,6,0,3,0,0,0,3,8,0,7,0,0,15,177,28,180,13,27,425
31304,373,32,65,754,31,20,53,10,8,122,5,5,16,0,0,26,6,0,5,0,3,14,24,0,21,6,3,54,848,224,1137,110,190,2509
31305,391,45,81,894,39,21,68,7,16,151,19,3,21,7,8,58,17,3,16,3,4,43,39,4,22,3,5,73,1519,190,1226,134,266,3335
31401,474,45,62,983,63,37,141,28,13,282,25,13,62,3,12,115,13,9,38,4,9,73,15,5,29,3,4,56,767,181,1110,108,134,2300
31402,868,66,73,1636,67,34,129,11,12,253,16,12,39,6,3,76,5,0,12,0,4,21,30,3,15,0,3,51,1233,208,1560,102,148,3251
31403,296,23,42,558,3,0,20,3,0,26,3,0,0,0,0,3,3,3,3,0,0,9,9,3,11,0,3,26,575,94,682,56,109,1516
31501,35,0,3,65,33,6,19,3,3,64,4,3,24,0,8,39,10,0,19,3,0,32,50,9,55,3,9,126,915,167,1560,55,196,2893
31502,131,3,8,299,99,15,91,9,12,226,33,3,32,5,4,77,13,3,15,0,0,31,62,4,57,0,5,128,1052,110,1102,36,97,2397
31503,12,3,0,18,0,0,0,0,0,0,4,0,0,0,0,4,4,0,3,0,0,7,44,7,56,3,3,113,534,65,607,19,47,1272
31601,515,68,51,1024,82,56,184,22,22,366,12,14,52,10,4,92,16,4,28,3,0,51,22,3,3,3,3,34,740,169,907,119,108,2043
31602,865,57,116,1816,159,42,264,26,36,527,38,16,62,9,11,136,21,17,42,12,7,99,38,4,19,4,4,69,1761,244,1665,159,245,4074
31603,479,44,67,1205,97,29,142,18,25,311,34,9,33,10,3,89,31,6,36,9,5,87,30,3,15,3,4,55,1834,134,1094,107,144,3313
31604,339,25,42,662,27,12,74,7,15,135,14,4,16,0,0,34,5,3,17,0,3,28,21,3,19,0,5,48,817,117,908,72,131,2045
31605,378,37,40,797,131,39,210,24,22,426,42,15,76,10,5,148,38,6,53,5,3,105,21,3,18,0,8,50,951,139,893,86,107,2176
31606,300,29,33,576,24,14,54,6,8,106,10,4,4,0,3,21,7,0,11,0,0,18,20,4,19,4,7,54,650,123,722,74,104,1673
31701,458,37,36,842,30,16,52,10,4,112,5,0,13,0,0,18,19,3,12,0,0,34,69,10,53,8,11,151,2683,383,2956,222,348,6592
31801,27,4,4,50,5,0,10,0,3,18,3,0,0,0,0,3,4,0,0,0,0,4,36,10,35,3,4,88,801,147,930,77,119,2074
31802,1313,138,127,3007,207,46,233,30,25,541,32,14,76,12,7,141,34,3,36,5,4,82,104,17,105,11,10,247,4618,573,4303,355,442,10291
31901,93,14,8,205,16,0,15,4,0,35,0,3,0,0,0,3,4,3,0,0,3,10,44,3,34,5,7,93,1628,222,1570,133,209,3762
31902,40,5,3,73,0,0,0,0,0,0,0,0,3,0,0,3,6,0,4,0,0,10,31,0,37,0,4,72,866,102,929,53,107,2057
31903,33,3,0,69,0,3,3,0,0,6,0,3,0,3,0,6,3,0,0,3,0,6,35,4,20,3,3,65,742,122,804,62,82,1812
31904,80,11,5,189,4,0,15,3,3,25,3,0,3,0,3,9,5,0,5,3,0,13,29,3,21,0,9,62,1209,200,1180,108,149,2846
31905,24,4,0,40,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,0,0,4,24,0,20,3,0,47,695,103,694,46,73,1611
39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40101,75,3,3,423,119,0,35,5,7,166,41,0,12,3,0,56,39,4,17,4,3,67,18,0,3,3,0,24,975,7,257,25,19,1283
40102,189,18,15,355,22,9,41,9,5,86,5,3,16,3,0,27,4,4,11,6,0,25,27,3,6,3,4,43,787,115,734,97,83,1816
40103,110,28,10,270,52,17,79,16,7,171,18,9,44,10,0,81,14,21,54,9,4,102,14,3,3,3,5,28,664,110,500,90,42,1406
40104,177,32,26,375,20,11,31,9,3,74,0,0,10,0,0,10,4,0,8,0,0,12,34,4,10,0,4,52,860,109,825,109,83,1986
40105,123,17,9,362,63,3,47,4,6,123,14,3,25,3,3,48,13,5,32,0,3,53,26,3,12,0,0,41,1095,55,554,63,36,1803
40106,63,10,4,182,19,6,47,10,3,85,7,0,21,4,3,35,3,0,17,4,3,27,19,0,5,0,3,27,608,31,420,44,35,1138
40107,92,18,5,295,58,13,80,7,6,164,29,5,37,3,5,79,18,4,45,5,7,79,21,0,7,3,0,31,929,59,518,58,45,1609
40201,42,9,7,93,5,3,3,0,0,11,3,0,0,0,0,3,3,0,0,0,0,3,15,4,8,0,3,30,434,66,399,44,63,1006
40202,53,6,9,108,0,3,5,0,4,12,0,0,0,0,0,0,0,0,4,0,0,4,43,0,35,4,12,94,1517,222,1435,126,242,3542
40203,187,23,12,454,11,3,12,0,0,26,4,0,5,0,0,9,7,0,7,0,0,14,49,9,27,7,3,95,1583,181,1295,111,155,3325
40204,176,8,25,372,25,13,46,4,9,97,9,6,3,0,0,18,7,0,11,4,5,27,57,7,46,8,12,130,2017,323,1924,201,323,4788
40205,175,26,22,344,8,5,15,0,3,31,0,4,3,0,3,10,3,4,3,0,0,10,32,0,19,0,5,56,1031,150,959,107,152,2399
40301,118,18,16,312,60,9,49,14,6,138,22,9,24,4,11,70,24,11,29,3,6,73,15,0,8,0,0,23,882,57,441,62,65,1507
40302,323,44,37,713,26,14,36,11,0,87,8,4,10,0,4,26,6,4,14,0,5,29,40,3,26,7,4,80,1671,160,1213,163,170,3377
40303,137,23,11,325,22,18,48,14,11,113,8,6,20,5,6,45,4,5,20,5,0,34,28,3,12,0,0,43,777,99,631,84,68,1659
40304,343,39,40,680,16,17,37,3,4,77,4,0,11,0,5,20,17,3,8,3,3,34,72,4,43,3,9,131,2144,349,2053,203,290,5039
40401,283,38,45,729,53,14,72,8,12,159,20,9,26,10,0,65,23,5,18,3,5,54,45,3,28,9,11,96,2098,232,1543,191,269,4333
40402,150,8,15,329,20,3,21,5,3,52,4,9,6,3,0,22,6,3,3,0,3,15,27,3,20,0,6,56,1216,136,869,93,150,2464
40403,171,18,22,492,41,4,43,5,0,93,17,3,8,3,0,31,11,3,11,5,0,30,40,3,23,3,5,74,1681,114,995,93,110,2993
40501,31,3,0,47,0,0,5,0,0,5,3,0,3,0,0,6,3,0,0,0,0,3,11,3,12,0,3,29,443,49,389,35,56,972
40502,6,0,0,10,0,0,0,0,0,0,3,0,3,0,0,6,6,0,0,0,0,6,25,0,14,0,0,39,373,40,301,25,32,771
40503,6,0,0,17,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,25,4,11,0,0,40,467,45,315,23,25,875
40504,8,0,3,11,0,0,0,0,0,0,0,0,3,0,0,3,4,0,3,0,0,7,21,0,10,4,0,35,415,36,345,25,30,851
40601,67,5,10,128,5,3,3,0,0,11,0,0,0,0,0,0,9,0,4,0,0,13,55,3,26,6,6,96,1283,137,1017,67,126,2630
40602,42,4,3,120,30,0,36,0,6,72,8,4,17,0,0,29,11,0,7,0,0,18,34,9,40,3,4,90,897,93,861,53,90,1994
40701,26,4,5,65,0,0,5,0,0,5,0,0,3,0,0,3,6,0,3,0,0,9,22,6,13,0,3,44,863,99,593,59,62,1676
40702,12,0,0,23,0,0,3,0,0,3,0,0,0,0,0,0,7,0,6,0,0,13,50,7,35,3,3,98,1140,139,978,81,100,2438
40703,7,0,0,16,3,0,3,0,0,6,0,0,0,0,0,0,3,3,3,3,3,15,40,10,48,7,9,114,1270,162,1083,99,146,2760
49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101,254,13,17,482,15,9,26,4,0,54,3,0,3,0,0,6,7,3,3,0,0,13,26,3,28,0,3,60,1057,143,1066,82,78,2426
50102,492,36,41,907,35,9,68,3,5,120,12,0,18,0,4,34,17,4,20,6,3,50,51,7,28,3,4,93,1810,241,1848,115,218,4232
50103,13,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,9,13,0,18,3,3,37,314,32,351,21,29,747
50201,474,38,69,950,32,21,59,9,15,136,12,3,17,3,3,38,22,3,15,3,3,46,40,4,27,0,0,71,1847,250,1753,142,231,4223
50301,147,15,5,455,166,21,126,25,17,355,102,18,106,22,8,256,177,117,565,107,31,997,35,7,22,9,3,76,1228,199,1253,191,82,2953
50302,300,13,27,1548,897,10,252,21,21,1201,363,10,161,20,10,564,379,30,310,45,16,780,81,3,35,0,5,124,4589,110,1594,136,120,6549
50401,463,48,61,1194,118,23,104,17,14,276,28,4,26,0,5,63,15,4,19,5,3,46,46,5,27,7,3,88,2011,163,1303,126,177,3780
50402,116,20,17,259,20,9,61,8,6,104,10,0,12,0,0,22,9,0,5,0,0,14,11,0,13,0,5,29,401,54,375,41,65,936
50403,711,61,87,1443,67,49,139,22,28,305,21,5,39,5,7,77,12,0,25,3,4,44,32,13,39,3,4,91,1367,273,1651,152,225,3668
50501,942,93,133,2086,195,109,413,63,55,835,67,41,200,28,15,351,77,49,180,42,18,366,42,6,29,3,9,89,1933,357,2171,272,286,5019
50502,1090,79,82,2916,401,56,344,35,36,872,125,34,166,27,23,375,126,50,217,26,24,443,102,8,89,5,15,219,4784,466,3486,299,326,9361
50503,1406,120,154,2731,135,94,418,60,53,760,23,27,99,8,17,174,24,20,57,10,11,122,45,12,49,4,12,122,1955,508,2874,265,353,5955
50601,201,19,26,395,47,19,85,9,9,169,5,9,11,3,0,28,8,0,0,4,0,12,23,0,22,3,5,53,831,129,975,73,124,2132
50602,493,46,61,1454,213,7,135,17,20,392,90,4,32,6,12,144,62,3,38,5,3,111,51,4,27,0,3,85,2420,157,1477,122,190,4366
50603,702,89,49,1656,109,41,191,42,29,412,24,12,42,6,3,87,17,13,28,9,3,70,60,6,32,5,5,108,1764,340,1709,205,151,4169
50604,649,57,85,1317,93,43,191,27,32,386,7,4,19,8,4,42,15,8,16,0,4,43,37,8,43,5,8,101,1406,284,1853,173,255,3971
50605,267,24,36,548,41,17,76,10,15,159,11,3,14,0,0,28,4,3,9,3,3,22,17,4,10,4,3,38,567,93,608,69,92,1429
50606,91,9,3,161,12,5,17,4,3,41,5,3,5,0,0,13,3,0,8,0,0,11,6,0,9,0,0,15,178,28,221,17,26,470
50607,168,16,29,686,194,14,115,16,9,348,65,10,63,8,11,157,102,10,128,22,12,274,21,0,14,6,0,41,1525,74,729,90,91,2509
50701,620,56,77,1428,98,39,225,31,22,415,22,4,32,6,4,68,26,4,28,7,9,74,39,5,31,0,13,88,1443,209,1435,139,194,3420
50702,112,9,11,383,160,7,67,4,8,246,69,6,41,4,0,120,53,11,64,8,10,146,21,3,13,0,0,37,947,49,465,40,59,1560
50703,146,3,13,298,10,6,8,0,0,24,0,0,3,3,0,6,5,0,0,0,0,5,15,0,6,0,6,27,516,81,523,19,72,1211
50704,475,70,45,1206,191,64,304,68,27,654,71,31,111,35,13,261,83,52,188,48,24,395,33,5,32,10,7,87,1639,250,1472,256,173,3790
50705,878,67,83,1621,38,23,125,4,17,207,9,5,23,3,0,40,9,4,20,0,0,33,51,4,34,3,5,97,1883,349,2429,158,249,5068
50801,59,5,5,106,5,0,8,0,3,16,0,0,0,0,5,5,4,0,0,0,0,4,11,0,32,4,5,52,370,57,459,21,50,957
50802,33,0,6,64,12,0,15,0,5,32,4,0,5,0,0,9,12,0,4,0,0,16,20,3,26,0,0,49,347,20,332,11,27,737
50803,225,7,20,432,56,18,95,3,3,175,16,7,39,3,7,72,5,0,13,3,3,24,37,10,53,3,3,106,1151,133,1307,72,136,2799
50804,59,4,3,150,78,4,54,3,10,149,73,6,58,6,3,146,125,12,101,7,5,250,84,10,92,3,11,200,1304,129,1507,61,134,3135
50805,234,18,27,461,30,3,46,6,0,85,4,3,3,0,0,10,9,0,7,0,0,16,65,3,63,6,3,140,1193,138,1219,86,132,2768
50806,37,3,6,85,32,3,38,3,5,81,18,5,23,3,4,53,384,29,309,18,57,797,259,28,337,26,33,683,2462,303,3082,169,384,6400
50901,122,6,15,237,0,3,9,3,0,15,3,0,3,0,0,6,4,4,5,0,0,13,62,4,39,5,7,117,1151,170,1223,99,108,2751
50902,64,7,13,133,3,3,19,0,0,25,3,0,3,0,0,6,3,0,3,0,3,9,68,5,54,0,6,133,948,114,979,60,99,2200
50903,20,0,4,44,9,3,11,0,0,23,0,0,6,0,0,6,0,0,0,0,0,0,23,3,40,3,3,72,432,43,477,24,35,1011
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60101,23,0,4,39,4,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,16,199,49,278,23,47,596
60102,110,22,13,248,18,5,31,9,3,66,5,0,4,0,0,9,3,3,6,0,0,12,21,3,14,0,4,42,679,86,588,71,88,1512
60103,70,9,9,147,3,5,4,0,0,12,0,4,0,0,0,4,7,0,5,3,0,15,23,3,11,0,8,45,851,141,812,80,115,1999
60104,123,18,7,251,14,4,31,3,3,55,0,0,4,0,0,4,3,0,3,0,0,6,8,0,9,0,0,17,431,66,460,42,34,1033
60105,170,15,16,478,91,12,56,12,3,174,25,5,20,4,4,58,26,3,17,0,3,49,24,3,6,3,3,39,1321,80,580,64,49,2094
60106,25,0,3,47,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,11,200,26,202,11,25,464
60201,103,16,8,205,14,3,25,3,3,48,0,0,7,0,0,7,9,0,4,0,5,18,27,3,18,0,3,51,1452,185,1185,118,157,3097
60202,10,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,7,13,0,13,0,3,29,244,36,266,23,44,613
60203,15,4,3,30,0,4,3,0,0,7,0,0,0,0,0,0,3,0,3,0,0,6,30,3,14,5,4,56,585,63,535,47,66,1296
60301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,15,0,10,0,8,33,144,22,147,4,27,344
60302,11,0,3,23,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,3,16,3,3,0,0,22,194,38,227,19,18,496
60303,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,7,116,8,100,6,7,237
60401,10,5,3,30,0,0,0,0,3,3,0,0,0,0,0,0,3,0,6,0,0,9,16,3,13,3,9,44,733,78,706,63,110,1690
60402,13,3,5,48,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,16,3,0,39,729,106,640,58,89,1622
60403,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,16,0,28,3,0,47,300,41,350,22,22,735
69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70101,101,10,0,420,245,10,73,8,14,350,194,4,65,9,7,279,214,11,138,22,10,395,32,3,18,7,4,64,1358,51,661,69,51,2190
70102,307,24,27,760,318,36,242,19,32,647,84,24,90,8,13,219,59,14,81,7,13,174,35,4,41,4,9,93,1507,186,1409,124,170,3396
70103,22,3,0,80,45,10,40,3,9,107,12,3,25,4,5,49,9,6,9,0,0,24,8,0,10,0,0,18,254,30,200,10,24,518
70104,192,8,12,455,238,21,192,14,30,495,89,13,136,4,9,251,28,9,42,4,7,90,35,10,48,3,0,96,939,114,1078,60,86,2277
70201,114,10,12,329,120,8,122,10,16,276,32,4,46,4,6,92,20,3,27,0,4,54,119,19,184,5,9,336,1217,119,1399,57,151,2943
70202,9,0,0,19,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,33,3,44,0,0,80,218,27,300,3,35,583
70203,5,0,0,13,4,0,4,3,0,11,3,0,0,0,0,3,3,0,3,0,0,6,39,14,99,3,11,166,545,143,1081,41,118,1928
70204,12,0,0,16,0,0,0,0,3,3,0,0,4,0,0,4,4,0,3,0,0,7,42,21,105,8,13,189,562,172,1155,61,129,2079
70205,33,0,5,88,7,3,7,0,3,20,0,0,3,0,0,3,0,0,3,0,0,3,42,0,62,4,5,113,633,107,1075,29,73,1917
79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101,678,72,78,1895,339,39,318,30,25,751,47,24,85,14,12,182,27,11,34,4,6,82,47,11,28,8,4,98,2010,226,1571,165,175,4147
80102,3,0,0,6,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,21,6,18,3,0,48
80103,0,0,0,8,0,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,28,0,10,74
