region_id,2011_Census_Other_tenure_type_Dwelling_structure_Flat_unit_or_apartment,2011_Census_Other_tenure_type_Dwelling_structure_Other_dwelling,2011_Census_Other_tenure_type_Dwelling_structure_Not_stated,2011_Census_Other_tenure_type_Total,2011_Census_Tenure_type_not_stated_Dwelling_structure_Separate_house,2011_Census_Tenure_type_not_stated_Dwelling_structure_Semi_detached_row_or_terrace_house_townhouse_etc,2011_Census_Tenure_type_not_stated_Dwelling_structure_Flat_unit_or_apartment,2011_Census_Tenure_type_not_stated_Dwelling_structure_Other_dwelling,2011_Census_Tenure_type_not_stated_Dwelling_structure_Not_stated,2011_Census_Tenure_type_not_stated_Total,2011_Census_Total_Dwelling_structure_Separate_house,2011_Census_Total_Dwelling_structure_Semi_detached_row_or_terrace_house_townhouse_etc,2011_Census_Total_Dwelling_structure_Flat_unit_or_apartment,2011_Census_Total_Dwelling_structure_Other_dwelling,2011_Census_Total_Dwelling_structure_Not_stated,2011_Census_Total_Total
30904,0,4,0,48,249,0,7,28,0,284,6202,74,71,148,6,6501
30905,3,3,0,67,356,85,15,21,0,477,8727,1489,148,71,0,10435
30906,37,3,0,294,864,335,63,38,0,1300,16757,4323,541,566,3,22190
30907,60,15,0,249,1104,324,140,57,5,1630,25520,4980,1176,487,17,32180
30908,35,0,0,159,521,332,255,11,9,1128,10558,4355,1911,38,30,16892
30909,163,11,0,251,741,330,740,61,4,1876,11639,3738,6387,350,22,22136
30910,63,0,0,119,319,210,1608,43,22,2202,4649,2263,9701,168,62,16843
31001,9,3,3,338,1003,130,52,28,0,1213,18573,1731,537,346,9,21196
31002,4,11,0,175,1160,27,16,81,0,1284,19829,199,223,529,47,20827
31003,28,4,0,167,1495,111,131,28,3,1768,31124,1742,1381,197,20,34464
31004,3,0,0,69,916,98,36,11,3,1064,20126,1324,482,89,6,22027
31101,3,3,0,41,215,9,22,7,0,253,4103,164,265,93,0,4625
31102,6,0,0,62,670,167,98,11,0,946,11043,1963,783,34,5,13828
31103,3,3,0,129,1120,61,30,7,0,1218,22353,781,223,184,9,23550
31104,0,0,0,52,537,0,7,3,0,547,11442,41,86,20,6,11595
31105,7,3,0,88,715,123,18,24,0,880,16934,1697,189,183,8,19011
31106,33,3,0,148,1188,302,192,20,0,1702,21238,3760,1727,150,12,26887
31201,4,32,3,185,862,84,143,244,6,1339,10492,756,750,1594,48,13640
31202,24,26,0,404,1566,192,376,214,3,2351,34014,2042,3307,1607,61,41031
31203,20,25,3,79,316,35,200,168,0,719,4882,358,1472,805,19,7536
31301,10,9,0,174,554,53,88,33,0,728,10618,997,1124,580,6,13325
31302,23,3,0,175,1142,146,90,28,6,1412,18175,1403,949,168,13,20708
31303,0,3,0,38,207,3,3,16,0,229,3902,36,35,73,3,4049
31304,0,0,0,102,780,126,31,28,0,965,17917,1419,342,207,12,19897
31305,47,9,0,326,809,129,336,42,0,1316,16711,2309,4143,353,6,23522
31401,17,3,0,248,652,56,12,0,0,720,25336,1057,295,43,0,26731
31402,42,0,0,274,503,120,51,74,0,748,15562,1809,518,257,34,18180
31403,3,0,0,47,354,46,52,24,0,476,10905,1223,707,38,0,12873
31501,8,105,9,249,545,53,73,316,22,1009,7215,457,911,1527,110,10220
31502,6,70,9,197,1082,89,285,583,11,2050,8804,490,1364,2274,147,13079
31503,9,43,13,174,441,22,23,210,22,718,7185,147,300,1365,269,9266
31601,48,0,0,789,435,85,62,10,0,592,14165,1833,825,88,0,16911
31602,99,9,0,306,667,220,368,51,0,1306,19866,3473,4399,794,0,28532
31603,48,7,0,225,607,233,542,103,0,1485,11798,3755,6425,1348,28,23354
31604,43,15,0,204,833,45,102,91,0,1071,19496,550,1243,685,21,21995
31605,22,8,0,270,423,168,222,20,0,833,10834,2098,2115,405,5,15457
31606,13,13,0,196,754,57,21,80,0,912,16199,553,240,546,10,17548
31701,154,3,4,534,1971,173,484,78,3,2709,44160,2432,5778,415,42,52827
31801,11,21,0,167,807,24,99,160,6,1096,14497,338,974,1208,28,17045
31802,92,15,0,558,2987,365,1069,222,8,4651,51622,3712,8776,1456,63,65629
31901,23,18,0,515,1249,159,236,202,0,1846,28106,1971,2391,1674,10,34152
31902,10,15,0,172,958,13,76,270,29,1346,17246,135,889,985,63,19318
31903,15,17,4,138,840,22,108,140,0,1110,16480,364,822,832,22,18520
31904,18,16,0,420,687,61,167,111,3,1029,17841,966,1934,1262,14,22017
31905,29,19,0,128,788,23,103,124,3,1041,15444,208,943,764,16,17375
39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40101,51,0,0,90,66,250,648,103,3,1070,1087,3121,5085,128,18,9439
40102,33,4,0,298,748,37,36,24,3,848,23669,679,479,133,14,24974
40103,201,0,0,360,399,141,252,0,0,792,11701,2313,3135,15,5,17169
40104,112,3,0,314,633,122,130,0,3,888,15286,2047,1916,12,8,19269
40105,144,0,0,393,336,245,255,15,0,851,8413,3661,3508,45,8,15635
40106,57,0,0,118,369,117,103,7,0,596,8009,1267,1622,73,6,10977
40107,99,0,0,299,340,178,196,4,0,718,9154,3049,2999,8,10,15220
40201,0,0,0,170,425,77,24,15,0,541,10917,903,265,91,9,12185
40202,31,3,3,170,1228,407,113,16,0,1764,24328,4584,1346,132,6,30396
40203,26,0,0,244,972,205,155,9,0,1341,19049,3175,2329,82,0,24635
40204,29,0,0,461,2020,309,309,13,0,2651,40912,4392,2893,147,16,48360
40205,70,0,0,738,998,126,64,0,0,1188,31440,2709,1111,3,8,35271
40301,191,0,4,321,290,157,549,9,0,1005,7597,2787,4434,62,10,14890
40302,69,0,0,392,970,379,253,4,0,1606,25813,6214,3362,23,5,35417
40303,140,3,0,515,627,90,154,7,3,881,19546,1719,2524,76,6,23871
40304,79,6,0,1030,2148,254,167,42,3,2614,56421,3513,2304,403,33,62674
40401,130,4,0,497,1431,426,415,14,0,2286,30769,6725,4995,121,10,42620
40402,88,3,0,248,883,274,316,11,3,1487,16365,4010,2984,108,33,23500
40403,128,0,0,410,709,204,427,12,3,1355,16178,3278,5646,67,14,25183
40501,25,4,3,185,486,17,23,8,0,534,12120,395,348,126,12,13001
40502,13,4,3,101,370,6,18,16,3,413,8540,167,171,179,15,9072
40503,16,7,0,100,421,55,31,44,3,554,10158,743,418,272,14,11605
40504,11,5,0,143,347,31,31,35,0,444,9670,351,206,343,3,10573
40601,23,14,7,207,906,246,126,242,3,1523,17895,3611,1152,793,63,23514
40602,5,36,22,174,738,79,95,192,23,1127,8997,638,578,781,166,11160
40701,9,7,0,472,867,82,55,35,0,1039,18117,914,569,287,9,19896
40702,34,10,4,426,833,66,105,40,4,1048,22482,994,1629,302,30,25437
40703,53,16,0,411,1446,141,116,195,23,1921,24683,1471,1020,703,77,27954
49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50101,30,24,0,213,807,56,36,76,3,978,14317,1069,413,472,23,16294
50102,26,4,0,367,1678,215,114,200,0,2207,31239,2534,1275,635,32,35715
50103,0,7,3,104,346,5,24,50,0,425,8198,98,236,191,13,8736
50201,199,7,0,1000,1559,319,198,86,0,2162,27194,3428,1747,586,21,32976
50301,200,3,0,437,741,195,486,0,5,1427,17467,2467,4256,15,26,24231
50302,265,0,0,471,902,635,2368,217,0,4122,17331,7046,17809,348,47,42581
50401,55,0,0,249,1099,395,389,9,0,1892,22440,5166,3973,20,18,31617
50402,3,0,0,85,826,37,18,22,0,903,13764,542,160,36,3,14505
50403,8,7,3,172,1693,178,177,110,3,2161,32307,2108,1401,394,45,36255
50501,50,0,0,287,1598,162,225,25,3,2013,49636,2764,1921,207,12,54540
50502,247,3,0,768,2433,1599,1021,32,0,5085,44649,20915,8365,184,25,74138
