Median_age_of_persons_Census_year_2011,Median_mortgage_repayment_monthly_Census_year_2011,Median_rent_weekly_Census_year_2011,Median_total_family_income_weekly_Census_year_2011,Median_total_household_income_weekly_Census_year_2011,Median_total_personal_income_weekly_Census_year_2011,Average_household_size_Census_year_2011,Average_number_of_persons_per_bedroom_Census_year_2011
36.0,1800.0,280.0,1081.0,1044.0,371.0,3.2,1.2
33.0,2167.0,290.0,1416.0,1276.0,531.0,3.0,1.2
39.0,2470.0,370.0,1942.0,1536.0,715.0,2.5,1.1
37.0,2397.0,370.0,2075.0,1808.0,711.0,2.9,1.1
60.0,0.0,0.0,0.0,0.0,518.0,0.0,0.0
36.0,1343.0,202.0,1280.0,997.0,511.0,2.4,1.1
44.0,1300.0,180.0,1182.0,947.0,475.0,2.4,1.1
47.0,997.0,150.0,917.0,727.0,388.0,2.3,1.1
36.0,1300.0,205.0,1253.0,993.0,517.0,2.4,1.1
44.0,1343.0,200.0,1227.0,959.0,488.0,2.4,1.1
47.0,888.0,110.0,967.0,767.0,396.0,2.4,1.1
39.0,1517.0,200.0,1433.0,1257.0,547.0,2.8,1.1
38.0,1517.0,230.0,1343.0,1047.0,514.0,2.4,1.1
42.0,1690.0,270.0,1409.0,1131.0,555.0,2.5,1.1
42.0,1300.0,180.0,1157.0,925.0,499.0,2.4,1.1
43.0,1300.0,173.0,1147.0,890.0,491.0,2.3,1.1
38.0,1389.0,200.0,1252.0,1009.0,558.0,2.4,1.1
40.0,1387.0,200.0,1273.0,1023.0,511.0,2.5,1.1
46.0,1296.0,180.0,989.0,798.0,437.0,2.3,1.1
44.0,1300.0,210.0,1107.0,902.0,485.0,2.3,1.1
38.0,1200.0,160.0,1236.0,941.0,465.0,2.4,1.1
40.0,1213.0,170.0,1171.0,907.0,475.0,2.4,1.1
34.0,2000.0,325.0,1689.0,1363.0,625.0,2.4,1.2
36.0,2000.0,301.0,1880.0,1425.0,693.0,2.4,1.1
36.0,2167.0,290.0,2025.0,1446.0,703.0,2.4,1.1
30.0,2167.0,400.0,1962.0,1356.0,749.0,2.0,1.2
35.0,2200.0,365.0,2372.0,1665.0,978.0,2.0,1.2
35.0,2405.0,361.0,2447.0,1692.0,962.0,2.0,1.1
34.0,2284.0,370.0,2195.0,1671.0,849.0,2.2,1.2
38.0,2400.0,361.0,2505.0,1886.0,763.0,2.6,1.1
42.0,2000.0,360.0,1609.0,1384.0,545.0,2.7,1.1
38.0,2000.0,325.0,1702.0,1291.0,540.0,2.6,1.1
42.0,2400.0,391.0,2426.0,1820.0,751.0,2.6,1.1
37.0,2100.0,335.0,1916.0,1437.0,670.0,2.5,1.1
39.0,2000.0,300.0,1723.0,1314.0,638.0,2.5,1.1
37.0,2500.0,346.0,2485.0,1764.0,774.0,2.5,1.1
39.0,1900.0,300.0,1730.0,1392.0,616.0,2.6,1.1
36.0,1800.0,282.0,1253.0,1050.0,454.0,2.5,1.2
38.0,1950.0,309.0,2031.0,1822.0,685.0,3.0,1.1
34.0,1842.0,300.0,1387.0,1285.0,524.0,3.0,1.1
41.0,1900.0,310.0,1543.0,1291.0,545.0,2.7,1.1
39.0,1733.0,260.0,1757.0,1538.0,627.0,2.8,1.1
36.0,1800.0,295.0,1240.0,1042.0,462.0,2.6,1.1
36.0,1647.0,270.0,1634.0,1416.0,623.0,2.8,1.1
32.0,1733.0,289.0,1222.0,1156.0,437.0,3.1,1.1
38.0,1733.0,300.0,1610.0,1398.0,597.0,2.8,1.1
41.0,2100.0,350.0,2131.0,1876.0,672.0,3.0,1.0
38.0,1733.0,290.0,1614.0,1303.0,608.0,2.6,1.1
39.0,1900.0,314.0,1652.0,1349.0,589.0,2.6,1.1
38.0,1647.0,265.0,1491.0,1278.0,578.0,2.7,1.1
34.0,1733.0,280.0,1479.0,1302.0,593.0,2.8,1.1
35.0,1733.0,295.0,1477.0,1343.0,554.0,3.0,1.1
32.0,1733.0,291.0,1428.0,1337.0,587.0,3.1,1.1
36.0,1600.0,259.0,1101.0,991.0,412.0,2.8,1.2
38.0,2000.0,345.0,1543.0,1316.0,518.0,2.7,1.1
34.0,1560.0,265.0,1179.0,1093.0,422.0,3.0,1.1
38.0,1827.0,286.0,1612.0,1307.0,595.0,2.5,1.1
34.0,2000.0,280.0,1525.0,1252.0,571.0,2.5,1.2
32.0,1733.0,261.0,1486.0,1347.0,602.0,2.9,1.1
31.0,1798.0,280.0,1539.0,1407.0,625.0,2.9,1.1
37.0,1647.0,265.0,1396.0,1138.0,566.0,2.5,1.1
43.0,1733.0,260.0,1351.0,1053.0,539.0,2.4,1.1
43.0,997.0,145.0,1093.0,857.0,481.0,2.3,1.1
39.0,1270.0,170.0,1092.0,878.0,464.0,2.5,1.1
42.0,1054.0,140.0,1022.0,817.0,451.0,2.4,1.1
42.0,1300.0,170.0,1100.0,886.0,470.0,2.4,1.1
43.0,1200.0,160.0,1001.0,825.0,437.0,2.4,1.1
37.0,1300.0,185.0,1206.0,977.0,512.0,2.5,1.1
43.0,1101.0,155.0,1183.0,905.0,488.0,2.3,1.1
40.0,1300.0,185.0,1230.0,973.0,517.0,2.5,1.1
43.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0
37.0,1993.0,350.0,1682.0,1475.0,641.0,2.8,1.1
41.0,2100.0,350.0,1561.0,1287.0,576.0,2.6,1.1
37.0,2167.0,360.0,1772.0,1482.0,685.0,2.6,1.1
38.0,2000.0,360.0,1886.0,1635.0,700.0,2.7,1.0
37.0,2069.0,330.0,1753.0,1373.0,680.0,2.4,1.1
35.0,2000.0,325.0,1690.0,1380.0,686.0,2.4,1.1
38.0,1950.0,320.0,1569.0,1284.0,621.0,2.5,1.1
36.0,2167.0,375.0,2039.0,1689.0,718.0,2.6,1.1
33.0,2167.0,320.0,1945.0,1459.0,732.0,2.3,1.1
35.0,2000.0,360.0,1660.0,1435.0,581.0,2.8,1.1
34.0,2000.0,320.0,1677.0,1363.0,593.0,2.6,1.1
33.0,2000.0,360.0,1642.0,1538.0,625.0,3.0,1.1
33.0,1900.0,360.0,1402.0,1313.0,501.0,2.9,1.1
38.0,2000.0,380.0,2107.0,1906.0,747.0,2.9,1.0
39.0,2300.0,400.0,2468.0,2229.0,763.0,3.0,1.0
29.0,2167.0,375.0,2179.0,1593.0,595.0,2.5,1.1
36.0,2040.0,320.0,1983.0,1645.0,727.0,2.7,1.1
34.0,2200.0,400.0,2184.0,1620.0,878.0,2.0,1.2
33.0,2436.0,375.0,2400.0,1903.0,900.0,2.4,1.1
34.0,2282.0,350.0,2335.0,1719.0,834.0,2.3,1.1
32.0,2370.0,380.0,2488.0,1905.0,843.0,2.5,1.1
38.0,1840.0,290.0,1578.0,1326.0,660.0,2.6,1.1
36.0,1733.0,240.0,1325.0,1078.0,594.0,2.5,1.1
42.0,1317.0,185.0,1108.0,918.0,469.0,2.5,1.1
44.0,1647.0,250.0,1251.0,985.0,640.0,2.3,1.1
43.0,1473.0,200.0,1056.0,859.0,447.0,2.4,1.1
38.0,1300.0,150.0,1282.0,1046.0,600.0,2.5,1.1
39.0,1300.0,195.0,1204.0,1002.0,511.0,2.6,1.1
42.0,1300.0,190.0,1003.0,840.0,445.0,2.5,1.1
34.0,2000.0,116.0,2256.0,1831.0,869.0,2.8,1.1
36.0,1950.0,270.0,1875.0,1617.0,686.0,2.7,1.1
37.0,1690.0,250.0,1435.0,1151.0,564.0,2.6,1.1
